MedCodeId	Term	Observations_jun24	old_2021	new_2024
475431013	Chronic obstructive pulmonary disease	6180283	1	1
1488424013	Chronic obstructive pulmonary disease annual review	5157109	1	1
977911000006114	Number of chronic obstructive pulmonary disease exacerbations in past year	2565477	1	1
1484924013	Chronic obstructive pulmonary disease monitoring	1447348	1	1
1176861000000111	Chronic obstructive pulmonary disease assessment test score	1443401	1	1
301453013	Acute exacerbation of chronic obstructive airways disease	1310476	1	1
457169013	Moderate chronic obstructive pulmonary disease	1135059	1	1
839001000006111	COPD self-management plan given	957718	1	1
457168017	Mild chronic obstructive pulmonary disease	868421	1	1
457171013	Severe chronic obstructive pulmonary disease	638821	1	1
2716321000006116	COPD - Chronic obstructive pulmonary disease	593500	1	1
301545019	Chronic obstructive airway disease	504768	1	1
640491000006111	Pulmonary emphysema	404449	1	1
2716231000006114	Chronic obstructive lung disease	366604	1	1
555471000006114	COAD - Chronic obstructive airways disease	253340	1	1
1488423019	Chronic obstructive pulmonary disease follow-up	228496	1	1
966841000006111	Chronic obstructive pulmonary disease clinical management plan	219676	1	1
405121000000111	Education about chronic obstructive pulmonary disease	216445	1	1
299031000000110	Chronic obstructive pulmonary disease does not disturb sleep	171194	1	1
553211000006119	Chron obstruct pulmonary dis wth acute exacerbation, unspec	132617	1	1
1783891000006115	Optimisation of medication for chronic obstructive pulmonary disease	93657	1	1
105519017	Chronic bronchitis	93011	1	1
424365019	Acute infective exacerbation of chronic obstructive airways disease	85685	1	1
516801000000112	Very severe chronic obstructive pulmonary disease	72150	1	1
1948051000006112	Asthma-chronic obstructive pulmonary disease overlap syndrome	53772	1	1
977901000006111	Emergency chronic obstructive pulmonary disease admission since last appointment	52854	1	1
845451000006118	COPD follow-up	52457	1	1
2160051010	Emergency hospital admission for chronic obstructive pulmonary disease	49276	1	1
977891000006112	Chronic obstructive pulmonary disease accident and emergency attendance since last visit	47517	1	1
405080018	H/O: chr.obstr. airway disease	40033	1	1
299001000000116	Chronic obstructive pulmonary disease disturbs sleep	34471	1	1
2010061000006113	Acute non-infective exacerbation of chronic obstructive pulmonary disease	25107	1	1
1222335015	Chronic obstructive pulmonary disease NOS	24324	1	1
285104011	Obstructive chronic bronchitis	20094	1	1
411520013	H/O: bronchitis	20041	1	1
1484971019	Chronic obstructive pulmonary disease monitoring due	18533	1	1
1780380013	Chronic obstructive pulmonary disease monitoring by nurse	17885	1	1
1161361000000118	Clinical chronic obstructive pulmonary disease questionnaire total score	16697	1	1
301477019	Emphysema NOS	15912	1	1
990641000006110	Chronic obst. pulm. dis. NOS	13774	1	1
885311000006116	Chronic obst. pulm. dis. NOS	13301	1	1
183191000006115	Recurrent wheezy bronchitis	12217	1	1
508561017	Simple chronic bronchitis	10622	1	1
301459012	Chronic bronchitis NOS	10295	1	1
555461000006119	Chronic obstructive pulmonary disease with acute lower respiratory infection	9611	1	1
301450011	Chronic asthmatic bronchitis	9576	1	1
998281000006115	Multiple chronic obstructive pulmonary disease emergency hospital admissions	8628	1	1
113497011	Centrilobular emphysema	7883	1	1
301539010	Other specified chronic obstructive airways disease	7807	1	1
1699821000006113	At risk of chronic obstructive pulmonary disease exacerbation	7204	1	1
301460019	Chronic bullous emphysema	7141	1	1
1765681000000110	History of chronic obstructive pulmonary disease	6824	1	1
216596014	End stage chronic obstructive airways disease	4565	1	1
285100019	Emphysematous bronchitis	3230	1	1
492443010	Bronchiolitis obliterans	3062	1	1
123588010	Mucopurulent chronic bronchitis	2831	1	1
4781421000006111	Acute exacerbation of COPD	2472	1	1
1780381012	Chronic obstructive pulmonary disease monitoring by doctor	1934	1	1
7049011000006110	Acute exacerbation of chronic bronchitis	1826	1	1
301451010	Chronic wheezy bronchitis	1530	1	1
2423731000000115	Telehealth chronic obstructive pulmonary disease monitoring	1524	1	1
8287171000006115	Acute non-infective exacerbation of COPD (chronic obstructive pulmonary disease)	1352	1	1
5516841000006119	History of chronic obstructive airway disease	1326	1	1
4781431000006114	Acute exacerbation of chronic obstructive pulmonary disease	1210	1	1
508562012	Chronic catarrhal bronchitis	1200	1	1
2240631000000119	Eosinophilic bronchitis	1169	1	1
3013801000006116	Paraseptal emphysema	1088	1	1
19421011	Interstitial pulmonary emphysema	924	1	1
301468014	Chronic bullous emphysema NOS	920	1	1
7586711000006111	Step up change in chronic obstructive pulmonary disease management plan	852	1	1
3517253011	Acute exacerbation of chronic obstructive pulmonary disease care plan	762	1	1
301469018	Other emphysema	671	1	1
1230190015	MacLeod's unilateral emphysema	648	1	1
1494601017	COAD follow-up	562	1	1
3011135010	Step down change in chronic obstructive pulmonary disease management plan	559	1	1
301835010	[X]Other emphysema	538	1	1
11929131000006112	Clinical chronic obstructive pulmonary disease questionnaire	487	1	1
7627141000006111	Pulmonary emphysema co-occurrent with fibrosis of lung	475	1	1
9337016	Panlobular emphysema	469	1	1
301455018	Obstructive chronic bronchitis NOS	401	1	1
301463017	Segmental bullous emphysema	397	1	1
7484671000006110	Chronic obstructive lung disorder medication review	396	1	1
885281000006118	Mucopurulent chr. bronchitis	350	1	1
301464011	Zonal bullous emphysema	346	1	1
27096010	Giant bullous emphysema	324	1	1
3611791000006110	Centriacinar emphysema	322	1	1
396110016	Other emphysema NOS	310	1	1
396108018	Bullous emphysema with collapse	308	1	1
301456017	Mixed simple and mucopurulent chronic bronchitis	278	1	1
885301000006119	Chr. airway obstruction NOS	272	1	1
301836011	[X]Other specified chronic obstructive pulmonary disease	268	1	1
9317341000006115	ACOS - asthma-chronic obstructive pulmonary disease overlap syndrome	239	1	1
506053014	Purulent chronic bronchitis	225	1	1
2767421000006111	Obstructive emphysema	191	1	1
7258581000006114	Acute exacerbation of chronic asthmatic bronchitis	169	1	1
301444018	Simple chronic bronchitis NOS	144	1	1
301448015	Mucopurulent chronic bronchitis NOS	130	1	1
457581000006111	Acute interstitial emphysema	122	1	1
87480013	Chronic tracheobronchitis	122	1	1
301572010	Chronic emphysema due to chemical fumes	100	1	1
2716261000006117	Chronic airflow obstruction	99	1	1
301470017	Acute vesicular emphysema	83	1	1
55602016	Compensatory emphysema	72	1	1
301457014	Other chronic bronchitis	71	1	1
8090191000006114	Acute exacerbation of chronic obstructive bronchitis	67	1	1
109301000006114	Tension pneumatocoele	67	1	1
7970171000006119	Acute exacerbation of chronic obstructive airways disease with asthma	64	1	1
