MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
32619017	Acute glomerulonephritis	K00	K00..00	19351000	32619017	NA	32
303866013	Chronic exudative glomerulonephritis	K02y1	K02y100	197617009	303866013	NA	32
303867016	Chronic focal glomerulonephritis	K02y2	K02y200	197618004	303867016	NA	32
303868014	Chronic diffuse glomerulonephritis	K02y3	K02y300	197619007	303868014	NA	32
303881019	Anaphylactoid glomerulonephritis	K0323	K032300	197629000	303881019	NA	32
354636018	Cytomegalovirus-induced glomerulonephritis	K0A9	K0A9.00	236590008	354636018	NA	32
303883016	Other familial glomerulonephritis	K0325	K032500	399340005	1778791010	NA	32
354348010	Lobular glomerulonephritis NEC	K032y-2	K032y12	52845002	87940013	NA	32
81261000006110	Unsp nephrit synd, diff mesang prolif glomerulonephritis	K03X	K03X.00	197679002	303967017	NA	32
303863017	Chronic rapidly progressive glomerulonephritis	K023	K023.00	236392004	354352010	NA	32
81251000006113	Unsp nephrit synd, diff endocap prolif glomerulonephritis	K03W	K03W.00	3704008	7243014	NA	32
81581000006119	Unspecif nephr synd, diff concentric glomerulonephritis	K03U	K03U.00	64212008	106739010	NA	32
3319041000006114	Hemorrhagic pneumonia AND glomerulonephritis	^ESCTHE331904		50581000	84263015	NA	32
3319071000006118	Pulmonary hemorrhage with glomerulonephritis	^ESCTPU331907		50581000	84267019	NA	32
3319121000006118	Haemorrhagic pneumonia AND glomerulonephritis	^ESCTHA331912		50581000	495716013	NA	32
3319111000006114	Pulmonary haemosiderosis with glomerulonephritis	^ESCTPU331911		50581000	495715012	NA	32
3403671000006118	Idiopathic crescentic glomerulonephritis, type III	^ESCTID340367		55652009	92508010	NA	31
7958391000006116	Microcephalus, glomerulonephritis, marfanoid habitus syndrome	^ESCTMI795839		733472005	3499508016	NA	31
3543641000006111	Idiopathic crescentic glomerulonephritis, type I	^ESCTID354364		64168005	106670012	NA	31
5095221000006119	Malignancy-associated glomerulonephritis	^ESCTMA509522		236508005	354522018	NA	31
6618781000006111	Non-progressive hereditary glomerulonephritis	^ESCTNO661878		399190000	1778644011	NA	31
3441621000006114	Acute benign haemorrhagic glomerulonephritis	^ESCTAC344162		57965003	3035870010	NA	31
7876941000006116	Immunotactoid glomerulonephritis	^ESCTIM787694		726082003	3448006018	NA	31
3618681000006111	Focal glomerulonephritis	^ESCTFO361868		68779003	200022010	NA	31
8033511000006111	Idiopathic glomerulonephritis	^ESCTID803351		106911000119102	3013430019	NA	31
4355451000006111	Immune-complex glomerulonephritis	^ESCTIM435545		123752003	192241013	NA	31
11921961000006120	[X]Unspecified nephritic syndrome, diffuse concentric glomerulonephritis	^ESCT1192196		396541000000106	891531000000113	NA	31
3692101000006114	Fibrillary glomerulonephritis	^ESCTFI369210		73305009	121734010	NA	31
458521000006111	Acute nephritic syndrome, diffuse crescentic glomerulonephritis	K0A07	K0A0700	197688006	303976012	NA	32
703451000006112	Isolated proteinuria with specified morphological lesion, diffuse concentric glomerulonephritis	K0A47	K0A4700	197725000	304022018	NA	32
763111000006117	Focal glomerulonephritis with focal recurrent macroscopic glomerulonephritis	K0322	K032200	36171008	60355017	NA	32
11926331000006120	Focal glomerulonephritis with focal recurrent macroscopic glomerulonephritis	^ESCT1192633		197628008	303880018	NA	31
7043491000006110	Sarcoidosis with glomerulonephritis	^ESCTSA704349		425384007	2643832017	NA	31
8027031000006117	Glomerulonephritis co-occurrent and due to scleroderma	^ESCTGL802703		89681000119101	3321219011	NA	31
6621311000006115	Hereditary glomerulonephritis	^ESCTHE662131		399340005	1786828019	NA	32
4788191000006111	Acute glomerulonephritis associated with another disorder	^ESCTAC478819		197582001	2575722013	NA	32
354363013	Crescentic glomerulonephritis	K0001	K000100	236398000	354363013	NA	32
303839013	Nephrotic syndrome, diffuse crescentic glomerulonephritis	K01B	K01B.00	197600002	303839013	NA	32
5093501000006113	Idiopathic endocapillary glomerulonephritis	^ESCTID509350		236394003	354355012	NA	31
303907019	Glomerulonephritis	K03z	K03z.00	36171008	60355017	NA	32
191881000006112	Rapidly progressive nephritic syndrome, diffuse crescentic glomerulonephritis	K0A17	K0A1700	197697005	303985012	NA	32
555381000006115	Chronic nephritic syndrome, diffuse crescentic glomerulonephritis	K0A37	K0A3700	197715005	304012012	NA	32
