MedCodeId	Term	Observations_jun24	old_2021	new_2024
344820010	Multiple myeloma	225080	1	1
201652012	Chronic lymphoid leukaemia	154153	1	1
587201000006115	Non-Hodgkin's lymphoma	117988	1	1
201612010	Acute myeloid leukaemia	77087	1	1
2663473018	Hodgkin's disease	71597	1	1
414174013	Monoclonal gammopathy of uncertain significance	67793	1	1
683041000006112	Myelodysplastic syndrome (clinical)	67774	1	1
311431000006119	[M]Lymphoma NOS	59489	1	1
344860011	Polycythaemia vera	52405	1	1
313381000006111	[M]Myeloma NOS	50411	1	1
555131000006118	Chronic lymphoid leukaemia, disease	49157	1	1
201656010	Chronic myeloid leukaemia	48930	1	1
2645960018	Myeloproliferative disorder	47880	1	1
509741017	Acute lymphoid leukaemia	36074	1	1
198006010	Diffuse large B-cell lymphoma	33963	1	1
403705015	Malignant neoplasm of lymphatic and haemopoietic tissue	32250	1	1
648841000006119	Essential thrombocythaemia	31220	1	1
2535665011	Essential thrombocytosis	30956	1	1
88121017	Myelofibrosis	26350	1	1
314061000006117	[M]Non-Hodgkin's lymphoma	26155	1	1
82041000006113	B-cell non-Hodgkin's lymphoma	24699	1	1
763421000006116	Follicular lymphoma NOS	24163	1	1
728721000006111	Malignant lymphoma	23486	1	1
451429010	Follicular non-Hodgkin's lymphoma	22749	1	1
683071000006116	Myelodysplastic syndrome	21031	1	1
344859018	Polycythaemia rubra vera	20069	1	1
289987014	Malignant neoplasm lymphatic or haematopoietic tissue NOS	18943	1	1
406154013	Non-Hodgkin's lymphoma (clinical)	18451	1	1
293380012	Waldenstrom's macroglobulinaemia	15911	1	1
2663191017	Mycosis fungoides	13822	1	1
554151000006112	Polycythaemia vera (clinical)	13241	1	1
2535663016	Primary polycythaemia	12687	1	1
683051000006114	Myelodysplasia	11826	1	1
215917018	[M] Monoclonal gammopathy	11731	1	1
123978016	Mantle cell lymphoma	11127	1	1
2475440015	Serum albumin low	11045	1	1
311671000006118	Malignant lymphoma	9815	1	1
289820010	Malignant lymphoma (clinical)	9744	1	1
225051000006119	Plasmacytoma	9148	1	1
