MedCodeId	Term	Observations_jun24	old_2021	new_2024
139475013	Heart failure	1240899	1	1
70653017	Congestive heart failure	911364	1	1
141306010	Left ventricular failure	827514	1	1
493287011	Congestive cardiac failure	556076	1	1
216207010	Left ventricular systolic dysfunction	364656	1	1
2159197017	Echocardiogram shows left ventricular systolic dysfunction	245283	1	1
2549243014	Seen in heart failure clinic	215480	1	1
142397010	Cardiomyopathy	212817	1	1
2616471011	New York Heart Association Classification - Class II	156286	1	1
784191000006110	Impaired left ventricular function	139445	1	1
2548316014	Seen by community heart failure nurse	125528	1	1
2616470012	New York Heart Association Classification - Class I	95009	1	1
2616472016	New York Heart Association Classification - Class III	70457	1	1
301694014	Pulmonary oedema	69410	1	1
300040013	Primary dilated cardiomyopathy	63404	1	1
411506018	Impaired left ventricular function	59095	1	1
216184014	Congestive heart failure monitoring	45688	1	1
75410014	Hypertrophic obstructive cardiomyopathy	45078	1	1
2159198010	Echocardiogram shows left ventricular diastolic dysfunction	44445	1	1
1489358014	Left ventricular diastolic dysfunction	44123	1	1
139482012	Cardiac failure	42695	1	1
395772015	Heart failure NOS	42327	1	1
107545013	Hypertensive heart disease	40016	1	1
1647701000000118	Heart failure with normal ejection fraction	37004	1	1
3886041000006118	Left heart failure	36374	1	1
300179017	Decompensated cardiac failure	34878	1	1
6978012	Diastolic dysfunction	34626	1	1
2549697018	Referral to heart failure nurse	32951	1	1
1488804017	Heart failure confirmed	32163	1	1
7573171000006116	Heart failure with reduced ejection fraction	31531	1	1
147247018	Chronic congestive heart failure	25868	1	1
132655012	Chronic cor pulmonale	22251	1	1
510016018	Biventricular congestive heart failure	21501	1	1
206703015	Right heart failure	19109	1	1
299796018	Ischaemic cardiomyopathy	19108	1	1
300910013	Hypertrophic cardiomyopathy	19030	1	1
300062013	Cardiomyopathy NOS	18098	1	1
300038015	Hypertrophic non-obstructive cardiomyopathy	16570	1	1
300190010	Acute left ventricular failure	15328	1	1
138527014	Alcoholic cardiomyopathy	14295	1	1
1490256017	Acute pulmonary oedema	12838	1	1
833381000006119	New York Heart Association Classification class	12500	1	1
6615851000006116	Dilated cardiomyopathy	12263	1	1
82584011	Acute cor pulmonale	11239	1	1
34556015	Secondary dilated cardiomyopathy	10079	1	1
251680018	H/O: heart failure	9655	1	1
18472010	Acute congestive heart failure	9496	1	1
2227501000000110	Heart failure with preserved ejection fraction	9233	1	1
7025691000006110	Decompensated chronic heart failure	8898	1	1
2616473014	New York Heart Association Classification - Class IV	6784	1	1
2694523019	Left ventricular cardiac dysfunction	6169	1	1
94251011	Acute heart failure	5601	1	1
2548656015	Right ventricular systolic dysfunction	4709	1	1
301741013	Acute pulmonary oedema unspecified	4401	1	1
1816101000006113	Right ventricular failure	4366	1	1
2117931000000116	Heart failure self-management plan agreed	4362	1	1
4776121000006117	Generalised ischaemic myocardial dysfunction	4054	1	1
299851018	Other chronic pulmonary heart disease	3656	1	1
1778488011	Congestive cardiomyopathy	3363	1	1
301743011	Acute pulmonary oedema NOS	3315	1	1
7321121000006119	Heart failure with preserved ejection fraction	3188	1	1
490972013	Right ventricular failure	3085	1	1
223981000000118	Cardiac failure NOS	2988	1	1
451426015	Cardiac failure therapy	2892	1	1
395756011	Chronic pulmonary heart disease NOS	2541	1	1
59588016	Familial cardiomyopathy	2453	1	1
3182541000006117	Congestive cardiac failure	2378	1	1
419130013	Arrhythmogenic right ventricular cardiomyopathy	2084	1	1
3182551000006115	CCF - Congestive cardiac failure	2079	1	1
13910671000006110	Heart failure with mid range ejection fraction	1995	0	1
3855401000006112	Cor pulmonale	1968	1	1
395768019	Cardiomyopathy associated with another disorder	1907	1	1
300180019	Compensated cardiac failure	1851	1	1
4777091000006118	Hypertrophic cardiomyopathy without obstruction	1836	1	1
316833010	Congenital cardiac failure	1543	1	1
145620019	Chronic pulmonary heart disease	1454	1	1
6029491000006114	No cardiac failure	1397	1	1
537991000006111	Postpartum cardiomyopathy	1363	1	1
2675255018	Congestive heart failure due to valvular disease	1332	1	1
11927011000006113	New York Heart Association Classification	1265	1	1
2664351000006113	Chronic right-sided heart failure	1140	1	1
2549208013	Emergency hospital admission for heart failure	1005	1	1
453099015	H/O: Heart failure in last year	999	1	1
7251291000006119	Chronic diastolic heart failure	974	1	1
7056281000006118	Congestive heart failure due to left ventricular systolic dysfunction	956	1	1
3283871000006117	Chronic heart failure	917	1	1
494669012	Chronic pulmonary oedema	854	1	1
2549128016	Right ventricular diastolic dysfunction	825	1	1
741681000006111	Hypertensive heart disease NOS with CCF	710	1	1
1661371000000112	HFNEF - heart failure with normal ejection fraction	669	1	1
1495417010	Cardiac asthma	657	1	1
300911012	Primary restrictive cardiomyopathy	625	1	1
300912017	[X]Other cardiomyopathies	605	1	1
741661000006118	Hypertensive heart disease NOS	604	1	1
504901000006118	Benign hypertensive heart disease with congestive cardiac failure	586	1	1
2674238014	Tachycardia-induced cardiomyopathy	572	1	1
299655012	Hypertensive heart disease NOS	498	1	1
3859091000006114	Dilated cardiomyopathy secondary to alcohol	495	1	1
741691000006114	Hypertensive heart disease NOS without CCF	447	1	1
300054017	Cardiomyopathy in myotonic dystrophy	441	1	1
4193361000006119	Chronic left-sided heart failure	394	1	1
7573201000006117	Heart failure with reduced ejection fraction due to cardiomyopathy	394	1	1
1703621000000112	Worsening pulmonary oedema	360	1	1
300032019	Other primary cardiomyopathies	353	1	1
401870011	Postoperative pulmonary oedema	316	1	1
72934016	Rheumatic left ventricular failure	313	1	1
460126017	Cardiomyopathy in Duchenne muscular dystrophy	290	1	1
150511013	Constrictive cardiomyopathy	290	1	1
412678013	Neonatal cardiac failure	245	1	1
300041012	Other primary cardiomyopathy NOS	236	1	1
7573181000006118	Heart failure with reduced ejection fraction due to coronary artery disease	235	1	1
6873341000006113	Restrictive cardiomyopathy	233	1	1
1705371000000116	Tachycardiomyopathy	226	1	1
6960931000006110	NYHA - New York Heart Association Classification	216	1	1
1778232017	Endomyocardial fibrosis	184	1	1
884181000006110	Pulmonary heart disease	174	1	1
5331151000006110	Arrhythmogenic right ventricular dysplasia	168	1	1
139481017	Weak heart	156	1	1
350484012	Heart failure as a complication of care	154	1	1
299673010	Hypertensive heart and renal disease with renal failure	141	1	1
3589241000006116	Chronic right-sided congestive heart failure	124	1	1
