MedCodeId	Term	Observations_jun24	old_2021	new_2024
99042012	Essential hypertension	42976751	1	1
64168014	Hypertensive disease	12966764	1	1
790121000006116	Hypertension	1376729	1	1
395751018	Essential hypertension NOS	1162591	1	1
299687010	Hypertensive disorder	886398	1	1
64172013	Elevated blood pressure	646673	1	1
251674014	H/O: hypertension	554592	1	1
3135013	Benign essential hypertension	415796	1	1
264471012	Good hypertension control	332456	1	1
443764015	On treatment for hypertension	171291	1	1
264472017	Poor hypertension control	125143	1	1
264486018	Hypertensive treatment changed	114104	1	1
523801000006119	BP - hypertensive disease	104805	1	1
93494011	Systolic hypertension	83157	1	1
43850011	Pulmonary arterial hypertension	61270	1	1
264485019	Treatment for hypertension started	52463	1	1
1846991000006111	Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)	52226	1	1
1846941000006119	Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)	48154	1	1
53452019	Secondary hypertension	44008	1	1
107545013	Hypertensive heart disease	40016	1	1
1908711000006115	Stage 1 hypertension (NICE 2011) without evidence of end organ damage	33725	1	1
64282015	Hypertensive renal disease	32203	1	1
131046010	Malignant essential hypertension	29937	1	1
2193031000000112	Stage 1 hypertension	29188	1	1
12496011	Hypertensive retinopathy	23666	1	1
1780318013	Moderate hypertension control	14818	1	1
77942011	Severe pre-eclampsia	11459	1	1
47076011	Renal hypertension	8510	1	1
299686018	Other specified hypertensive disease	5737	1	1
80224019	Diastolic hypertension	5722	1	1
3642801000006112	Malignant hypertension	5328	1	1
411508017	Cardiomegaly - hypertensive	4625	1	1
1908721000006111	Stage 1 hypertension (NICE 2011) with evidence of end organ damage	3790	1	1
2193971000000110	Hypertension resistant to drug therapy	2926	1	1
1846961000006115	Severe hypertension (NICE - National Institute for Health and Clinical Excellence 2011)	2921	1	1
84111015	Hypertensive encephalopathy	2737	1	1
212991000006114	Pre-eclampsia or eclampsia with pre-existing hypertension - delivered	2627	1	1
2193021000000110	Severe hypertension	2286	1	1
395753015	Hypertensive renal disease NOS	2072	1	1
54939014	Nephrosclerosis	1889	1	1
299665018	Hypertensive renal disease with renal failure	1576	1	1
299683014	Renovascular hypertension	1570	1	1
213011000006113	Pre-eclampsia or eclampsia with hypertension unspecified	1310	1	1
99047018	Primary hypertension	1089	1	1
299681011	Hypertension secondary to endocrine disorders	1055	1	1
158241000006117	Secondary hypertension NOS	993	1	1
299682016	Secondary hypertension NOS	930	1	1
84112010	Hypertensive crisis	928	1	1
108730018	Malignant hypertensive renal disease	913	1	1
884121000006111	Malignant hypertension	856	1	1
305818015	Pre-eclampsia or eclampsia with pre-existing hypertension	841	1	1
504811000006110	Benign essential hypertension in preg/childb/puerp unspec	780	1	1
2478822013	Secondary benign renovascular hypertension	768	1	1
151161000006115	Malignant secondary hypertension	746	1	1
741681000006111	Hypertensive heart disease NOS with CCF	710	1	1
1409014	Benign hypertensive renal disease	681	1	1
143003017	Hypertensive heart AND renal disease	645	1	1
741661000006118	Hypertensive heart disease NOS	604	1	1
299678018	Secondary benign hypertension	596	1	1
