MedCodeId	Term	Observations_jun24	old_2021	new_2024
94884017	Acute myocardial infarction	1868005	1	1
1780501013	Acute non-ST segment elevation myocardial infarction	590905	1	1
219531000000117	MI - acute myocardial infarction	340690	1	1
1780491019	Acute ST segment elevation myocardial infarction	253938	1	1
299714019	Acute myocardial infarction of inferior wall	111949	1	1
4031011	Old myocardial infarction	71685	1	1
299721019	Acute myocardial infarction NOS	69806	1	1
299709018	Anterior myocardial infarction NOS	28357	1	1
455641000006112	Acute anterolateral myocardial infarction	18171	1	1
810811000006116	H/O: myocardial infarct at less than 60	17695	1	1
810821000006112	H/O: myocardial infarct at greater than 60	16209	1	1
116992017	Acute subendocardial infarction	12582	1	1
457531000006110	Acute inferolateral myocardial infarction	12558	1	1
37443015	Heart attack	12406	1	1
299707016	Acute anterior myocardial infarction	8788	1	1
230021000006115	Personal history of myocardial infarction	7618	1	1
2855301000006112	Myocardial infarction	7486	1	1
884151000006119	Myocardial Infarction	6869	1	1
256452010	ECG: myocardial infarction	6400	1	1
299710011	Acute posterior myocardial infarction	5604	1	1
256454011	ECG: old myocardial infarction	5594	1	1
455651000006114	Acute anteroseptal myocardial infarction	5459	1	1
1234005010	Acute inferoposterior infarction	4496	1	1
450322013	Acute non-Q wave infarction	3935	1	1
350376014	Silent myocardial infarction	3480	1	1
299711010	Acute lateral myocardial infarction	3393	1	1
1786197015	Coronary thrombosis	3246	1	1
1738171000006114	History of myocardial infarction	3243	1	1
451369010	H/O: Myocardial infarction in last year	2355	1	1
299718016	Other acute myocardial infarction	2189	1	1
6651391000006114	NSTEMI - Non-ST segment elevation MI	2007	1	1
256455012	ECG: antero-septal infarct.	1916	1	1
13930051000006117	Dressler's syndrome	1675	0	1
458410010	Post infarct angina	1471	1	1
256457016	ECG:posterior/inferior infarct	1394	1	1
219521000000119	Attack - heart	1197	1	1
256460011	ECG: myocardial infarct NOS	1065	1	1
7571581000006113	Acute anterior ST segment elevation myocardial infarction	1000	1	1
299808017	Subsequent myocardial infarction	877	1	1
208365015	Postoperative myocardial infarction	863	1	1
4032016	Healed myocardial infarction	779	1	1
6651221000006117	STEMI - ST elevation myocardial infarction	773	1	1
1234306015	Acute septal infarction	738	1	1
7572321000006112	Acute ST segment elevation myocardial infarction of inferior wall	738	1	1
447324018	Acute Q-wave infarct	622	1	1
884141000006116	Coronary thrombosis	611	1	1
299720018	Other acute myocardial infarction NOS	597	1	1
460681000006116	Acute transmural myocardial infarction of unspecif site	581	1	1
256458014	ECG: subendocardial infarct	580	1	1
299719012	Acute atrial infarction	573	1	1
299712015	True posterior myocardial infarction	566	1	1
256459018	ECG: lateral infarction	506	1	1
1786198013	Thrombosis - coronary	504	1	1
3381601000006117	Acute myocardial infarction of anterior wall	458	1	1
109915012	Post-myocardial infarction syndrome	388	1	1
216351000006118	Post infarction pericarditis	361	1	1
967931000006114	Acute myocardial infarction of posterolateral wall	357	1	1
299708014	Acute anteroapical infarction	327	1	1
537751000006115	Cardiac rupture after acute myocardial infarction	248	1	1
100681000006116	Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction	226	1	1
299812011	Subsequent myocardial infarction of inferior wall	218	1	1
7571601000006115	Acute STEMI (ST elevation myocardial infarction) of anterior wall	202	1	1
6601121000006118	Coronary artery thrombosis	200	1	1
7572331000006110	Acute STEMI (ST elevation myocardial infarction) of inferior wall	200	1	1
9868571000006116	Mural thrombus of left ventricle following acute myocardial infarction	176	1	1
299811016	Subsequent myocardial infarction of anterior wall	148	1	1
455422014	Postoperative subendocardial myocardial infarction	128	1	1
5056421000006119	Old inferior myocardial infarction	125	1	1
13930031000006112	Delayed postmyocardial infarction pericarditis	118	0	1
813961000006116	Haemopericardium as current complication following acute myocardial infarction	116	1	1
3641641000006116	Acute myocardial infarction of anterolateral wall	115	1	1
362461000006119	[X]Acute transmural myocardial infarction of unspecif site	114	1	1
498031000006112	Atrial septal defect as current complication following acute myocardial infarction	103	1	1
455423016	Postoperative myocardial infarction, unspecified	100	1	1
12122341000006114	Acute ST segment elevation myocardial infarction of inferoposterior wall	95	1	1
12122331000006116	Acute ST segment elevation myocardial infarction of inferolateral wall	95	1	1
109916013	Dressler's syndrome	93	1	1
14015031000006119	Myocardial infarction due to demand ischaemia	85	0	1
5056411000006110	Old anterior myocardial infarction	75	1	1
9843961000006118	Acute ST segment elevation myocardial infarction of anterolateral wall	75	1	1
67081000006119	Ventricular septal defect as current complication following acute myocardial infarction	71	1	1
7510331000006117	History of non-ST segment elevation myocardial infarction	67	1	1
118831000006118	Subsequent myocardial infarction of unspecified site	62	1	1
5056941000006119	Post-infarction pericarditis	62	1	1
6546751000006118	First myocardial infarction	62	1	1
2855351000006111	Myocardial infarct	60	1	1
8087751000006116	Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery	60	1	1
3565871000006113	Acute myocardial infarction of inferolateral wall	59	1	1
543291000006110	Myocardial infarction with complication	56	1	1
7574481000006111	Subsequent non-ST segment elevation myocardial infarction	54	1	1
4586131000006114	ECG: anteroseptal infarction	52	1	1
9844011000006119	Acute ST segment elevation myocardial infarction of posterior wall	49	1	1
13941141000006111	Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion	40	0	1
2515471000006117	Septal infarction by electrocardiogram	38	1	1
3452181000006112	Acute myocardial infarction of lateral wall	37	1	1
6043771000006118	Non-Q wave myocardial infarction	33	1	1
7093091000006111	Recent myocardial infarction	30	1	1
8011041000006111	Acute myocardial infarction due to right coronary artery occlusion	27	1	1
13935211000006117	Acute myocardial infarction of inferolateral wall with posterior extension	27	0	1
3745741000006117	Acute myocardial infarction of inferoposterior wall	26	1	1
616081000006113	Diabetes mellitus insulin-glucose infusion in acute myocardial infarction	26	1	1
5935321000006111	Acute Q wave myocardial infarction	26	1	1
3699921000006110	Acute inferior myocardial infarction	24	1	1
212071000006114	Postoperative transmural myocardial infarction of inferior wall	24	1	1
3459561000006119	Acute myocardial infarction of apical-lateral wall	24	1	1
7574491000006114	Subsequent NSTEMI (non-ST segment elevation myocardial infarction)	24	1	1
4586111000006115	Anteroseptal infarction on electrocardiogram	23	1	1
212061000006119	Postoperative transmural myocardial infarction of anterior wall	21	1	1
299813018	Subsequent myocardial infarction of other sites	20	1	1
7572341000006117	Acute inferior ST segment elevation myocardial infarction	20	1	1
3024781000006112	Past myocardial infarction diagnosed on ECG AND/OR other special investigation, but currently presenting no symptoms	19	1	1
300882013	[X]Subsequent myocardial infarction of unspecified site	18	1	1
3576371000006117	Postmyocardial infarction syndrome	17	1	1
5056501000006113	Post-infarction ventricular septal defect	16	1	1
7084801000006112	Mixed myocardial ischaemia and infarction	15	1	1
9843981000006111	Acute ST segment elevation myocardial infarction of lateral wall	15	1	1
158601000006116	Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction	14	1	1
13941091000006115	Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion	14	0	1
9843991000006114	Acute ST segment elevation myocardial infarction of anteroseptal wall	13	1	1
9844051000006118	Acute ST segment elevation myocardial infarction due to right coronary artery occlusion	13	1	1
408571000006116	[X]Other current complicatns following acute myocard infarct	13	1	1
5056431000006116	Old lateral myocardial infarction	12	1	1
3551171000006114	Acute myocardial infarction of high lateral wall	12	1	1
212091000006110	Postoperative transmural myocardial infarction unspec site	11	1	1
7571611000006117	Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle	11	1	1
