MedCodeID	Term
8447981000006114	Osteoarthritis of right sternoclavicular joint
3526589011	Osteoarthritis of left sternoclavicular joint
8448071000006113	Osteoarthritis of right foot
3526597016	Osteoarthritis of midtarsal joint of right foot
8448101000006115	Osteoarthritis of first metatarsophalangeal joint of right foot
8448121000006113	Osteoarthritis of left foot
3526595012	Osteoarthritis of midtarsal joint of left foot
8448161000006119	Osteoarthritis of first metatarsophalangeal joint of left foot
8448181000006112	Osteoarthritis of right foot due to trauma
3526586016	Osteoarthritis of left foot due to trauma
3526577014	Osteoarthritis of right sacroiliac joint
3526575018	Osteoarthritis of left sacroiliac joint
8033821000006117	Advanced collapse of scapholunate joint due to osteoarthritis
2674231000006119	Thoracic spondylosis with cord compression
2674221000006117	Spondylogenic compression of thoracic spinal cord
19006012	Thoracic spondylosis with myelopathy
4167981000006117	Degenerative arthritis of temporomandibular joint
9489971000006112	Osteoarthritis of right patellofemoral joint
9489991000006113	Osteoarthritis of left patellofemoral joint
9490011000006112	Osteoarthritis of bilateral patellofemoral joints
9490001000006114	Bilateral patellofemoral joint osteoarthritis
4356061000006113	Lumbosacral spondylosis
9840941000006112	Osteoarthritis of right temporomandibular joint
9840951000006114	Osteoarthritis of right TMJ (temporomandibular joint)
9840971000006116	Osteoarthritis of left temporomandibular joint
9840981000006118	Osteoarthritis of left TMJ (temporomandibular joint)
9845101000006117	Osteoarthritis of left subtalar joint
9845111000006119	Degenerative joint disease of left subtalar joint
9845141000006115	Degenerative joint disease of right subtalar joint
9845131000006113	Osteoarthritis of right subtalar joint
9845171000006111	Osteoarthritis of bilateral first MTP joints
9845161000006116	Osteoarthritis of first metatarsophalangeal joint of bilateral feet
9845151000006118	Bilateral osteoarthritis of first metatarsophalangeal joint of feet
3517974019	Osteoarthritis of both sacroiliac joints
3517972015	Bilateral osteoarthritis of sacroiliac joints
3517968019	Osteoarthritis of bilateral sacroiliac joints
9846011000006114	Heberden's nodes of the distal interphalangeal joints of the right hand
9845991000006110	Right Heberdens nodes with arthropathy
9846001000006111	Heberden nodes of right hand
9846031000006115	Left Heberdens nodes with arthropathy
9846041000006113	Heberden nodes of left hand
9846051000006110	Heberden's nodes of the distal interphalangeal joints of the left hand
3526582019	Osteoarthritis of bilateral feet due to trauma
3526585017	Osteoarthritis of both feet due to trauma
3526584018	Bilateral osteoarthritis of feet due to trauma
12126971000006118	Bilateral osteoarthritis of midtarsal joints of feet
12126991000006117	Osteoarthritis of midtarsal joints of both feet
12126981000006115	Osteoarthritis of midtarsal joints of bilateral feet
251795011	H/O: osteoarthritis
4541351000006118	History of osteoarthritis
9934091000006116	Osteoarthritis of left ankle due to trauma
9934111000006113	Osteoarthritis of right ankle due to trauma
9934121000006117	Primary osteoarthritis of right ankle
11860791000006118	Osteoarthritis of joint right ankle
297465015	Nerve root and plexus compressions in spondylosis
309877012	Erosive osteoarthrosis
309896011	Localised, primary osteoarthritis of the lower leg
4809541000006117	Primary localized osteoarthrosis
309881012	Localised, primary osteoarthritis
4809531000006110	Primary localised osteoarthrosis
309911018	Localised, primary osteoarthritis NOS
309884016	Localised, primary osteoarthritis of unspecified site
4809521000006112	Localized, primary osteoarthritis
309899016	Localised, primary osteoarthritis of other specified site
4809571000006113	Primary localised osteoarthrosis of shoulder region
309885015	Localised, primary osteoarthritis of the shoulder region
4809581000006111	Primary localized osteoarthrosis of shoulder region
4809561000006118	Localized, primary osteoarthritis of the shoulder region
4809601000006118	Localized, primary osteoarthritis of the hand
309892013	Localised, primary osteoarthritis of the hand
4809621000006111	Primary localised osteoarthrosis of hand
4809611000006115	Primary localized osteoarthrosis of hand
4809641000006116	Localized, primary osteoarthritis of the pelvic region and thigh
736911000006116	Localised, primary osteoarthritis of the pelvic region and thigh
4809691000006113	Primary localized osteoarthrosis of ankle AND/OR foot
400188013	Localised, primary osteoarthritis of the ankle and/or foot
4809681000006110	Localized, primary osteoarthritis of the ankle and/or foot
4809701000006113	Primary localised osteoarthrosis of ankle AND/OR foot
309965018	Localised osteoarthritis, unspecified, of the ankle and foot
4809661000006117	Localized, primary osteoarthritis of the ankle and foot
309898012	Localised, primary osteoarthritis of the ankle and foot
309919016	Localised, secondary osteoarthritis of the upper arm
4809771000006119	Secondary localized osteoarthrosis
309922019	Localised, secondary osteoarthritis of the forearm
309930018	Localised, secondary osteoarthritis of the lower leg
4809781000006116	Secondary localised osteoarthrosis
309934010	Localised, secondary osteoarthritis of other specified site
309914014	Localised, secondary osteoarthritis
309915010	Localised, secondary osteoarthritis of unspecified site
309941016	Localised, secondary osteoarthritis NOS
4809761000006114	Localized, secondary osteoarthritis
4809811000006119	Secondary localized osteoarthrosis of shoulder region
4809801000006117	Localized, secondary osteoarthritis of the shoulder region
309918012	Localised, secondary osteoarthritis of the shoulder region
4809821000006110	Secondary localised osteoarthrosis of shoulder region
4809841000006115	Localized, secondary osteoarthritis of the hand
309923012	Localised, secondary osteoarthritis of the hand
4809851000006118	Secondary localised osteoarthrosis of hand
4809861000006116	Secondary localized osteoarthrosis of hand
309933016	Localised, secondary osteoarthritis of the ankle and foot
4809921000006118	Secondary localized osteoarthrosis of ankle AND/OR foot
4809911000006114	Secondary localised osteoarthrosis of ankle AND/OR foot
4809871000006111	Localised, secondary osteoarthritis of the ankle and/or foot
4809881000006114	Localized, secondary osteoarthritis of the ankle and foot
