MedCodeId	Term	Observations_jun24	old_2021	new_2024
81717011	Parkinson's disease	1367963	1	1
41398015	Multiple sclerosis	939687	1	1
105536013	Intermittent claudication	576291	1	1
87704019	Chronic fatigue syndrome	345362	1	1
151829017	Myasthenia gravis	115021	1	1
486695013	Motor neurone disease	108676	1	1
411453017	Congenital cerebral palsy	106563	1	1
496414017	CFS - Chronic fatigue syndrome	95444	1	1
297037012	Parkinson's disease NOS	85813	1	1
411512011	Claudication	71461	1	1
97642017	Huntington's chorea	65573	1	1
98501012	Hemiplegic migraine	59721	1	1
100323011	Paraplegia	58025	1	1
295688010	Dementia in Parkinsons disease	51583	1	1
399393010	Cerebral degeneration	39106	1	1
84272011	Hemiplegia	38369	1	1
415152011	Left sided weakness	36450	1	1
68321016	Guillain-Barre syndrome	35443	1	1
496410014	ME - Myalgic encephalomyelitis	30535	1	1
254935018	O/E - Parkinsonian tremor	26748	1	1
415147018	Left hemiplegia	26694	1	1
415149015	Right sided weakness	26005	1	1
415146010	Right hemiplegia	25976	1	1
81719014	Paralysis agitans	25462	1	1
206411014	Cerebral palsy	23874	1	1
5611521000006114	Left hemiparesis	23520	1	1
820131000006114	Hemiparesis	23461	1	1
48513015	Progressive supranuclear palsy	22824	1	1
684221000006112	Myalgic encephalomyelitis	22337	1	1
1682241000006111	Relapsing remitting multiple sclerosis	21806	1	1
19943011	Quadriplegia	18908	1	1
5611501000006116	Right hemiparesis	18837	1	1
297181019	Multiple sclerosis NOS	18114	1	1
496413011	Myalgic encephalomyelitis	17495	1	1
345773014	Spastic cerebral palsy	16049	1	1
345122012	Multiple system atrophy	15051	1	1
33703013	Hemiparesis	14680	1	1
345121017	Vascular parkinsonism	14622	1	1
297239016	Congenital cerebral palsy NOS	14584	1	1
297244011	Spastic paraplegia	14041	1	1
151961000006118	Secondary parkinsonism	13380	1	1
121721014	Muscular dystrophy	13145	1	1
3028151000006111	Parkinsonism	13144	1	1
543071000006115	Cerebral palsy with spastic diplegia	12980	1	1
345771011	Infantile cerebral palsy	12872	1	1
19944017	Tetraplegia	12654	1	1
127307018	Duchenne muscular dystrophy	12413	1	1
66483014	Hereditary spastic paraplegia	11799	1	1
299241000000110	Multiple sclerosis review	10490	1	1
297180018	Exacerbation of multiple sclerosis	8400	1	1
18091019	Friedreich ataxia	8272	1	1
297655019	Myopathy or muscular dystrophy NOS	8198	1	1
296958010	Cerebral degeneration in childhood	7494	1	1
297242010	Spastic tetraplegia	6313	1	1
1778554019	Facioscapulohumeral muscular dystrophy	5957	1	1
2674605012	Secondary progressive multiple sclerosis	5683	1	1
2692565012	Primary progressive multiple sclerosis	5372	1	1
254829017	O/E - hemiplegia	5178	1	1
72531016	Infantile hemiplegia	5098	1	1
132112014	Spastic hemiplegia	4792	1	1
317122017	Spastic gait	4720	1	1
297210016	Hemiplegia NOS	4282	1	1
411456013	Congenital diplegia	4093	1	1
1481810012	Becker muscular dystrophy	4063	1	1
1148731000000112	History of Parkinson's disease	4028	1	1
146760018	Wilson's disease	3842	1	1
124598014	Athetoid cerebral palsy	3801	1	1
297582016	Myasthenia gravis NOS	3718	1	1
402514015	O/E - Parkinson gait	3715	1	1
3101701000006117	Motor neuron disease	3684	1	1
90263012	Progressive bulbar palsy	3505	1	1
297000018	Degenerative brain disorder	3487	1	1
254835017	O/E - diplegia	3438	1	1
1223979019	Disseminated sclerosis	3191	1	1
297258013	Progressive supranuclear palsy	3015	1	1
297179016	Generalised multiple sclerosis	2933	1	1
142016013	Anterior horn cell disease	2931	1	1
1815951000006119	Spastic quadriplegic cerebral palsy	2929	1	1
299393011	[X]Cerebral palsy and other paralytic syndromes	2833	1	1
402512016	O/E-festination-Parkinson gait	2734	1	1
297130012	Motor neurone disease NOS	2696	1	1
13165015	Pseudobulbar palsy	2549	1	1
39846012	Primary cerebellar degeneration	2498	1	1
254834018	O/E - quadriplegia	2461	1	1
295687017	Dementia due to Huntington chorea	2429	1	1
48512013	Progressive supranuclear ophthalmoplegia	2373	1	1
297232013	Infantile hemiplegia NOS	2207	1	1
451123015	Cerebral palsy, not congenital or infantile, acute	2182	1	1
411455012	Congenital quadriplegia	2179	1	1
142653015	Amyotrophic lateral sclerosis	2057	1	1
299314016	[X]Parkinsonism in diseases classified elsewhere	1987	1	1
299313010	[X]Other secondary parkinsonism	1965	1	1
478046010	Cerebellar ataxia due to alcoholism	1929	1	1
134744017	Primary lateral sclerosis	1907	1	1
100638016	Subacute combined degeneration of spinal cord	1882	1	1
497021000006113	Athetoid cerebral palsy	1875	1	1
5010911000006114	Ocular myasthenia	1748	1	1
411454011	Congenital spastic cerebral palsy	1629	1	1
7043651000006119	Dementia associated with Parkinson's Disease	1622	1	1
297238012	Other infantile cerebral palsy NOS	1620	1	1
4405691000006116	Chronic inflammatory demyelinating polyradiculoneuropathy	1582	1	1
3445431000006112	Diplegic cerebral palsy	1566	1	1
1715241000006112	Vascular claudication	1452	1	1
882411000006117	Nervous debility -neurasthenia	1377	1	1
92747014	Symptomatic torsion dystonia	1362	1	1
296959019	Leucodystrophy	1300	1	1
481281019	Progressive multifocal leucoencephalopathy	1299	1	1
62891000006110	Vogt-Koyanagi-Harada disease	1270	1	1
345780011	Dyskinetic cerebral palsy	1238	1	1
3293631000006118	Idiopathic Parkinson's disease	1204	1	1
280121000006113	O/E - Parkinson posture	1199	1	1
127990018	Oculopharyngeal muscular dystrophy	1185	1	1
94780015	Eaton-Lambert syndrome	1162	1	1
297043014	Orthostatic hypotension co-occurrent and due to Parkinson's disease	1150	1	1
254833012	O/E - paraplegia	1143	1	1
1815981000006110	Cerebral palsy NOS	1110	1	1
1785557019	Metachromatic leucodystrophy	1105	1	1
2122001000000116	Spastic hemiplegic cerebral palsy	1055	1	1
52052015	Postpolio syndrome	1040	1	1
133450019	Monoplegia of lower limb	1036	1	1
297131011	Other anterior horn cell disease	1035	1	1
2475877015	Ataxic diplegic cerebral palsy	999	1	1
302151000000117	Hemiparesis NOS	996	1	1
428171000006118	Subacute combined degeneration of spinal cord	988	1	1
1815931000006114	Spastic diplegic cerebral palsy	918	1	1
299321016	[X]Secondary parkinsonism, unspecified	902	1	1
109618012	Supranuclear paralysis	890	1	1
297234014	Ataxic infantile cerebral palsy	880	1	1
297177019	Multiple sclerosis of the spinal cord	877	1	1
315671000000110	Multiple sclerosis multidisciplinary review	868	1	1
297243017	Flaccid paraplegia	798	1	1
65526011	Diabetic amyotrophy	788	1	1
69671016	Monoplegia of upper limb	771	1	1
979461000006111	Specialised services for patients with multiple sclerosis enhanced services administration	765	1	1
300141000000119	Multiple sclerosis care plan agreed	733	1	1
1232670018	X-linked adrenoleucodystrophy	732	1	1
254944017	O/E -Parkinson flexion posture	727	1	1
297223011	Congenital diplegia NOS	722	1	1
178743010	Congenital hereditary muscular dystrophy	711	1	1
557181000000116	Worster Drought syndrome	667	1	1
27731000006112	Other limb-girdle muscular dystrophy	662	1	1
297593019	Congenital and developmental myasthenia	661	1	1
2841061014	Multiple system atrophy, Parkinson variant	624	1	1
147444011	Progressive muscular atrophy	620	1	1
297013012	Cerebral degeneration due to cerebrovascular disease	606	1	1
