MedCodeId	Term	Observations_jun24	old_2021	new_2024
357890015	Leg ulcer	1998462	1	1
235911000006116	Peripheral vascular disease	628361	1	1
105536013	Intermittent claudication	576291	1	1
512081010	Foot ulcer	344054	1	1
399941017	Non-pressure ulcer lower limb	171760	1	1
300515011	Peripheral vascular disease NOS	128516	1	1
395791015	Other peripheral vascular disease	92325	1	1
411512011	Claudication	71461	1	1
357893018	Mixed venous and arterial leg ulcer	51174	1	1
272052017	Percutaneous transluminal angioplasty of femoral artery	43133	1	1
742481000006118	Ischaemic leg	33034	1	1
375462013	Claudication distance	29957	1	1
357894012	Arterial leg ulcer	28110	1	1
13944841000006117	Peripheral arterial disease	25758	0	1
271900018	Percutaneous transluminal angioplasty of iliac artery	22700	1	1
394339014	Arterial bypass of lower limb artery	20949	1	1
309177010	Ischaemic ulcer diabetic foot	17574	1	1
272013012	Femoral endarterectomy	16990	1	1
443199013	Ischaemic foot	15459	1	1
350535018	Peripheral ischaemic vascular disease	14404	1	1
357895013	Ischaemic leg ulcer	14103	1	1
5126401000006115	Mixed arteriovenous leg ulcer	10863	1	1
239491000006117	Percutaneous angioplasty of popliteal artery	10505	1	1
350533013	Peripheral ischaemia	10034	1	1
5058071000006110	Lower limb ischaemia	9238	1	1
491241000006118	Arterial embolism and thrombosis	8183	1	1
271905011	Insertion of iliac artery stent	7279	1	1
349663013	Femoral artery bypass	7102	1	1
224121000000118	Aortic bifurcation bypass graft	6373	1	1
1847121000006114	Peripheral arterial disease	6317	1	1
300433019	Extremity artery atheroma	5677	1	1
218531000000113	Atherosclerosis of aorta	5501	1	1
530141000006115	Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft	5219	1	1
300514010	Other specified peripheral vascular disease NOS	4973	1	1
300550015	Peripheral arterial embolism and thrombosis NOS	4626	1	1
395795012	Arterial embolus and thrombosis	4593	1	1
300539018	Embolism and thrombosis of the femoral artery	4570	1	1
6632221000006112	Peripheral arterial occlusive disease	4326	1	1
530131000006113	Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis	4303	1	1
5058111000006119	Critical lower limb ischaemia	4270	1	1
87210015	Buerger's disease	4130	1	1
300564015	Arterial embolism and thrombosis NOS	3845	1	1
300607015	Arterial insufficiency	3744	1	1
641681000006116	Endarterectomy of femoral artery and patch repair of femoral artery	3703	1	1
272031013	Open embolectomy of femoral artery	3367	1	1
272003016	Other bypass of femoral artery or popliteal artery NOS	3313	1	1
349662015	Popliteal-distal bypass	3033	1	1
300540016	Embolism and thrombosis of the popliteal artery	2740	1	1
223991000000116	Aortoiliac disease	2726	1	1
87208017	Thromboangiitis obliterans	2600	1	1
668741000006116	Femorofemoral prosthetic crossover graft	2449	1	1
931941000006116	Leg ulcer	2251	1	1
272033011	Open femoral embolectomy	2101	1	1
395794011	Arterial embolic and thrombotic occlusion	1912	1	1
501011000006118	Axillofemoral bypass graft	1869	1	1
530061000006115	Bypass of bifurcation of aorta by anastomosis of aorta to femoral artery	1648	1	1
1548341000006118	Percutaneous transluminal insertion of stent into femoral artery	1642	1	1
455901014	Percutaneous transluminal insertion of iliac artery stent	1512	1	1
350563016	Saddle embolus	1475	1	1
1715241000006112	Vascular claudication	1452	1	1
272037012	Operation on aneurysm of femoral artery NEC	1289	1	1
395796013	Embolism and thrombosis of the abdominal aorta	1256	1	1
272035016	Open embolectomy popliteal artery	1183	1	1
2377871000000112	Ischaemic foot pain at rest	1158	1	1
300547018	Embolism and thrombosis of a leg artery NOS	1125	1	1
530161000006116	Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft	1064	1	1
272055015	Percutaneous transluminal embolectomy of femoral artery	1042	1	1
300510018	Other specified peripheral vascular disease	1004	1	1
272032018	Open thrombectomy of femoral artery	987	1	1
530171000006111	Femoral-femoral artery vascular bypass	945	1	1
300534011	Embolism and thrombosis of an arm or leg artery	892	1	1
271416011	Axillo-unifemoral PTFE bypass graft	877	1	1
300552011	Embolism and thrombosis of other specified artery	812	1	1
36061000006118	Other bypass of femoral artery or popliteal artery OS	768	1	1
668731000006114	Femoro-femoral prosthetic cross over graft	759	1	1
394323019	Iliac artery bypass	753	1	1
884631000006118	Arterial embolism/thrombosis	738	1	1
272029016	Repair of femoral artery NEC	730	1	1
272017013	Profundoplasty of femoral artery NEC	723	1	1
5050031000006110	Femorodistal bypass	668	1	1
488631000006116	Aorto biiliac graft	665	1	1
530151000006118	Bypass femoral artery by fem/tib art anast c prosthesis NEC	657	1	1
300538014	Embolism and thrombosis of an arm artery NOS	654	1	1
530791000006113	Bypass popliteal artery by pop/fem artery anastomosis NEC	648	1	1
5886711000006111	Ischaemia of feet	633	1	1
5126451000006116	Ischaemic foot ulcer	625	1	1
