MedCodeId	Term
297165012	Disease related peripheral neuropathy
4383621000006112	Diabetic mixed sensory-motor polyneuropathy
12218471000006119	Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus
14067521000006117	Mixed sensorimotor polyneuropathy due to diabetes mellitus
4392131000006114	Diabetic sensory polyneuropathy
2717251000006116	Sensory polyneuropathy
14095271000006114	Neuropathic ulcer of foot due to type 2 diabetes mellitus
7968951000006118	Diabetic peripheral neuropathy associated with type II diabetes mellitus
12370381000006111	Peripheral neuropathy with type 2 diabetes
254977018	O/E - anaesthesia in legs
254980017	O/E - anaesthesia of extremities
255033016	O/E - vibration sense reduced
255034010	O/E - vibration sense absent
297492014	Diabetic mononeuritis multiplex
297510017	Diabetic mononeuritis NOS
297550019	Acute painful diabetic neuropathy
297551015	Chronic painful diabetic neuropathy
14071331000006110	Chronic painful neuropathy due to diabetes mellitus
297552010	Asymptomatic diabetic neuropathy
14071341000006117	Asymptomatic neuropathy due to diabetes mellitus
297558014	Polyneuropathy in hypoglycaemia
4770571000006112	Neuropathy associated with hypoglycaemia
309179013	Neuropathic diabetic ulcer - foot
13790061000006119	Neuropathic ulcer of foot due to diabetes mellitus
616971000006114	Diabetic Charcot's arthropathy
772131000006111	Insulin dependent diab mell with neuropathic arthropathy
913981000006115	Insulin dependent diab mell with neuropathic arthropathy
4808921000006113	Diabetic neuropathic arthropathy
13790071000006114	Neuropathic arthropathy due to diabetes mellitus
322645015	Neuropathic foot blister
422971000006118	[X]Polyneuropathy/other endocrine+metabolic diseases CE
5009511000006111	Neuropathy associated with endocrine disorder
345486016	Diabetic neuropathy
345487013	Diabetes mellitus with neuropathy
881501000006110	Diabetes + neuropathy
14072461000006116	Neuropathy due to diabetes mellitus
5009561000006114	Diabetic chronic painful polyneuropathy
14072481000006114	Chronic painful polyneuropathy due to diabetes mellitus
345492010	Diabetic mononeuropathy
771371000006118	Insulin dependent diabetes mellitus with mononeuropathy
913771000006115	Insulin dependent diabetes mellitus with mononeuropathy
5566651000006117	Vibration sense absent
71168014	Peripheral neuropathy
297511018	Hereditary and idiopathic peripheral neuropathy
299374014	[X]Other disorders of the peripheral nervous system
345457019	Peripheral nerve disease
883171000006110	Other peripheral neuropathy
989021000006118	Other peripheral neuropathy
451383012	O/E - Vibration sense of right foot abnormal
451385017	O/E - Vibration sense of left foot abnormal
459312014	Type II diabetes mellitus with neuropathic arthropathy
459313016	Type 2 diabetes mellitus with neuropathic arthropathy
84571000006115	Type 2 diabetes mellitus with neuropathic arthropathy
84941000006115	Type II diabetes mellitus with neuropathic arthropathy
281181000006116	Non-insulin dependent diabetes mellitus with neuropathic arthropathy
473460018	Charcot's arthropathy
6203481000006111	Charcot's joint
6203491000006114	Charcot arthropathy
8120381000006111	Neuropathy due to type 2 diabetes mellitus
2504831000006117	Secondary peripheral neuropathy
299364011	[X]Other hereditary and idiopathic neuropathies
299373015	[X]Polyneuropathy in other diseases classified elsewhere
399811000006111	[X]Nerve root+plexus compressions in neoplastic disease CE
399821000006115	Neuropathy
422981000006115	[X]Polyneuropathy/other musculoskeletal disorders CE
6449091000006114	Neuropathy (nerve damage)
65526011	Diabetic amyotrophy
616921000006113	Diabetic amyotrophy
12180791000006114	Diabetic lumbosacral plexopathy
14057771000006116	Lumbosacral radiculoplexus neuropathy due to diabetes mellitus
1484964012	10g monofilament sensation absent
12180901000006116	DRPN - diabetic radiculoplexus neuropathy
14057821000006112	Radiculoplexus neuropathy due to diabetes mellitus
1488389019	10g monofilament sensation R foot abnormal
1488390011	10g monofilament sensation L foot abnormal
1488847017	O/E - vibration sense left foot reduced
1488848010	O/E - vibration sense right foot reduced
2159159017	O/E - Vibration sense of right foot absent
2159163012	O/E - vibration sense of left foot absent
84531000006118	Type 2 diabetes mellitus with mononeuropathy
84901000006117	Mononeuropathy with type 2 diabetes mellitus
280521000006117	Non-insulin dependent diabetes mellitus with mononeuropathy
914221000006113	Type 2 diabetes mellitus with mononeuropathy
914231000006111	Type II diabetes mellitus with mononeuropathy
14083761000006113	Mononeuropathy due to type 2 diabetes mellitus
84721000006113	Mononeuropathy with type 1 diabetes mellitus
913781000006117	Type 1 diabetes mellitus with mononeuropathy
913791000006119	Type I diabetes mellitus with mononeuropathy
14083861000006115	Mononeuropathy due to type 1 diabetes mellitus
70659018	Polyneuropathy
299366013	[X]Other specified polyneuropathies
450558019	Polyneuropathy unspecified
359071000006116	[X] Polyneuropathy, unspecified
7032031000006112	Diabetic peripheral neuropathy
297656018	Other specified disorders of peripheral nervous system
297658017	Peripheral nervous system disorder NOS
235701000006117	Disorder of the peripheral nervous system
422921000006119	[X]Polyneuropathies and other disorders of the peripheral nervous system
82373015	Diabetic polyneuropathy
214921000006116	Polyneuropathy in diabetes
616451000006110	Diabetes mellitus with polyneuropathy
771401000006115	Insulin dependent diabetes mellitus with polyneuropathy
