MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
27000014	2553	E2757	E275700	Psychogenic polydipsia	231511005	346989014	NA	32
29042017	53653	1644-1	1644.11	Polydipsia	17173007	29042017	NA	27
29043010	97001	1644	1644.00	Excessive thirst	17173007	29043010	NA	27
98510016	3357	16P	16P..00	Thirst	59299002	98510016	NA	27
317252019	12984	R035	R035.00	[D]Polydipsia	17173007	29043010	NA	27
317253012	28645	R0350	R035000	[D]Excessive thirst	17173007	29043010	NA	27
317254018	2328	R035z	R035z00	[D]Polydipsia NOS	17173007	29043010	NA	27
346989014	1209	E2757-1	E275711	Compulsive water drinking	231511005	346989014	NA	32
372218010	55987	164-1	164..11	Thirst symptom	249475006	372218010	NA	27
397868011	8464	164	164..00	Fluid intake symptom	267025000	397868011	NA	27
214641000006119	16601	1645-1	1645.11	Polydipsia	17173007	29042017	NA	27
217631000000113	5504	1645	1645.00	Excessive fluid intake - finding	267026004	397869015	NA	27
1749601000006115	516	EMISNQTH24	NA	Thirst and fluid intake	249474005	372217017	NA	27
2753041000006110	17	^ESCTPS275304	NA	Psychogenic polydipsia	15945005	27000014	NA	31
2772551000006110	133	^ESCTAL277255	NA	Always thirsty	17173007	478080013	NA	27
3847101000006110	71	^ESCTPR384710	NA	Primary polydipsia	82800008	137351015	NA	31
5272211000006118	181	^ESCTIN527221	NA	Increased thirst	249477003	372220013	NA	31
5742181000006112	20	^ESCTTH574218	NA	Thirst finding	289159000	428971014	NA	27
8304881000006113	3	^ESCTEX830488	NA	Excessive oral fluid intake	873431000000102	2255751000000113	NA	31
13899001000006113	224	^ESCT1389900	NA	Excessive fluid intake	139104001	220616012	NA	27
