MedCodeId	Term	Observations_jun24	old_2021	new_2024
621121000006112	Diffuse interstitial pulmonary fibrosis	116210	1	1
301758015	Interstitial lung disease	115781	1	1
85960018	Pulmonary fibrosis	51625	1	1
75302014	Idiopathic fibrosing alveolitis	41261	1	1
1786131000006116	Idiopathic pulmonary fibrosis	35663	1	1
3336391000006117	Fibrosis of lung	23702	1	1
178500017	Extrinsic allergic alveolitis	20059	1	1
196654011	Cryptogenic fibrosing alveolitis	14871	1	1
254002014	O/E - fibrosis of lung	12290	1	1
189221016	Hypersensitivity pneumonitis	6482	1	1
107470010	Interstitial pneumonia	6432	1	1
885491000006116	Pulmonary fibrosis	6043	1	1
254003016	O/E - fibrosis of lung present	5624	1	1
301852014	[X]Other interstitial pulmonary diseases with fibrosis	4479	1	1
474819014	Cryptogenic organising pneumonia	4150	1	1
301534017	Hypersensitivity pneumonitis NOS	3831	1	1
301709019	Idiopathic fibrosing alveolitis NOS	3445	1	1
211391000006118	Post-inflammatory pulmonary fibrosis	3437	1	1
2475606014	Usual interstitial pneumonitis	3406	1	1
474828010	Bronchiolitis obliterans organising pneumonia	1465	1	1
885481000006119	Idiopath. fibrosing alveolitis	1195	1	1
149374011	Tuberculous fibrosis of lung	1135	1	1
556271000006115	Chronic radiation pulmonary fibrosis	1124	1	1
477131000006116	Allergic alveolitis and pneumonitis NOS	690	1	1
301533011	Allergic extrinsic alveolitis NOS	660	1	1
79212010	Simple silicosis	553	1	1
301575012	Chronic pulmonary fibrosis due to chemical fumes	507	1	1
301528012	Other allergic alveolitis	504	1	1
7627141000006111	Pulmonary emphysema co-occurrent with fibrosis of lung	475	1	1
5054591000006110	ILD - Interstitial lung disease	447	1	1
141591000006118	Silica and silicate pneumoconiosis	398	1	1
301699016	Other alveolar and parietoalveolar disease	351	1	1
207831000006116	Interstitial pulmonary fibrosis of prematurity	317	1	1
301853016	[X]Other specified interstitial pulmonary diseases	296	1	1
301531013	Other allergic alveolitis NOS	173	1	1
301532018	Allergic alveolitis and pneumonitis NOS	165	1	1
1772931000006114	Desquamative interstitial pneumonia	158	1	1
1772941000006116	Lymphoid interstitial pneumonitis	158	1	1
301713014	Alveolar and parietoalveolar disease NOS	155	1	1
24973018	Bauxite fibrosis of lung	116	1	1
4782361000006119	UIP - Usual interstitial pneumonitis	108	1	1
2411019	Silicosis	105	1	1
83019014	Complicated silicosis	95	1	1
287032015	HIV disease resulting in lymphoid interstitial pneumonitis	84	1	1
3657901000006117	Fibrosis of lung following radiation	76	1	1
301556019	Silica pneumoconiosis NOS	63	1	1
85961019	Cirrhosis of lung	44	1	1
7627151000006113	CPFE - combined pulmonary fibrosis and emphysema	32	1	1
815341000006115	Hamman Rich syndrome	28	1	1
301712016	Other alveolar and parietoalveolar disease NOS	23	1	1
413231000006111	[X]Other resp diseases principally affecting interstitium	19	1	1
3551861000006113	Interstitial pneumonitis	18	1	1
7532701000006115	Usual interstitial pneumonia	17	1	1
885431000006115	Radiation lung fibrosis	17	1	1
301838012	[X]Pneumoconiosis due to other dust containing silica	17	1	1
301555015	Massive silicotic fibrosis	16	1	1
4782341000006118	Fibrosing alveolitis	14	1	1
38841000006113	Other alveolar and parietoalveolar disease	14	1	1
5054951000006111	Localised pulmonary fibrosis	10	1	1
29395011	Graphite fibrosis of lung	9	1	1
301705013	Alveolar capillary block	8	1	1
2732761000006118	Bauxite fibrosis of lung	8	1	1
3336411000006117	Cirrhosis of lung	7	1	1
5054941000006114	Drug-induced diffuse interstitial pulmonary fibrosis	6	1	1
3154151000006111	Massive silicotic fibrosis of lung	4	1	1
5054601000006119	Diffuse parenchymal lung disease	4	1	1
5092491000006112	Acute interstitial pneumonia	3	1	1
2511231000006117	Pneumoconiosis due to silica	3	1	1
2527041000006118	Radiation injury with fibrosis	3	1	1
3064351000006114	Acute interstitial pneumonitis	3	1	1
7059121000006115	Familial idiopathic pulmonary fibrosis	3	1	1
7627161000006110	Combined pulmonary fibrosis and emphysema syndrome	3	1	1
7635751000006118	Acute idiopathic pulmonary fibrosis	3	1	1
13777461000006118	Fibrosis of lung caused by radiation	3	0	1
2732781000006111	Bauxite pneumoconiosis	2	1	1
3213191000006112	Lymphoid interstitial pneumonia	1	1	1
3213201000006110	Lymphocytic interstitial pneumonia	1	1	1
3423211000006118	Massive fibrosis of lung	1	1	1
3103601000006113	Allergic alveolitis	1	1	1
3103611000006111	Allergic pneumonitis	1	1	1
5055561000006115	Stage 4 pulmonary sarcoidosis	1	1	1
6715591000006119	Post-radiotherapy pulmonary fibrosis	1	1	1
7701591000006116	Drug induced pulmonary fibrosis	1	1	1
4555561000006111	On examination - fibrosis of lung present	NA	1	0
5492481000006115	Postinflammatory pulmonary fibrosis	NA	1	0
4782331000006111	DIPF - Diffuse interstitial pulmonary fibrosis	NA	1	0
3154161000006113	Massive fibrosis of lung co-occurrent and due to silicosis	NA	1	0
4781861000006119	Chronic pulmonary fibrosis caused by chemical fumes	NA	1	0
3657911000006119	Radiation fibrosis of lung	NA	1	0
5054921000006119	Toxic diffuse interstitial pulmonary fibrosis	NA	1	0
