MedCodeId	Term	Observations_jun24	old_2021	new_2024
348644016	Coronary artery bypass graft operations	445709	1	1
220231000000118	Coronary artery operation	192510	1	1
2536354015	Insertion of coronary artery stent	186906	1	1
89711000006118	Percutaneous transluminal coronary angioplasty	134222	1	1
2535176014	Percutaneous coronary intervention	78101	1	1
271169016	Coronary artery bypass graft	47242	1	1
1228282017	Saphenous vein graft replacement of coronary artery	44692	1	1
272107018	Percutaneous balloon angioplasty of artery	31971	1	1
238641000006117	Percutaneous transluminal balloon angioplasty of one coronary artery	30706	1	1
1547631000006117	Percutaneous transluminal balloon angioplasty with insertion of stent into coronary artery	29748	1	1
1221061012	Open angioplasty of coronary artery	26142	1	1
161481000006112	Aortocoronary artery bypass graft with saphenous vein graft	21443	1	1
238821000006111	Percutaneous balloon coronary angioplasty	17811	1	1
311461000000116	Insertion of drug-eluting coronary artery stent	16190	1	1
271105012	Revision of bypass for coronary artery	12997	1	1
271136016	Other open operations on coronary artery	11546	1	1
1547641000006110	Percutaneous transluminal balloon angioplasty and insertion of drug eluting stent into coronary artery	10365	1	1
271075010	Aortocoronary artery bypass of three coronary arteries with saphenous vein graft	9479	1	1
271173018	Coronary artery operations NOS	8355	1	1
271148018	Transluminal balloon angioplasty of coronary artery NOS	7126	1	1
238571000006114	Percutaneous transluminal balloon angioplasty of multiple coronary arteries	7037	1	1
865291000006117	Coronary Angioplasty	6653	1	1
865181000006111	Coronary artery venous graft	6399	1	1
271171016	Other bypass of coronary artery NOS	5293	1	1
161491000006110	Aortocoronary artery bypass of four or more coronary arteries with saphenous vein graft	5169	1	1
2535177017	Emergency percutaneous coronary intervention	4613	1	1
161451000006116	Saphenous vein graft replacement of coronary artery	4460	1	1
5040181000006110	Coronary artery bypass grafts x 3	3670	1	1
271074014	Aortocoronary artery bypass of two coronary arteries with saphenous vein graft	3623	1	1
484402013	Percutaneous transluminal laser coronary angioplasty	3360	1	1
1547661000006114	Perc translum balloon angioplasty insert 1-2 stents cor art	2814	1	1
3095621000006113	Placement of stent in coronary artery	2561	1	1
271128013	Connection of mammary artery to coronary artery NOS	2505	1	1
865191000006114	Insertn coronary artery stent	2374	1	1
1547691000006118	Perc translum balloon angioplasty stenting coronary art NOS	2313	1	1
272295013	Peroperative angioplasty	2271	1	1
2675882017	Percutaneous transluminal balloon angioplasty of artery	2018	1	1
89731000006112	Transluminal balloon angioplasty of coronary artery OS	1930	1	1
271080018	Other autograft replacement of coronary artery	1898	1	1
1785743019	Rotary blade coronary angioplasty	1881	1	1
5040161000006117	Coronary artery bypass grafts x 2	1638	1	1
1226090019	Percutaneous transluminal angioscopy	1580	1	1
271162013	Endarterectomy of coronary artery	1511	1	1
271172011	Other specified operations on coronary artery	1453	1	1
271073015	Saphenous vein graft replacement of one coronary artery	1434	1	1
3166201000006119	Coronary angioplasty	1414	1	1
865281000006115	Angioplasty of coronary artery	1316	1	1
5040211000006114	Coronary artery bypass grafts x 4	1262	1	1
865201000006112	Coronary A revasc. by-pass	1256	1	1
271079016	Saphenous vein graft replacement coronary artery NOS	1103	1	1
271083016	Autograft replacement of three coronary arteries NEC	1082	1	1
6869441000006114	PCI - Percutaneous coronary intervention	982	1	1
271087015	Allograft bypass of coronary artery	975	1	1
1547651000006112	Perc tran ball angio ins 3 or more drug elut stents cor art	974	1	1
1221554018	Other autograft bypass of coronary artery	821	1	1
271170015	Other specified other bypass of coronary artery	718	1	1
865171000006113	Coronary artery operation NOS	702	1	1
271149014	Other therapeutic transluminal operations on coronary artery	675	1	1
3006261000006110	Operative procedure on coronary artery	672	1	1
271161018	Repair of coronary artery NEC	646	1	1
271084010	Autograft replacement of four of more coronary arteries NEC	561	1	1
271157012	Diagnostic transluminal operations on coronary artery	499	1	1
238561000006119	Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery	496	1	1
456363010	Percutaneous transluminal angioplasty of vascular graft	467	1	1
1547681000006116	OS perc translumina balloon angioplast stenting coronary art	448	1	1
271093011	Allograft replacement of three coronary arteries	438	1	1
933021000006113	Angioplasty of coronary artery	425	1	1
456362017	Prosthetic graft patch angioplasty	416	1	1
142361000006111	Single anastomosis of mammary artery to left anterior descending coronary artery	415	1	1
271088013	Allograft replacement of coronary artery	395	1	1
271114019	Connection of mammary artery to coronary artery	393	1	1
1547671000006119	Percutaneous cor balloon angiop 3 more stents cor art NEC	334	1	1
865221000006119	Int.mammary coronary A by-pass	323	1	1
