MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
252192019	388547	1623	1623.00	Weight decreasing	161832001	252192019	NA	27
253562014	6793	2224	2224.00	O/E - cachexic	162684007	253562014	NA	27
253687013	29552	22A6	22A6.00	O/E - Underweight	162769006	253687013	NA	2
253846010	146416	22K3	22K3.00	Decreased body mass index	6497000	11777011	NA	2
317237014	220907	R032	R032.00	[D]Abnormal loss of weight	267024001	397867018	NA	27
317962019	10710	R2y4	R2y4.00	Cachexia	238108007	356935015	NA	32
317963012	287	R2y40	R2y4000	Wasting disease	288517002	428175016	NA	32
317964018	604	R2y4z	R2y4z00	[D]Cachexia NOS	238108007	356935015	NA	32
397867018	796922	1625	1625.00	Abnormal weight loss	267024001	397867018	NA	27
1780210016	75548	22A8	22A8.00	Weight loss from baseline weight	401003006	1780210016	NA	2
2159952010	42425	R0348	R034800	Underweight	248342006	370738017	NA	32
299281000000119	145583	1D1A	1D1A.00	Complaining of weight loss	198511000000103	299281000000119	NA	27
437661000006118	319259	1625-1	1625.11	Abnormal weight loss - symptom	267024001	397867018	NA	27
903061000006114	26295	1623-99	1623.99	Weight Loss	161832001	903061000006114	NA	27
1715211000000118	84564	1627	1627.00	Unintentional weight loss	448765001	2899697019	NA	27
3952531000006117	146672	^ESCTWE395253	NA	Weight loss	89362005	148168013	NA	27
4544701000006119	392	^ESCTLO454470	NA	Losing weight	161832001	252193012	NA	27
4544711000006116	3	^ESCTPR454471	NA	Progressive weight loss	161832001	2646366011	NA	27
5256251000006115	5	^ESCTPA525625	NA	Patient underweight	248342006	370739013	NA	32
5986631000006118	133	^ESCTEX598663	NA	Excessive weight loss	309257005	452625013	NA	31
6251141000006118	12	^ESCTWE625114	NA	Weight loss (amount)	363806002	486930019	NA	31
6997371000006111	1069	^ESCTUN699737	NA	Unexplained weight loss	422868009	2645676012	NA	31
7067191000006116	170	^ESCTRE706719	NA	Recent weight loss	426977000	2676113010	NA	31
7359841000006118	2	^ESCTIN735984	NA	Involuntary weight loss	448765001	3425621016	NA	27
13923631000006111	12	^ESCT1392363	NA	Weight loss	816160009	3850507018	NA	31
960561000006110	8515	EMISCUN9	NA	Unexplained/progressive weight loss	960561000006106	960561000006110	NA	27
