MedCodeId	Term	category
189711000000119	Lipoatrophic diabetes mellitus without complication	other/unspec genetic inc syndromic
622221000000118	Maternally inherited diabetes mellitus	other/unspec genetic inc syndromic
894461000006112	Diabetic mother syndrome	other/unspec genetic inc syndromic
1786715019	Bronzed diabetes	other/unspec genetic inc syndromic
356118015	Diabetes-deafness syndrome maternally transmitted	other/unspec genetic inc syndromic
1775531012	Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities	other/unspec genetic inc syndromic
356099014	Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction	other/unspec genetic inc syndromic
356111014	Insulin-dependent diabetes mellitus secretory diarrhoea syndrome	other/unspec genetic inc syndromic
2156000010	Lipodystrophy, partial, with Rieger anomaly, short stature, and insulinopenic diabetes mellitus	other/unspec genetic inc syndromic
356115017	Congenital insulin-dependent diabetes mellitus with fatal secretory diarrhoea	other/unspec genetic inc syndromic
483882011	Diabetes mellitus autosomal dominant	other/unspec genetic inc syndromic
5109541000006118	Transient neonatal diabetes mellitus	other/unspec genetic inc syndromic
7500521000006111	Diabetes mellitus, transient neonatal 2	other/unspec genetic inc syndromic
7500541000006116	Diabetes mellitus, transient neonatal 3	other/unspec genetic inc syndromic
3862421000006116	Diabetes mellitus, Addison's disease and myxedema	other/unspec genetic inc syndromic
6618061000006116	Bronze diabetes	other/unspec genetic inc syndromic
5109851000006119	Insulin-dependent diabetes mellitus secretory diarrhea syndrome	other/unspec genetic inc syndromic
7500361000006112	RCAD (renal cysts and diabetes) syndrome	other/unspec genetic inc syndromic
5109831000006114	Congenital insulin-dependent diabetes mellitus with fatal secretory diarrhea	other/unspec genetic inc syndromic
7500351000006110	Renal cysts and diabetes syndrome	other/unspec genetic inc syndromic
3812041000006116	Dwarfism-hepatomegaly-obesity-juvenile diabetes syndrome	other/unspec genetic inc syndromic
7063141000006118	Diabetes mellitus co-occurrent and due to cystic fibrosis	other/unspec genetic inc syndromic
5687751000006119	Lipoatrophic diabetes mellitus	other/unspec genetic inc syndromic
4392151000006119	Lipodystrophic diabetes	other/unspec genetic inc syndromic
3048221000006110	Diabetic-bearded woman syndrome	other/unspec genetic inc syndromic
82979011	Neonatal diabetes mellitus	other/unspec genetic inc syndromic
5109551000006116	Transitory neonatal diabetes mellitus	other/unspec genetic inc syndromic
5109801000006118	Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness	other/unspec genetic inc syndromic
3039941000006118	Pineal hyperplasia AND diabetes mellitus syndrome	other/unspec genetic inc syndromic
2843291000006110	Maternal diabetes syndrome	other/unspec genetic inc syndromic
10928019	Diabetes mellitus associated with genetic syndrome	other/unspec genetic inc syndromic
494831000000119	Cystic fibrosis related diabetes mellitus	other/unspec genetic inc syndromic
840971000006112	Diabetes mellitus autosomal dominant type 2	other/unspec genetic inc syndromic
7811801000006113	Developmental delay, epilepsy, neonatal diabetes syndrome	other/unspec genetic inc syndromic
3730121000006115	Lipodystrophic diabetes with partial lipoatrophy	other/unspec genetic inc syndromic
3862341000006115	Diabetes mellitus, Addison's disease and myxoedema	other/unspec genetic inc syndromic
498512013	Genetic syndromes of diabetes mellitus	other/unspec genetic inc syndromic
1803751000006119	DIDMOAD - Diabetes insip, diabetes mell, optic atrophy, deafness	other/unspec genetic inc syndromic
7500501000006118	Diabetes mellitus, transient neonatal 1	other/unspec genetic inc syndromic
7811811000006111	DEND (developmental delay, epilepsy, neonatal diabetes) syndrome	other/unspec genetic inc syndromic
967701000006116	Lipoatrophic diabetes mellitus	other/unspec genetic inc syndromic
4392141000006116	Lipoatrophic diabetes	other/unspec genetic inc syndromic
3039971000006114	Pineal hyperplasia, insulin-resistant diabetes mellitus and somatic abnormalities	other/unspec genetic inc syndromic
1233307015	Wolfram syndrome	other/unspec genetic inc syndromic
199471000000118	Type A insulin resistance without complication	other/unspec genetic inc syndromic
56000018	Rabson-Mendenhall syndrome	other/unspec genetic inc syndromic
2475901019	Type A insulin resistance	other/unspec genetic inc syndromic
1848531000006116	Diab insipidus,diab mell,optic atrophy and deafness	other/unspec genetic inc syndromic
3649841000006116	DIDMOAD - Diabetes insipidus, diabetes mellitus, optic atrophy and deafness	other/unspec genetic inc syndromic
3649791000006119	Diabetes mellitus AND insipidus with optic atrophy AND deafness	other/unspec genetic inc syndromic
356085010	Maturity onset diabetes in youth type 2	mody
2476117016	Maturity onset diabetes in youth type 1	mody
1968641000006114	Maturity onset diabetes of the young type 5	mody
5109621000006112	MODY - Maturity onset diabetes glucokinase-related	mody
5109581000006112	Maturity onset diabetes in youth type II	mody
7500191000006118	Maturity onset diabetes of the young, type 1	mody
5109561000006119	Maturity onset diabetes of the young, type 2	mody
7500341000006113	MODY5 - maturity-onset diabetes of the young type 5	mody
483886014	Maturity onset diabetes in youth	mody
5109611000006116	MODY - Maturity onset diabetes in youth type 2	mody
5109591000006110	MODY - Maturity onset diabetes in youth type II	mody
5109631000006110	MODY2	mody
7500201000006115	MODY1	mody
9986011	Drug-induced diabetes mellitus	secondary
356078011	Secondary endocrine diabetes mellitus	secondary
189721000000113	Secondary diabetes mellitus without complication	secondary
198461000000116	Secondary pancreatic diabetes mellitus without complication	secondary
616241000006112	Diabetes mellitus induced by steroids	secondary
8120401000006111	Hyperosmolar coma due to secondary diabetes mellitus	secondary
6763731000006114	DM induced by non-steroid drug	secondary
6763751000006119	Diabetes mellitus caused by non-steroid drugs	secondary
6763741000006116	DM caused by non-steroid drug	secondary
15518018	Secondary diabetes mellitus	secondary
1230929011	Secondary pancreatic diabetes mellitus	secondary
2160090014	Diabetes mellitus induced by non-steroid drugs	secondary
127041000006110	Steroid induced diabetes	secondary
127051000006112	Steroid induced diabetes mellitus without complication	secondary
967631000006115	DM induced by non-steroid drugs without complication	secondary
6837991000006112	Diabetes mellitus caused by non-steroid drugs without complication	secondary
967681000006119	Fibrocalculous pancreatopathy	secondary
2474730014	Fibrocalculous pancreatopathy without complication	secondary
292606016	Malnutrition-related diabetes mellitus with ketoacidosis	malnutrition
292612014	Malnutrition-related diabetes mellitus without complications	malnutrition
1550571000000114	Jamaica type diabetes	malnutrition
356077018	Malnutrition-related diabetes mellitus - fibrocalculous	malnutrition
396671000006110	[X]Malnutrit-related diabetes mellitus with unspec complics	malnutrition
719471000006119	Malnutrit-related diabetes mellitus with unspec complics	malnutrition
719531000006118	Malnutrition-related diabetes mellitus	malnutrition
719571000006115	Malnutrition-related diabetes mellitus with renal complicatn	malnutrition
719591000006119	Malnutrition-related diabetes mellitus wth neuro complicatns	malnutrition
719601000006110	Malnutritn-relat diabetes melitus wth periph circul complctn	malnutrition
720311000006119	Malnutrit-relat diabetes mellitus with other spec comps	malnutrition
6968641000006111	Ophthalmic complication of malnutrition-related diabetes mellitus	malnutrition
719541000006111	Malnutrition-related diabetes mellitus with coma	malnutrition
719561000006110	Malnutrition-related diabetes mellitus with multiple comps	malnutrition
1231774017	Malnutrition-related diabetes mellitus - protein-deficient	malnutrition
396661000006115	[X]Malnutrit-relat diabetes mellitus with other spec comps	malnutrition
306114012	Pre-existing malnutrition-related diabetes mellitus	malnutrition
719481000006116	Malnutrit-related diabetes mellitus wth ophthalmic complicat	malnutrition
6958521000006110	Neurological disorder associated with malnutrition-related diabetes mellitus	malnutrition
6964251000006119	Coma associated with malnutrition-related diabetes mellitus	malnutrition
1786841000006118	Gestational diabetes mellitus annual review	gestational
622051000000118	[V]Personal history of gestational diabetes mellitus	gestational history
801901000006119	Gestational diabetes mellitus	gestational
5587071000006119	Diabetes mellitus in neonate small for gestational age	gestational
8016611000006112	Gestational diabetes, delivered	gestational
8016621000006116	Gestational diabetes mellitus complicating pregnancy	gestational
8016601000006114	Postpartum gestational diabetes mellitus	gestational
3719631000006112	Gestational diabetes mellitus, class A>1<	gestational
7480721000006111	H/O gestational diabetes mellitus	gestational history
2686071000006114	Gestational diabetes	gestational
2128081000000111	Gestational diabetes mellitus annual review	gestational
1220321013	Diabetes mellitus arising in pregnancy	gestational
3258001000006116	Gestational diabetes mellitus, class A>2<	gestational
2686101000006116	GDM - Gestational diabetes mellitus	gestational
1703761000000114	Gestational diabetes information leaflet given	gestational
8016631000006118	Gestational DM antepartum	gestational
20191016	Gestational diabetes mellitus	gestational
3296773014	DM caused by insulin receptor ab	insulin receptor abs
2164134013	DM due to insulin receptor ab	insulin receptor abs
125705011	Diabetes mellitus due to insulin receptor antibodies	insulin receptor abs
3291658019	Diabetes mellitus caused by insulin receptor antibodies	insulin receptor abs
292495016	Other specified diabetes mellitus with renal complications	other unspec
293756010	[X]Other specified diabetes mellitus	other unspec
13751000006117	Other specified diabetes mellitus with multiple comps	other unspec
13811000006110	Other specified diabetes mellitus with unspecified comps	other unspec
12725191000006116	Other specified diabetes mellitus with coma	other unspec
13761000006115	Other specified diabetes mellitus with neurological comps	other unspec
13771000006110	Other specified diabetes mellitus with ophthalmic complicatn	other unspec
13781000006113	Other specified diabetes mellitus with other spec comps	other unspec
292488013	Other specified diabetes mellitus with coma	other unspec
292478012	Other specified diabetes mellitus with ketoacidosis	other unspec
13791000006111	Other specified diabetes mellitus with periph circ comps	other unspec
354316011	Renal diabetes	diabetes insipidus
75638010	Cranial diabetes insipidus	diabetes insipidus
119846018	Nephrogenic diabetes insipidus	diabetes insipidus
494186019	Diabetes insipidus - pituitary	diabetes insipidus
498950010	Congenital nephrogenic diabetes insipidus	diabetes insipidus
4195241000006114	NDI - Nephrogenic diabetes insipidus	diabetes insipidus
3232041000006115	Primary central diabetes insipidus	diabetes insipidus
3493931000006113	ADH-resistant diabetes insipidus	diabetes insipidus
3232051000006118	Neurogenic diabetes insipidus	diabetes insipidus
3493951000006118	Renal diabetes insipidus	diabetes insipidus
3493921000006110	Vasopressin-resistant diabetes insipidus	diabetes insipidus
3232031000006113	Pituitary diabetes insipidus	diabetes insipidus
3493901000006117	Familial nephrogenic diabetes insipidus	diabetes insipidus
3493941000006115	Adiuretin-resistant diabetes insipidus	diabetes insipidus
3493891000006116	Hereditary nephrogenic diabetes insipidus	diabetes insipidus
2750071000006113	DI - Diabetes insipidus	diabetes insipidus
3232091000006112	Central diabetes insipidus	diabetes insipidus
3493981000006114	Primary nephrogenic diabetes insipidus	diabetes insipidus
135166013	Acquired nephrogenic diabetes insipidus	diabetes insipidus
3232101000006118	Diabetes insipidus secondary to vasopressin deficiency	diabetes insipidus
3232021000006110	Neurohypophyseal diabetes insipidus	diabetes insipidus
26721014	Diabetes insipidus	diabetes insipidus
1495356017	Total lipoatrophy	other/unspec genetic inc syndromic
