MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId	category
15518018	3391	C10N	C10N.00	Secondary diabetes mellitus	8801005	15518018	NA	32	secondary
77727018	73532	C10E-2	C10E.12	Insulin dependent diabetes mellitus	73211009	121589010	NA	32	unspecified
121589010	6162881	C10	C10..00	Diabetes mellitus	73211009	121589010	NA	32	unspecified
197761014	27717601	C10F	C10F.00	Type 2 diabetes mellitus	44054006	197761014	NA	32	type 2
197984010	2751943	C10E	C10E.00	Type 1 diabetes mellitus	46635009	197984010	NA	32	type 1
292538019	10	C10E5-1	C10E511	Type I diabetes mellitus with ulcer	190368000	292538019	NA	32	type 1
292540012	272	C10E5	C10E500	Type 1 diabetes mellitus with ulcer	190368000	292540012	NA	32	type 1
292541011	172	C10E6	C10E600	Type 1 diabetes mellitus with gangrene	420825003	2618207019	NA	32	type 1
292543014	13	C10E6-1	C10E611	Type I diabetes mellitus with gangrene	420825003	2618207019	NA	32	type 1
292548017	1658	C10E8	C10E800	Type 1 diabetes mellitus - poor control	444073006	2872487013	NA	32	type 1
292550013	59	C10E8-1	C10E811	Type I diabetes mellitus - poor control	444073006	2872487013	NA	32	type 1
292551012	34	C10E9-1	C10E911	Type I diabetes mellitus maturity onset	190372001	292551012	NA	32	type 1
292553010	2164	C10E9	C10E900	Type 1 diabetes mellitus maturity onset	190372001	292553010	NA	32	type 1
292576013	33	C10F3-1	C10F311	Type II diabetes mellitus with multiple complications	190388001	292576013	NA	32	type 2
292577016	2880	C10F3	C10F300	Type 2 diabetes mellitus with multiple complications	190388001	292577016	NA	32	type 2
292579018	1207	C10F4	C10F400	Type 2 diabetes mellitus with ulcer	190389009	292579018	NA	32	type 2
292581016	32	C10F4-1	C10F411	Type II diabetes mellitus with ulcer	190389009	292581016	NA	32	type 2
292582011	8	C10F5-1	C10F511	Type II diabetes mellitus with gangrene	421631007	2618206011	NA	32	type 2
292583018	280	C10F5	C10F500	Type 2 diabetes mellitus with gangrene	421631007	2618206011	NA	32	type 2
292589019	287	C10F7-1	C10F711	Type II diabetes mellitus - poor control	443694000	2921019012	NA	32	type 2
292590011	16243	C10F7	C10F700	Type II diabetes mellitus poorly controlled	443694000	2921019012	NA	32	type 2
356085010	820	C10D-1	C10D.11	Maturity onset diabetes in youth type 2	237604008	356085010	NA	32	mody
429970018	62	C10E4-1	C10E411	Unstable type I diabetes mellitus	290002008	429970018	NA	32	type 1
429971019	468	C10E4	C10E400	Unstable type 1 diabetes mellitus	290002008	429971019	NA	32	type 1
429972014	105	C10E4-2	C10E412	Unstable insulin dependent diabetes mellitus	11530004	19931010	NA	27	unspecified
