MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
2548475019	On learning disability register	918e	918e.00	416075005	2548475019	NA	37
882791000006118	Severe mental retardation	E311-99	E311.99	40700009	882791000006118	NA	32
1009531000006118	Cause of learning disabilities: Down's syndrome	EMISNQCA42		1009531000006102	1009531000006118	NA	37
1009571000006115	Cause of learning disabilities: Fragile X syndrome	EMISNQCA46		1009571000006104	1009571000006115	NA	37
1009591000006119	Cause of learning disabilities: Brain tumour	EMISNQCA48		1009591000006103	1009591000006119	NA	37
1009601000006110	Cause of learning disabilities: Congenital hydrocephalus	EMISNQCA49		1009601000006106	1009601000006110	NA	37
1009631000006119	Cause of learning disabilities: Prader-Willi syndrome	EMISNQCA52		1009631000006103	1009631000006119	NA	37
1009691000006115	Cause of learning disabilities: Other	EMISNQCA58		1009691000006104	1009691000006115	NA	37
1620441000006116	Learning disability	EMISNQLE5		1620441000006100	1620441000006116	NA	37
1840501000006110	Special educational needs - moderate learning difficulties	EMISNQSP29		1840501000006106	1840501000006110	NA	17
1872731000006110	Special education needs - learning difficulty	EMISNQSP34		1872731000006106	1872731000006110	NA	37
2386061000000116	Progressive intellectual and neurological deterioration	1BZ3	1BZ3.00	931031000000104	2386061000000116	NA	27
2008481000006110	Learning disabilities: reasonable adjustments	EMISNQLE39		2008481000006106	2008481000006110	NA	37
1775531012	Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities	ESCTHY2		237616002	1775531012	NA	32
398241000006118	[X]Mental retardation with autistic features	Eu841-2	Eu84112	231536004	347022013	NA	32
295661017	Other specified mental retardation	E3y	E3y..00	110359009	175156010	NA	32
296592018	[X]Other mental retardation, other impairments of behaviour	Eu7yy	Eu7yy00	110359009	175156010	NA	32
401902015	[X]Unspecified mental retardation	Eu7z	Eu7z.00	110359009	175156010	NA	32
398231000006111	[X]Mental retardation	Eu7	Eu7..00	110359009	3643707012	NA	32
430071000006118	[X]Unsp mental retardation without mention impairment behav	Eu7zz	Eu7zz00	110359009	175156010	NA	32
3003351000006112	Profound learning impairment, intelligence quotient less than 20	^ESCTPR300335		31216003	556531000000110	NA	32
3003331000006117	Profound learning impairment with intelligence quotient less than 20	^ESCTPR300333		31216003	552571000000113	NA	32
3155151000006112	Severe learning disability	^ESCTSE315515		40700009	2310251000000113	NA	32
3493661000006111	Moderate learning disability, intelligence quotient in range 35-49	^ESCTMO349366		61152003	536881000000110	NA	32
4976481000006119	Intellectual limitation	^ESCTIN497648		228156007	1222973013	NA	17
7567011000006112	Lubs X-linked mental retardation syndrome	^ESCTLU756701		702816000	3009035015	NA	32
7577251000006111	Microcephaly, mental retardation and distinct features, with or without Hirschsprung disease	^ESCTMI757725		703535000	3009030013	NA	32
12181621000006112	Severe intellectual development disorder	^ESCT1218162		40700009	3654214010	NA	32
11998101000006118	Intellectual developmental disorder	^ESCT1199810		110359009	3642975016	NA	32
8337631000006110	PIND - progressive intellectual and neurological deterioration	^ESCTPI833763		931031000000104	2386101000000119	NA	27
8337591000006110	Significant intellectual disability	^ESCTSI833759		931001000000105	2714241000000119	NA	31
7577261000006113	Hirschsprung disease-mental retardation syndrome	^ESCTHI757726		703535000	3009165011	NA	32
4538731000006118	LD - Learning difficulties	^ESCTLD453873		161129001	251222017	NA	17
3493681000006118	Moderate learning disability	^ESCTMO349368		61152003	1666321000000118	NA	32
3910921000006117	Mild mental retardation (Intelligence Quotient 50-70)	^ESCTMI391092		86765009	2975045012	NA	32
3003311000006111	Profound mental retardation (Intelligence Quotient below 20)	^ESCTPR300331		31216003	2974835016	NA	32
6989771000006117	X-linked mental retardation with marfanoid habitus syndrome	^ESCTXL698977		422437002	2645975014	NA	32
12487761000006116	Mental retardation	^ESCT1248776		91138005	151009017	NA	31
3980931000006116	MR - Mental retardation	^ESCTMR398093		91138005	1235634010	NA	31
12703921000006110	Profound mental retardation (I.Q. below 20)	^ESCT1270392		31216003	52225019	NA	32
12703791000006110	Moderate mental retardation (I.Q. 35-49)	^ESCT1270379		61152003	101619019	NA	32
146051000006113	Severe mental retardation, IQ in range 20-34	E311	E311.00	40700009	3643515012	NA	32
201751000006110	Profound mental retardation with IQ less than 20	E312	E312.00	31216003	3643527010	NA	32
296557014	[X]Mild mental retardation, other impairments of behaviour	Eu70y	Eu70y00	86765009	143892017	NA	32
296574014	[X]Severe mental retardation, other impairments of behaviour	Eu72y	Eu72y00	40700009	67882016	NA	32
12202441000006114	Mild intellectual disability	^ESCT1220244		86765009	12202441000006114	NA	32
2730231000000111	Severe intellectual development disorder with significant impairment of behaviour	^ESCT1171798		1089751000000106	2730231000000111	NA	31
7826551000006113	Mental retardation, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, obesity syndrome	^ESCTME782655		722037004	3330287017	NA	31
7882081000006116	X-linked intellectual disability Hedera type	^ESCTXL788208		726727003	3452241012	NA	31
3063441000006118	Intellectual aphasia	^ESCTIN306344		34977006	58372010	NA	31
