MedCodeId	Term
424681000006118	Recurrent reactive depressive episodes, severe, with psychosis (disorder)
2729751000000118	Recurrent depression with current severe episode and psychotic features (disorder)
2730051000000114	Mania with mood-congruent psychotic features (disorder)
2730071000000117	Mania with mood-incongruent psychotic features (disorder)
2730091000000118	Mania with psychotic features (disorder)
2730111000000111	Acute predominantly delusional psychotic disorder (disorder)
294730012	Subchronic schizophrenia with acute exacerbations (disorder)
178723016	Catatonic schizophrenia in remission (disorder)
296031017	Undifferentiated schizophrenia (disorder)
1219653018	Undifferentiated schizophrenia (disorder)
366571000006114	Undifferentiated schizophrenia (disorder)
371031000006115	Undifferentiated schizophrenia (disorder)
4196201000006119	Mixed bipolar I disorder in full remission (disorder)
12736721000006110	First episode psychosis (finding)
294737010	Chronic disorganized schizophrenia (disorder)
294882016	Mild bipolar disorder (disorder)
294880012	Bipolar disorder (disorder)
294881011	Bipolar disorder (disorder)
294888017	Bipolar disorder (disorder)
294891017	Bipolar disorder (disorder)
294892012	Bipolar disorder (disorder)
294896010	Bipolar disorder (disorder)
296135011	Bipolar disorder (disorder)
401865016	Bipolar disorder (disorder)
367101000006112	Bipolar disorder (disorder)
396071000006119	Bipolar disorder (disorder)
396791000006116	Bipolar disorder (disorder)
396801000006115	Bipolar disorder (disorder)
513871000006118	Bipolar disorder (disorder)
882311000006110	Bipolar disorder (disorder)
2717981000006118	Bipolar disorder (disorder)
294738017	Subchronic disorganized schizophrenia with acute exacerbations (disorder)
2729641000006117	Severe bipolar I disorder, single manic episode without psychotic features (disorder)
251188012	Schizophrenia association member (finding)
251628010	History of schizophrenia (situation)
4539931000006112	History of schizophrenia (situation)
513691000006116	Severe manic bipolar I disorder without psychotic features (disorder)
13716031000006110	Bipolar disorder caused by drug (disorder)
294895014	Mixed bipolar I disorder (disorder)
28758018	Subchronic schizophrenia (disorder)
2782051000006112	Bipolar I disorder, most recent episode manic with catatonic features (disorder)
294724012	Non-organic psychosis (disorder)
294949018	Non-organic psychosis (disorder)
401771016	Non-organic psychosis (disorder)
401862018	Non-organic psychosis (disorder)
25461000006115	Non-organic psychosis (disorder)
223611000000117	Non-organic psychosis (disorder)
412201000006113	Non-organic psychosis (disorder)
294725013	Schizophrenic disorders (disorder)
882281000006113	Schizophrenic disorders (disorder)
882291000006111	Schizophrenic disorders (disorder)
294726014	Simple schizophrenia (disorder)
294727017	Simple schizophrenia (disorder)
294734015	Simple schizophrenia (disorder)
426881000006111	Simple schizophrenia (disorder)
294731011	Acute exacerbation of chronic schizophrenia (disorder)
294739013	Acute exacerbation of chronic hebephrenic schizophrenia (disorder)
294742019	Catatonic schizophrenia (disorder)
294743012	Catatonic schizophrenia (disorder)
294744018	Catatonic schizophrenia (disorder)
294753013	Catatonic schizophrenia (disorder)
370451000006110	Catatonic schizophrenia (disorder)
370461000006112	Catatonic schizophrenia (disorder)
425641000006111	Catatonic schizophrenia (disorder)
425651000006113	Catatonic schizophrenia (disorder)
294750011	Acute exacerbation of subchronic catatonic schizophrenia (disorder)
294751010	Acute exacerbation of chronic catatonic schizophrenia (disorder)
294757014	Acute exacerbation of subchronic paranoid schizophrenia (disorder)
294758016	Acute exacerbation of chronic paranoid schizophrenia (disorder)
294764011	Latent schizophrenia (disorder)
294765012	Latent schizophrenia (disorder)
294771018	Latent schizophrenia (disorder)
395021000006111	Latent schizophrenia (disorder)
395031000006114	Latent schizophrenia (disorder)
294766013	Subchronic latent schizophrenia (disorder)
294767016	Chronic latent schizophrenia (disorder)
294768014	Acute exacerbation of subchronic latent schizophrenia (disorder)
294769018	Acute exacerbation of chronic latent schizophrenia (disorder)
294770017	Latent schizophrenia in remission (disorder)
294773015	Schizoaffective schizophrenia (disorder)
78531000006116	Schizoaffective schizophrenia (disorder)
155141000006116	Schizoaffective schizophrenia (disorder)
155161000006117	Schizoaffective schizophrenia (disorder)
882301000006112	Schizoaffective schizophrenia (disorder)
123611000006110	Subchronic schizoaffective schizophrenia (disorder)
4763891000006112	Subchronic schizoaffective schizophrenia (disorder)
556631000006116	Chronic schizoaffective schizophrenia (disorder)
456801000006115	Acute exacerbation of subchronic schizoaffective schizophrenia (disorder)
4763911000006114	Acute exacerbation of subchronic schizoaffective schizophrenia (disorder)
456731000006115	Acute exacerbation of chronic schizoaffective schizophrenia (disorder)
4763921000006118	Acute exacerbation of chronic schizoaffective schizophrenia (disorder)
155151000006119	Schizoaffective schizophrenia in remission (disorder)
294787015	Cenesthopathic schizophrenia (disorder)
294788013	Cenesthopathic schizophrenia (disorder)
294803011	Single manic episode, mild (disorder)
294804017	Single manic episode, moderate (disorder)
294806015	Single manic episode, severe, with psychosis (disorder)
294808019	Single manic episode in full remission (disorder)
294810017	Recurrent manic episodes (disorder)
294811018	Recurrent manic episodes (disorder)
294818012	Recurrent manic episodes (disorder)
424661000006111	Recurrent manic episodes (disorder)
294812013	Recurrent manic episodes, mild (disorder)
294813015	Recurrent manic episodes, moderate (disorder)
294815010	Recurrent manic episodes, severe, with psychosis (disorder)
294817019	Recurrent manic episodes, in full remission (disorder)
294828015	Single major depressive episode, severe, with psychosis (disorder)
401869010	Single major depressive episode, severe, with psychosis (disorder)
426921000006115	Single major depressive episode, severe, with psychosis (disorder)
426961000006114	Single major depressive episode, severe, with psychosis (disorder)
294840015	Recurrent major depressive episodes, severe, with psychosis (disorder)
424551000006113	Recurrent major depressive episodes, severe, with psychosis (disorder)
424671000006116	Recurrent major depressive episodes, severe, with psychosis (disorder)
294847017	Bipolar affective disorder, current episode manic (disorder)
294848010	Bipolar affective disorder, current episode manic (disorder)
294858014	Bipolar affective disorder, current episode manic (disorder)
367081000006116	Bipolar affective disorder, current episode manic (disorder)
513801000006112	Bipolar affective disorder, current episode manic (disorder)
294849019	Bipolar affective disorder, currently manic, mild (disorder)
294850019	Bipolar affective disorder, currently manic, moderate (disorder)
367071000006119	Bipolar affective disorder, currently manic, severe, with psychosis (disorder)
513701000006116	Bipolar affective disorder, currently manic, severe, with psychosis (disorder)
513811000006110	Bipolar affective disorder, currently manic, in full remission (disorder)
294860011	Bipolar affective disorder, current episode depression (disorder)
294861010	Bipolar affective disorder, current episode depression (disorder)
294868016	Bipolar affective disorder, current episode depression (disorder)
513751000006117	Bipolar affective disorder, current episode depression (disorder)
294862015	Bipolar affective disorder, currently depressed, mild (disorder)
294863013	Bipolar affective disorder, currently depressed, moderate (disorder)
367091000006118	Bipolar affective disorder, currently depressed, moderate (disorder)
513861000006113	Bipolar affective disorder, currently depressed, in full remission (disorder)
294869012	Mixed bipolar affective disorder (disorder)
294870013	Mixed bipolar affective disorder (disorder)
294877011	Mixed bipolar affective disorder (disorder)
294871012	Mixed bipolar affective disorder, mild (disorder)
294872017	Mixed bipolar affective disorder, moderate (disorder)
294874016	Mixed bipolar affective disorder, severe, with psychosis (disorder)
294876019	Mixed bipolar affective disorder, in full remission (disorder)
294893019	Atypical manic disorder (disorder)
294910016	Paranoid disorder (disorder)
294912012	Paranoid disorder (disorder)
