readcode,term_readcode,CodingSystem,Category,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
1361.#,Teetotaller,CTV3,AlcoholConsumptionLevel0,291355016#,Teetotaller,1361,1361,105542008,291355016,NA,17,1361.00#
1361.#,Teetotaller,CTV3,AlcoholConsumptionLevel0,587231000006111#,Non drinker alcohol,1361-1,1361.11,105542008,291352018,NA,17,1361.11#
1361.#,Teetotaller,CTV3,AlcoholConsumptionLevel0,291352018#,Non-drinker alcohol,1361-2,1361.12,105542008,291352018,NA,17,1361.12#
136A.#,Ex-trivial drinker - less than 1 unit/day,CTV3,AlcoholConsumptionLevel0,250321015#,Ex-trivial drinker (<1u/day),136A,136A.00,160582009,250321015,NA,17,136A.00#
136M.#,Current non-drinker,CTV3,AlcoholConsumptionLevel0,217461000000118#,Non - drinker,136M,136M.00,105542008,2659856015,NA,17,136M.00#
Ub0lH#,Lifetime non-drinker,CTV3,AlcoholConsumptionLevel0,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lH#
1361.#,Teetotaller,READ2,AlcoholConsumptionLevel0,291355016#,Teetotaller,1361,1361,105542008,291355016,NA,17,1361.00#
1361.#,Teetotaller,READ2,AlcoholConsumptionLevel0,587231000006111#,Non drinker alcohol,1361-1,1361.11,105542008,291352018,NA,17,1361.11#
1361.#,Teetotaller,READ2,AlcoholConsumptionLevel0,291352018#,Non-drinker alcohol,1361-2,1361.12,105542008,291352018,NA,17,1361.12#
136A.#,Ex-trivial drinker (<1u/day),READ2,AlcoholConsumptionLevel0,250321015#,Ex-trivial drinker (<1u/day),136A,136A.00,160582009,250321015,NA,17,136A.00#
136M.#,Current non drinker,READ2,AlcoholConsumptionLevel0,217461000000118#,Non - drinker,136M,136M.00,105542008,2659856015,NA,17,136M.00#
XaBDY#,[V] Alcohol use,CTV3,AlcoholConsumptionLevel0,NA#,NA,NA,NA,NA,NA,NA,NA,XaBDY#
1362.#,Drinks: [rarely] or [<1u/day],CTV3,AlcoholConsumptionLevel1,397729013#,Trivial drinker - <1u/day,1362,1362,266917007,397729013,NA,17,1362.00#
1362.#,Drinks: [rarely] or [<1u/day],CTV3,AlcoholConsumptionLevel1,629811000006113#,Occasional drinker,1362-2,1362.12,228276006,342318019,NA,17,1362.12#
1362.#,Drinks: [rarely] or [<1u/day],CTV3,AlcoholConsumptionLevel1,629821000006117#,Drinks rarely,1362-1,1362.11,266917007,397729013,NA,17,1362.11#
1363.#,Light drinker - 1-2u/day,CTV3,AlcoholConsumptionLevel1,250312016#,Light drinker - 1-2u/day,1363,1363,160575005,250312016,NA,17,1363.00#
136F.#,Spirit drinker,CTV3,AlcoholConsumptionLevel1,250331010#,Spirit drinker,136F,136F.00,160588008,250331010,NA,17,136F.00#
136G.#,Beer drinker,CTV3,AlcoholConsumptionLevel1,250332015#,Beer drinker,136G,136G.00,160589000,250332015,NA,17,136G.00#
136H.#,Drinks beer and spirits,CTV3,AlcoholConsumptionLevel1,250333013#,Drinks beer and spirits,136H,136H.00,160590009,250333013,NA,17,136H.00#
136I.#,Drinks wine,CTV3,AlcoholConsumptionLevel1,250334019#,Drinks wine,136I,136I.00,160591008,250334019,NA,17,136I.00#
136J.#,Social drinker,CTV3,AlcoholConsumptionLevel1,47085011#,Social drinker,136J,136J.00,28127009,47085011,NA,17,136J.00#
136L.#,Alcohol intake within recommended sensible limits,CTV3,AlcoholConsumptionLevel1,250340014#,Alcohol intake within recommended sensible limits,136L,136L.00,160593006,250340014,NA,17,136L.00#
136Z.#,Alcohol consumption NOS,CTV3,AlcoholConsumptionLevel1,476411000006118#,Alcohol consumption NOS,136Z,136Z.00,160573003,1221271018,NA,17,136Z.00#
Ub0lg#,Drinks alone,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lg#
Ub0lh#,Drinks in company,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lh#
Ub0li#,Drinks with family,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0li#
Ub0lJ#,Current drinker,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lJ#
Ub0lK#,Occasional drinker,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lK#
Ub0ll#,Drinks with friends,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0ll#
Ub0lL#,Light drinker,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lL#
Ub0lm#,Drinks with work colleagues,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lm#
Ub0ln#,Drinks with business associates,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0ln#
Ub0lo#,Drinks with acquaintances,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lo#
Ub0lp#,Drinks with strangers,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lp#
Ub0lQ#,Secret drinker,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lQ#
Ub0lU#,Drinks at home,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lU#
Ub0lx#,Weekend drinker,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lx#
Ub0lX#,Park drinker,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lX#
Ub0m3#,Habitual drinker,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0m3#
