readcode,term_readcode,category,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
13b..#,World languages,First Language Not English,437781010#,World languages,13b,13b..00,297289008,437781010,NA,17,13b..00#
13b0.#,Vietnamese language,First Language Not English,437977019#,Vietnamese language,13b0,13b0.00,297463006,437977019,NA,17,13b0.00#
13b1.#,Cantonese Chinese dialect,First Language Not English,438450019#,Cantonese Chinese dialect,13b1,13b1.00,297877001,438450019,NA,17,13b1.00#
13b2.#,Sylhety,First Language Not English,438054019#,Sylhety,13b2,13b2.00,297530002,438054019,NA,17,13b2.00#
13b3.#,Creole language,First Language Not English,457311012#,Creole language,13b3,13b3.00,313421002,457311012,NA,17,13b3.00#
13b4.#,Mirpuri language,First Language Not English,457312017#,Mirpuri language,13b4,13b4.00,313422009,457312017,NA,17,13b4.00#
13l0.#,Main spoken language Arabic,First Language Not English,460083013#,Main spoken language Arabic,13l0,13l0.00,315566006,460083013,NA,17,13l0.00#
13l1.#,Main spoken language Bengali,First Language Not English,460084019#,Main spoken language Bengali,13l1,13l1.00,315567002,460084019,NA,17,13l1.00#
13l2.#,Main spoken language Cantonese,First Language Not English,460085018#,Main spoken language Cantonese,13l2,13l2.00,315568007,460085018,NA,17,13l2.00#
13l3.#,Main spoken language Czech,First Language Not English,460086017#,Main spoken language Czech,13l3,13l3.00,315569004,460086017,NA,17,13l3.00#
13l5.#,Main spoken language French,First Language Not English,460088016#,Main spoken language French,13l5,13l5.00,315571004,460088016,NA,17,13l5.00#
13l6.#,Main spoken language Gujerati,First Language Not English,460089012#,Main spoken language Gujerati,13l6,13l6.00,315572006,460089012,NA,17,13l6.00#
13l6.#,Main spoken language Gujerati,First Language Not English,2418501000000119#,Main spoken language Gujarati,13l6-1,13l6.11,315572006,2418501000000119,NA,17,13l6.11#
13l7.#,Main spoken language Hausa,First Language Not English,460092011#,Main spoken language Hausa,13l7,13l7.00,315574007,460092011,NA,17,13l7.00#
13l8.#,Main spoken language Hindi,First Language Not English,460093018#,Main spoken language Hindi,13l8,13l8.00,315575008,460093018,NA,17,13l8.00#
13l9.#,Main spoken language Iba,First Language Not English,728541000000119#,Main spoken language Iban,13l9-1,13l9.11,315576009,460094012,NA,17,13l9.11#
13l9.#,Main spoken language Iba,First Language Not English,460094012#,Main spoken language Iba,13l9,13l9.00,315576009,460094012,NA,17,13l9.00#
13lA.#,Main spoken language Kutchi,First Language Not English,460095013#,Main spoken language Kutchi,13lA,13lA.00,315577000,460095013,NA,17,13lA.00#
13lB.#,Main spoken language Mandarin,First Language Not English,460096014#,Main spoken language Mandarin,13lB,13lB.00,315578005,460096014,NA,17,13lB.00#
13lC.#,Main spoken language Polish,First Language Not English,460097017#,Main spoken language Polish,13lC,13lC.00,315579002,460097017,NA,17,13lC.00#
13lD.#,Main spoken language Portuguese,First Language Not English,460098010#,Main spoken language Portuguese,13lD,13lD.00,315580004,460098010,NA,17,13lD.00#
13lE.#,Main spoken language Punjabi,First Language Not English,460099019#,Main spoken language Punjabi,13lE,13lE.00,315581000,460099019,NA,17,13lE.00#
13lE.#,Main spoken language Punjabi,First Language Not English,684831000000116#,Main spoken language Panjabi,13lE-1,13lE.11,315581000,684831000000116,NA,17,13lE.11#
13lF.#,Main spoken language Russian,First Language Not English,460100010#,Main spoken language Russian,13lF,13lF.00,315582007,460100010,NA,17,13lF.00#
13lG.#,Main spoken language Somali,First Language Not English,460101014#,Main spoken language Somali,13lG,13lG.00,315583002,460101014,NA,17,13lG.00#
13lH.#,Main spoken language Spanish,First Language Not English,460102019#,Main spoken language Spanish,13lH,13lH.00,315584008,460102019,NA,17,13lH.00#
13lI.#,Main spoken language Swahili,First Language Not English,460103012#,Main spoken language Swahili,13lI,13lI.00,315585009,460103012,NA,17,13lI.00#
13lJ.#,Main spoken language Sylheti,First Language Not English,460104018#,Main spoken language Sylheti,13lJ,13lJ.00,315586005,460104018,NA,17,13lJ.00#
13lK.#,Main spoken language Tamil,First Language Not English,460105017#,Main spoken language Tamil,13lK,13lK.00,315587001,460105017,NA,17,13lK.00#
13lM.#,Main spoken language Yoruba,First Language Not English,460107013#,Main spoken language Yoruba,13lM,13lM.00,315589003,460107013,NA,17,13lM.00#
13lN.#,Main spoken language Kurdish,First Language Not English,1488808019#,Main spoken language Kurdish,13lN,13lN.00,395109004,1488808019,NA,17,13lN.00#
13lO.#,Main spoken language Farsi,First Language Not English,676361000000117#,Main spoken language Persian,13lO-1,13lO.11,395108007,676361000000117,NA,17,13lO.11#
