readcode,term_readcode,CodingSystem,Category,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
137..#,Tobacco consumption,READ2,Active smoker,102921000006112#,Tobacco smoking consumption,137,137..00,266918002,397730015,NA,17,137..00#
137..#,Tobacco consumption,READ2,Active smoker,137721000006115#,Smoker - amount smoked,137-1,137..11,266918002,397730015,NA,17,137..11#
1372.#,Trivial smoker - < 1 cig/day,READ2,Active smoker,397733018#,Occasional smoker,1372-1,1372.11,428041000124106,2717161000000119,NA,17,1372.11#
1372.#,Trivial smoker - < 1 cig/day,READ2,Active smoker,88471000006112#,Trivial cigarette smoker (less than one cigarette/day),1372,1372.00,266920004,397735013,NA,17,1372.00#
1373.#,Light smoker - 1-9 cigs/day,READ2,Active smoker,743331000006116#,Light cigarette smoker (1-9 cigs/day),1373,1373.00,160603005,250358015,NA,17,1373.00#
1374.#,Moderate smoker - 10-19 cigs/d,READ2,Active smoker,700121000006118#,Moderate cigarette smoker (10-19 cigs/day),1374,1374.00,160604004,250359011,NA,17,1374.00#
1375.#,Heavy smoker - 20-39 cigs/day,READ2,Active smoker,819331000006110#,Heavy cigarette smoker (20-39 cigs/day),1375,1375.00,160605003,250360018,NA,17,1375.00#
1376.#,Very heavy smoker - 40+cigs/d,READ2,Active smoker,67621000006112#,Very heavy cigarette smoker (40+ cigs/day),1376,1376.00,160606002,250362014,NA,17,1376.00#
137a.#,Pipe tobacco consumption,READ2,Active smoker,344795016#,Pipe tobacco consumption,137a,137a.00,230058003,344795016,NA,17,137a.00#
137b.#,Ready to stop smoking,READ2,Active smoker,1488577017#,Ready to stop smoking,137b,137b.00,394872000,1488577017,NA,17,137b.00#
137c.#,Thinking about stopping smoking,READ2,Active smoker,1488576014#,Thinking about stopping smoking,137c,137c.00,394871007,1488576014,NA,17,137c.00#
137C.#,Keeps trying to stop smoking,READ2,Active smoker,250368013#,Keeps trying to stop smoking,137C,137C.00,160612007,250368013,NA,17,137C.00#
137d.#,Not interested in stopping smoking,READ2,Active smoker,1488578010#,Not interested in stopping smoking,137d,137d.00,394873005,1488578010,NA,17,137d.00#
137e.#,Smoking restarted,READ2,Active smoker,2670126018#,Smoking restarted,137e,137e.00,308438006,2670126018,NA,17,137e.00#
137f.#,Reason for restarting smoking,READ2,Active smoker,1780360012#,Reason for restarting smoking,137f,137f.00,401159003,1780360012,NA,17,137f.00#
137g.#,Cigarette pack-years,READ2,Active smoker,1780396011#,Cigarette pack-years,137g,137g.00,401201003,1780396011,NA,17,137g.00#
137G.#,Trying to give up smoking,READ2,Active smoker,250372012#,Trying to give up smoking,137G,137G.00,160616005,250372012,NA,17,137G.00#
137h.#,Minutes from waking to first tobacco consumption,READ2,Active smoker,2474719011#,Minutes from waking to first tobacco consumption,137h,137h.00,413173009,2474719011,NA,17,137h.00#
137H.#,Pipe smoker,READ2,Active smoker,136515019#,Pipe smoker,137H,137H.00,82302008,136515019,NA,17,137H.00#
137J.#,Cigar smoker,READ2,Active smoker,99639019#,Cigar smoker,137J,137J.00,59978006,99639019,NA,17,137J.00#
137m.#,Failed attempt to stop smoking,READ2,Active smoker,1592611000000110#,Failed attempt to stop smoking,137m,137m.00,446172000,2882460017,NA,17,137m.00#
137M.#,Rolls own cigarettes,READ2,Active smoker,250375014#,Rolls own cigarettes,137M,137M.00,160619003,250375014,NA,17,137M.00#
137o.#,Waterpipe tobacco consumption,READ2,Active smoker,2170961000000116#,Waterpipe tobacco consumption,137o,137o.00,836001000000109,2170961000000116,NA,17,137o.00#
137P.#,Cigarette smoker,READ2,Active smoker,108938018#,Cigarette smoker,137P,137P.00,65568007,108938018,NA,17,137P.00#
137P.#,Cigarette smoker,READ2,Active smoker,128130017#,Smoker,137P-1,137P.11,77176002,128130017,NA,17,137P.11#
137Q.#,Smoking started,READ2,Active smoker,2669652019#,Smoking started,137Q,137Q.00,266929003,2669652019,NA,17,137Q.00#
137Q.#,Smoking started,READ2,Active smoker,137791000006118#,Smoking restarted,137Q-1,137Q.11,308438006,2670126018,NA,17,137Q.11#
137R.#,Current smoker,READ2,Active smoker,503483019#,Current smoker,137R,137R.00,77176002,503483019,NA,17,137R.00#
137V.#,Smoking reduced,READ2,Active smoker,216212011#,Smoking reduced,137V,137V.00,134406006,216212011,NA,17,137V.00#
137X.#,Cigarette consumption,READ2,Active smoker,344793011#,Cigarette consumption,137X,137X.00,230056004,344793011,NA,17,137X.00#
137Y.#,Cigar consumption,READ2,Active smoker,344794017#,Cigar consumption,137Y,137Y.00,230057008,344794017,NA,17,137Y.00#
137Z.#,Tobacco consumption NOS,READ2,Active smoker,250387019#,Tobacco consumption NOS,137Z,137Z.00,266918002,397730015,NA,17,137Z.00#
6791.#,Health ed. - smoking,READ2,Active smoker,818061000006111#,Smoking cessation education,6791,6791.00,225323000,2575784012,NA,17,6791.00#
67H1.#,Lifestyle advice regarding smoking,READ2,Active smoker,936011000006114#,Advice on effects of smoking on health,67H1,67H1.00,225324006,338609015,NA,17,67H1.00#
67H6.#,Brief intervention for smoking cessation,READ2,Active smoker,1125741000000111#,Brief intervention for smoking cessation,67H6,67H6.00,506491000000102,1125741000000111,NA,17,67H6.00#
