snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
137959006#,Stopped drinking alcohol (finding),AlcoholConsumptionLevel0,2727890015#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
226138001#,Alcohol-free diet,AlcoholConsumptionLevel0,339752015#,1,0,1,4951331000006117#,E2OH - Alcohol-free diet,^ESCTE2495133,NA,339751010,NA,31
226138001#,Alcohol-free diet,AlcoholConsumptionLevel0,339752015#,1,0,1,4951321000006115#,Alcohol-free diet,^ESCTAL495132,NA,339752015,NA,31
226138001#,Alcohol-free diet (finding),AlcoholConsumptionLevel0,613466018#,1,0,1,4951331000006117#,E2OH - Alcohol-free diet,^ESCTE2495133,NA,339751010,NA,31
226138001#,Alcohol-free diet (finding),AlcoholConsumptionLevel0,613466018#,1,0,1,4951321000006115#,Alcohol-free diet,^ESCTAL495132,NA,339752015,NA,31
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Non-drinker of alcoholic beverage,AlcoholConsumptionLevel0,169637012#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,"Non-drinker of alcoholic beverage, NOS",AlcoholConsumptionLevel0,169638019#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,"Non-drinker, NOS",AlcoholConsumptionLevel0,169639010#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Non-drinker,AlcoholConsumptionLevel0,169640012#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Abstinent,AlcoholConsumptionLevel0,291351013#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
