snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
297289008#,World languages,First Language Not English,437781010#,1,1,2,437781010#,World languages,13b,13b..00,437781010,NA,17
297289008#,World languages (qualifier value),First Language Not English,692606013#,1,1,2,437781010#,World languages,13b,13b..00,437781010,NA,17
297463006#,Vietnamese language,First Language Not English,437977019#,1,1,2,437977019#,Vietnamese language,13b0,13b0.00,437977019,NA,17
297463006#,Vietnamese language (qualifier value),First Language Not English,692799015#,1,1,2,437977019#,Vietnamese language,13b0,13b0.00,437977019,NA,17
297877001#,Cantonese Chinese dialect,First Language Not English,438450019#,1,1,2,438450019#,Cantonese Chinese dialect,13b1,13b1.00,438450019,NA,17
297877001#,Cantonese Chinese dialect (qualifier value),First Language Not English,693257010#,1,1,2,438450019#,Cantonese Chinese dialect,13b1,13b1.00,438450019,NA,17
297530002#,Sylheti,First Language Not English,438053013#,1,1,2,5841411000006115#,Sylheti,^ESCTSY584141,NA,438053013,NA,17
297530002#,Sylheti,First Language Not English,438053013#,1,1,2,438054019#,Sylhety,13b2,13b2.00,438054019,NA,17
297530002#,Sylhety,First Language Not English,438054019#,1,1,2,5841411000006115#,Sylheti,^ESCTSY584141,NA,438053013,NA,17
297530002#,Sylhety,First Language Not English,438054019#,1,1,2,438054019#,Sylhety,13b2,13b2.00,438054019,NA,17
297530002#,Sylhety (qualifier value),First Language Not English,692872013#,1,1,2,5841411000006115#,Sylheti,^ESCTSY584141,NA,438053013,NA,17
297530002#,Sylhety (qualifier value),First Language Not English,692872013#,1,1,2,438054019#,Sylhety,13b2,13b2.00,438054019,NA,17
313421002#,Creole language,First Language Not English,457311012#,1,1,2,6029861000006115#,CrÃ©ole language,^ESCTCR602986,NA,2819356013,NA,17
313421002#,Creole language,First Language Not English,457311012#,1,1,2,457311012#,Creole language,13b3,13b3.00,457311012,NA,17
313421002#,Creole language (qualifier value),First Language Not English,710186011#,1,1,2,6029861000006115#,CrÃ©ole language,^ESCTCR602986,NA,2819356013,NA,17
313421002#,Creole language (qualifier value),First Language Not English,710186011#,1,1,2,457311012#,Creole language,13b3,13b3.00,457311012,NA,17
313421002#,Créole language,First Language Not English,2819356013#,1,1,2,6029861000006115#,CrÃ©ole language,^ESCTCR602986,NA,2819356013,NA,17
313421002#,Créole language,First Language Not English,2819356013#,1,1,2,457311012#,Creole language,13b3,13b3.00,457311012,NA,17
313421002#,Créole language (qualifier value),First Language Not English,2819357016#,1,1,2,6029861000006115#,CrÃ©ole language,^ESCTCR602986,NA,2819356013,NA,17
313421002#,Créole language (qualifier value),First Language Not English,2819357016#,1,1,2,457311012#,Creole language,13b3,13b3.00,457311012,NA,17
313422009#,Mirpuri language,First Language Not English,457312017#,1,1,2,457312017#,Mirpuri language,13b4,13b4.00,457312017,NA,17
313422009#,Mirpuri language (qualifier value),First Language Not English,710187019#,1,1,2,457312017#,Mirpuri language,13b4,13b4.00,457312017,NA,17
315566006#,Main spoken language Arabic,First Language Not English,460083013#,1,1,2,460083013#,Main spoken language Arabic,13l0,13l0.00,460083013,NA,17
315566006#,Main spoken language Arabic (finding),First Language Not English,712470018#,1,1,2,460083013#,Main spoken language Arabic,13l0,13l0.00,460083013,NA,17
315567002#,Main spoken language Bengali,First Language Not English,460084019#,1,1,2,460084019#,Main spoken language Bengali,13l1,13l1.00,460084019,NA,17
315567002#,Main spoken language Bengali (finding),First Language Not English,712471019#,1,1,2,460084019#,Main spoken language Bengali,13l1,13l1.00,460084019,NA,17
315568007#,Main spoken language Cantonese,First Language Not English,460085018#,1,1,2,460085018#,Main spoken language Cantonese,13l2,13l2.00,460085018,NA,17
315568007#,Main spoken language Cantonese (finding),First Language Not English,712472014#,1,1,2,460085018#,Main spoken language Cantonese,13l2,13l2.00,460085018,NA,17
315569004#,Main spoken language Czech,First Language Not English,460086017#,1,1,2,460086017#,Main spoken language Czech,13l3,13l3.00,460086017,NA,17
315569004#,Main spoken language Czech (finding),First Language Not English,712473016#,1,1,2,460086017#,Main spoken language Czech,13l3,13l3.00,460086017,NA,17
315571004#,Main spoken language French,First Language Not English,460088016#,1,1,2,460088016#,Main spoken language French,13l5,13l5.00,460088016,NA,17
315571004#,Main spoken language French (finding),First Language Not English,712475011#,1,1,2,460088016#,Main spoken language French,13l5,13l5.00,460088016,NA,17
315572006#,Main spoken language Gujerati,First Language Not English,460089012#,1,1,2,460089012#,Main spoken language Gujerati,13l6,13l6.00,460089012,NA,17
315572006#,Main spoken language Gujerati,First Language Not English,460089012#,1,1,2,2418501000000119#,Main spoken language Gujarati,13l6-1,13l6.11,2.42E+15,NA,17
315572006#,Main spoken language Gujerati (finding),First Language Not English,712476012#,1,1,2,460089012#,Main spoken language Gujerati,13l6,13l6.00,460089012,NA,17
315572006#,Main spoken language Gujerati (finding),First Language Not English,712476012#,1,1,2,2418501000000119#,Main spoken language Gujarati,13l6-1,13l6.11,2.42E+15,NA,17
315574007#,Main spoken language Hausa,First Language Not English,460092011#,1,1,2,460092011#,Main spoken language Hausa,13l7,13l7.00,460092011,NA,17
315574007#,Main spoken language Hausa (finding),First Language Not English,712479017#,1,1,2,460092011#,Main spoken language Hausa,13l7,13l7.00,460092011,NA,17
315575008#,Main spoken language Hindi,First Language Not English,460093018#,1,1,2,460093018#,Main spoken language Hindi,13l8,13l8.00,460093018,NA,17
315575008#,Main spoken language Hindi (finding),First Language Not English,712481015#,1,1,2,460093018#,Main spoken language Hindi,13l8,13l8.00,460093018,NA,17
315576009#,Main spoken language Iba,First Language Not English,460094012#,1,1,2,12490781000006113#,Main spoken language Iban,^ESCT1249078,NA,7.29E+14,NA,17
315576009#,Main spoken language Iba,First Language Not English,460094012#,1,1,2,12488001000006115#,Main spoken language Iba,^ESCT1248800,NA,7.31E+14,NA,17
315576009#,Main spoken language Iba,First Language Not English,460094012#,1,1,2,728541000000119#,Main spoken language Iban,13l9-1,13l9.11,460094012,NA,17
315576009#,Main spoken language Iba,First Language Not English,460094012#,1,1,2,6059611000006118#,Main spoken language Iba,^ESCTMA605961,NA,6.06E+15,NA,17
315576009#,Main spoken language Iba,First Language Not English,460094012#,1,1,2,460094012#,Main spoken language Iba,13l9,13l9.00,460094012,NA,17
315576009#,Main spoken language Iba (finding),First Language Not English,712482010#,1,1,2,12490781000006113#,Main spoken language Iban,^ESCT1249078,NA,7.29E+14,NA,17
315576009#,Main spoken language Iba (finding),First Language Not English,712482010#,1,1,2,12488001000006115#,Main spoken language Iba,^ESCT1248800,NA,7.31E+14,NA,17
315576009#,Main spoken language Iba (finding),First Language Not English,712482010#,1,1,2,728541000000119#,Main spoken language Iban,13l9-1,13l9.11,460094012,NA,17
315576009#,Main spoken language Iba (finding),First Language Not English,712482010#,1,1,2,6059611000006118#,Main spoken language Iba,^ESCTMA605961,NA,6.06E+15,NA,17
315576009#,Main spoken language Iba (finding),First Language Not English,712482010#,1,1,2,460094012#,Main spoken language Iba,13l9,13l9.00,460094012,NA,17
315577000#,Main spoken language Kutchi,First Language Not English,460095013#,1,1,2,460095013#,Main spoken language Kutchi,13lA,13lA.00,460095013,NA,17
315577000#,Main spoken language Kutchi (finding),First Language Not English,712483017#,1,1,2,460095013#,Main spoken language Kutchi,13lA,13lA.00,460095013,NA,17
315578005#,Main spoken language Mandarin,First Language Not English,460096014#,1,1,2,460096014#,Main spoken language Mandarin,13lB,13lB.00,460096014,NA,17
315578005#,Main spoken language Mandarin (finding),First Language Not English,712484011#,1,1,2,460096014#,Main spoken language Mandarin,13lB,13lB.00,460096014,NA,17
315579002#,Main spoken language Polish,First Language Not English,460097017#,1,1,2,460097017#,Main spoken language Polish,13lC,13lC.00,460097017,NA,17
315579002#,Main spoken language Polish (finding),First Language Not English,712485012#,1,1,2,460097017#,Main spoken language Polish,13lC,13lC.00,460097017,NA,17
315580004#,Main spoken language Portuguese,First Language Not English,460098010#,1,1,2,460098010#,Main spoken language Portuguese,13lD,13lD.00,460098010,NA,17
315580004#,Main spoken language Portuguese (finding),First Language Not English,712486013#,1,1,2,460098010#,Main spoken language Portuguese,13lD,13lD.00,460098010,NA,17
