MedCodeId	Term	Observations_jun24	old_2021	new_2024
1221271018	Alcohol consumption	36338802	1	1
1660411000006112	AUDIT-C (Alcohol Use Disorders Identification Test - Consumption) score	15481871	1	1
240741000006114	Education about alcohol consumption	10850702	1	1
291355016	Teetotaller	8358299	1	1
817981000006115	Health education - alcohol	7012079	1	1
408548014	Alcohol use disorders identification test score	4736635	1	1
538891000000111	FAST (Fast Alcohol Screening Test) score	4336465	1	1
397729013	Trivial drinker - <1u/day	3994612	1	1
1590901000006110	Alcohol screen - alcohol use disorder identification test consumption questions completed	3362302	1	1
4533141000006118	Alcohol intake	2598302	1	1
250312016	Light drinker - 1-2u/day	2434143	1	1
217461000000118	Non - drinker	1962932	1	1
629811000006113	Occasional drinker	1916872	1	1
250340014	Alcohol intake within recommended sensible limits	1626122	1	1
500478011	Alcohol dependence syndrome	1339911	1	1
250313014	Moderate drinker - 3-6u/day	1264751	1	1
936001000006111	Advice relating to alcohol consumption	1118941	1	1
1680121000006110	Brief intervention for excessive alcohol consumption completed	1079758	1	1
629821000006117	Drinks rarely	1069804	1	1
502017010	Alcohol problem drinking	995888	1	1
476411000006118	Alcohol consumption NOS	855899	1	1
1590881000006113	Alcohol screen - alcohol use disorder identification test completed	799954	1	1
587231000006111	Non drinker alcohol	585962	1	1
47085011	Social drinker	585162	1	1
250317010	Stopped drinking alcohol	561633	1	1
476431000006112	Alcohol consumption screening	472519	1	1
291352018	Non-drinker alcohol	328073	1	1
250335018	Alcohol intake above recommended sensible limits	292581	1	1
2532935011	Alcohol questionnaire completed	282302	1	1
13929361000006112	Alcohol detoxification	209148	0	1
250314015	Heavy drinker - 7-9u/day	201850	1	1
12878014	Alcoholism	195946	1	1
250332015	Beer drinker	187945	1	1
250334019	Drinks wine	179884	1	1
769451000006111	Intoxication - alcohol	177395	1	1
2502061000006114	Current drinker	155709	1	1
401797010	Nondependent alcohol abuse	153394	1	1
299061000000117	Hazardous alcohol use	152582	1	1
295136019	Alcohol dependence	141981	1	1
476421000006114	Alcohol consumption screen	137171	1	1
295144019	Alcohol dependence syndrome NOS	129778	1	1
1738421000000111	Lower risk drinking	127794	1	1
476611000006116	Alcoholic cirrhosis of liver	124766	1	1
250316018	Very heavy drinker - >9u/day	120326	1	1
283028013	Alcohol leaflet given	120113	1	1
342320016	Light drinker	117765	1	1
294674018	Alcohol withdrawal syndrome	115637	1	1
236441000000113	Alcohol misuse enhanced services administration	114858	1	1
119641000006116	Intentional self poisoning	112948	0	1
303399018	Alcoholic liver damage	109339	1	1
1484890014	Referral to community alcohol team	108128	1	1
299081000000114	Harmful alcohol use	103827	1	1
6769921000006111	Alcohol abuse prevention education	90770	1	1
2692396019	Alcohol consumption screening test declined	84619	1	1
362251000006117	Alcohol intoxication	77688	1	1
2549646014	Referral to community drug and alcohol team	76379	1	1
