MedCodeId	Term	Observations_jun24	old_2021	new_2024
460087014	Main spoken language English	23029299	1	1
460112014	Interpreter needed	782022	1	1
251255010	Speaks English well	536143	1	1
460097017	Main spoken language Polish	525866	1	1
642161000000117	Main spoken language Romanian	459870	1	1
460106016	Main spoken language Urdu	432174	1	1
458792019	Interpreter present	415525	1	1
460083013	Main spoken language Arabic	362598	1	1
460102019	Main spoken language Spanish	347970	1	1
460098010	Main spoken language Portuguese	307936	1	1
460084019	Main spoken language Bengali	256798	1	1
1706071000006115	Main spoken language Chinese	220298	1	1
2159242019	Main spoken language Italian	201603	1	1
645201000006112	English as a second language	200882	1	1
460099019	Main spoken language Punjabi	200035	1	1
460088016	Main spoken language French	196748	1	1
2159257014	Main spoken language Turkish	191167	1	1
460093018	Main spoken language Hindi	154393	1	1
460101014	Main spoken language Somali	142040	1	1
460105017	Main spoken language Tamil	131763	1	1
251256011	Speaks English poorly	120124	1	1
460100010	Main spoken language Russian	118237	1	1
642141000000118	Main spoken language Bulgarian	110731	1	1
460089012	Main spoken language Gujerati	110402	1	1
2159256017	Main spoken language Lithuanian	97671	1	1
460085018	Main spoken language Cantonese	95835	1	1
460096014	Main spoken language Mandarin	91471	1	1
2159248015	Main spoken language Albanian	84900	1	1
2418501000000119	Main spoken language Gujarati	84660	1	1
1488808019	Main spoken language Kurdish	84019	1	1
1488807012	Main spoken language Farsi	83329	1	1
2159252015	Main spoken language Greek	80278	1	1
671931000000117	Main spoken language Hungarian	75222	1	1
2159243012	Main spoken language German	70830	1	1
539181000000114	Telephone interpreting service used	70294	1	1
460104018	Main spoken language Sylheti	66161	1	1
1761221000000114	Interpreter booked	60351	1	1
673551000000118	Main spoken language Nepali	55315	1	1
2160079016	Main spoken language Malayalam	53462	1	1
460111019	Need for interpreter	47543	1	1
2160081019	Main spoken language Pashto	47397	1	1
684831000000116	Main spoken language Panjabi	46777	1	1
460086017	Main spoken language Czech	46521	1	1
662801000000116	Main spoken language Slovak	46155	1	1
2159259012	Main spoken language Ukrainian	41366	1	1
676361000000117	Main spoken language Persian	39564	1	1
2160083016	Main spoken language Tigrinya	35962	1	1
2159261015	Main spoken language Vietnamese	35738	1	1
2339911000000119	First language not English	35217	1	1
251238011	English as a second language	31567	1	1
2160067016	Main spoken language Tagalog	27902	1	1
672951000000118	Main spoken language Latvian	27559	1	1
2159254019	Main spoken language Japanese	26149	1	1
458791014	Presence of interpreter	25994	1	1
2160069018	Main spoken language Thai	24907	1	1
2159255018	Main spoken language Korean	24322	1	1
2160078012	Main spoken language Dutch	22346	1	1
460107013	Main spoken language Yoruba	20768	1	1
674691000000112	Main spoken language Telugu	20487	1	1
2160057014	Main spoken language Amharic	19865	1	1
2160066013	Main spoken language Swedish	15596	1	1
1706441000006117	Main spoken language Pushto	15329	1	1
2160068014	Main spoken language Sinhala	14605	1	1
1681051000006110	Other interpreter needed	14485	1	1
1661561000000112	Main spoken language Dari	13676	1	1
673131000000115	Main spoken language Malay	13191	1	1
