MedCodeId	Term	Observations_jun24	old_2021	new_2024	category	qrisk2_cat
397732011	Never smoked tobacco	96851227	1	1	Non-smoker	0
338608011	Smoking cessation advice	48908228	1	1	Active smoker	2
649841000006110	Ex-smoker	38814379	1	1	Ex-smoker	1
108938018	Cigarette smoker	25314653	1	1	Active smoker	2
818061000006111	Smoking cessation education	18780910	1	1	Active smoker	2
503483019	Current smoker	15799516	1	1	Active smoker	2
250374013	Current non-smoker	13655603	1	1	Non-smoker	0
250373019	Stopped smoking	4697589	1	1	Ex-smoker	1
14866014	Non-smoker	3853898	1	1	Non-smoker	0
700121000006118	Moderate cigarette smoker (10-19 cigs/day)	3509645	1	1	Active smoker	3
743331000006116	Light cigarette smoker (1-9 cigs/day)	2905047	1	1	Active smoker	2
250365011	Ex-moderate cigarette smoker (10-19/day)	2645686	1	1	Ex-smoker	1
250372012	Trying to give up smoking	2505124	1	1	Active smoker	2
102921000006112	Tobacco smoking consumption	2279589	1	1	Active smoker	2
418914010	Ex-cigarette smoker	2166298	1	1	Ex-smoker	1
250385010	Date ceased smoking	2158117	1	1	Ex-smoker	1
128130017	Smoker	2098457	1	1	Active smoker	2
250364010	Ex-light cigarette smoker (1-9/day)	1998396	1	1	Ex-smoker	1
819331000006110	Heavy cigarette smoker (20-39 cigs/day)	1534994	1	1	Active smoker	4
250375014	Rolls own cigarettes	1533571	1	1	Active smoker	2
250371017	Ex-smoker - amount unknown	1485015	1	1	Ex-smoker	1
1780273014	Seen by smoking cessation advisor	1346835	1	1	Active smoker	2
5999811000006115	Smoking monitoring invitation	1309870	1	1	Active smoker	2
1489355012	Referral to smoking cessation advisor	1277992	1	1	Active smoker	2
250366012	Ex-heavy cigarette smoker (20-39/day)	1252859	1	1	Ex-smoker	1
1488578010	Not interested in stopping smoking	1210749	1	1	Active smoker	2
1176421000000118	Smoking cessation advice declined	1199831	1	1	Active smoker	2
344793011	Cigarette consumption	1090055	1	1	Active smoker	2
459722017	Referral to stop-smoking clinic	1020808	1	1	Active smoker	2
12625101000006116	QOF (Quality and Outcomes Framework) quality indicator-related care invitation	958828	1	1	Active smoker	2
1488576014	Thinking about stopping smoking	893091	1	1	Active smoker	2
936011000006114	Advice on effects of smoking on health	698421	1	1	Active smoker	2
88471000006112	Trivial cigarette smoker (less than one cigarette/day)	679421	1	1	Active smoker	2
250363016	Ex-trivial cigarette smoker (<1/day)	653076	1	1	Ex-smoker	1
1175011000000112	Smoking cessation programme declined	538897	1	1	Active smoker	2
1780396011	Cigarette pack-years	529470	1	1	Active smoker	2
1488577017	Ready to stop smoking	527895	1	1	Active smoker	2
6282331000006114	Tobacco smoking behaviour - finding	526830	1	1	Active smoker	2
99639019	Cigar smoker	436249	1	1	Active smoker	2
498831000006118	Attends stop smoking monitoring	420055	1	1	Active smoker	2
2251871000000112	Referral to smoking cessation service declined	368672	1	1	Active smoker	2
2141561000000115	Smoking cessation drug therapy declined	338144	1	1	Active smoker	2
1709641000000115	Referral for smoking cessation service offered	336955	1	1	Active smoker	2
1773560017	Smoking cessation programme start date	313054	1	1	Active smoker	2
1125741000000111	Brief intervention for smoking cessation	280891	1	1	Active smoker	2
136515019	Pipe smoker	262214	1	1	Active smoker	2
492511000000117	Smoking cessation therapy	250939	1	1	Active smoker	2
128381000006117	Stop smoking monitoring check done	249689	1	1	Active smoker	2
1484932017	Smoking cessation milestones	225803	1	1	Ex-smoker	1
250367015	Ex-very heavy cigarette smoker (40+/day)	210557	1	1	Ex-smoker	1
397733018	Occasional smoker	209499	1	1	Active smoker	2
1662951000000113	Declined consent for follow-up by smoking cessation team	203262	1	1	Active smoker	2
62881000000117	DNA - Did not attend smoking cessation clinic	196860	1	1	Active smoker	2
21681000000118	Anti-smoking monitoring admin.	195769	1	1	Active smoker	2
1488873010	Smoking free weeks	161113	1	1	Ex-smoker	1
128311000006112	Stop smoking monitoring first letter	159261	1	1	Active smoker	2
1750931000000118	Stop smoking service opportunity signposted	156076	1	1	Active smoker	2
2669652019	Smoking started	144310	1	1	Active smoker	2
1715591000006117	Referral to National Health Service stop smoking service	140533	1	1	Active smoker	2
482771000000118	Smoking cessation drug therapy	133539	1	1	Active smoker	2
2251911000000114	Referral to smoking cessation service	132374	1	1	Active smoker	2
21691000000116	Anti-smoking monitoring administration	123243	1	1	Active smoker	2
2474719011	Minutes from waking to first tobacco consumption	118591	1	1	Active smoker	2
67621000006112	Very heavy cigarette smoker (40+ cigs/day)	118449	1	1	Active smoker	4
1785671000006116	Stop smoking invitation first short message service text message	112660	1	1	Active smoker	2
128371000006115	Stop smoking monitoring verbal invite	103662	1	1	Active smoker	2
250368013	Keeps trying to stop smoking	91678	1	1	Active smoker	2
137721000006115	Smoker - amount smoked	91611	1	1	Active smoker	2
265092010	Pregnancy smoking advice	88098	1	1	Active smoker	2
16261000000110	Stop smoking monitoring administration	84498	1	1	Active smoker	2
285792013	Monitoring of smoking cessation therapy refused	73589	1	1	Active smoker	2
1592611000000110	Failed attempt to stop smoking	73327	1	1	Active smoker	2
250387019	Tobacco consumption NOS	72752	1	1	Active smoker	2
649821000006115	Ex-cigar smoker	69384	1	1	Ex-smoker	1
736241000000116	Smoking cessation enhanced services administration	66329	1	1	Active smoker	2
649831000006117	Ex-pipe smoker	63091	1	1	Ex-smoker	1
1662911000000114	Consent given for follow-up by smoking cessation team	57991	1	1	Active smoker	2
1751721000000113	Stop smoking invitation short message service text message	55316	1	1	Active smoker	2
216212011	Smoking reduced	49476	1	1	Active smoker	2
2735181000000113	Ex-smoker amount unknown	49376	1	1	Ex-smoker	1
344794017	Cigar consumption	46242	1	1	Active smoker	2
25281000000119	Stop smoking clinic administration	43164	1	1	Active smoker	2
5979551000006114	Smoking monitoring status	42600	1	1	Active smoker	2
482871000000111	Other specified smoking cessation therapy	40552	1	1	Active smoker	2
4939261000006116	Smoking effects education	39548	1	1	Active smoker	2
1151791000000117	Recently stopped smoking	36322	1	1	Ex-smoker	1
13499671000006118	Brief intervention for smoking cessation	32487	0	1	Active smoker	2
1563081000000115	Practice based smoking cessation programme start date	30949	1	1	Active smoker	2
12626391000006117	QOF (Quality and Outcomes Framework) smoking quality indicator-related care invitation	26232	1	1	Active smoker	2
489931000000114	Smoking cessation therapy NOS	25644	1	1	Active smoker	2
128361000006110	Stop smoking monitoring telephone invite	23559	1	1	Active smoker	2
1059701000000119	Ex roll-up cigarette smoker	22886	1	1	Ex-smoker	1
2670126018	Smoking restarted	22265	1	1	Active smoker	2
1780360012	Reason for restarting smoking	21411	1	1	Active smoker	2
8063181000006116	Wants to stop smoking	21047	1	1	Active smoker	2
1123541000000118	Stop smoking face to face follow-up	19208	1	1	Active smoker	2
285793015	Stop smoking monitor default	14866	1	1	Active smoker	2
128321000006116	Stop smoking monitoring second letter	13739	1	1	Active smoker	2
137791000006118	Smoking restarted	13145	1	1	Active smoker	2
5495921000006119	Never smoked	13124	1	1	Non-smoker	0
4939251000006118	Advice on smoking	11552	1	1	Active smoker	2
2170961000000116	Waterpipe tobacco consumption	10835	1	1	Active smoker	2
7375991000006118	Smokes tobacco daily	10716	1	1	Active smoker	2
78013015	Smokers' cough	9795	1	1	Active smoker	2
903041000006110	EX-Smoker NOS	9661	1	1	Ex-smoker	1
5003151000006116	Light cigarette smoker	9396	1	1	Active smoker	2
344795016	Pipe tobacco consumption	9094	1	1	Active smoker	2
8012751000006116	Did not attend smoking cessation clinic	9094	1	1	Active smoker	2
11904991000006116	Occasional cigarette smoker	9067	1	1	Active smoker	2
1785681000006118	Stop smoking invitation second short message service text message	8375	1	1	Active smoker	2
7965041000006111	Never smoked any substance	7983	1	1	Non-smoker	0
5496031000006112	Ex-cigarette smoker amount unknown	6759	1	1	Ex-smoker	1
7690211000006112	No known exposure to tobacco smoke	5585	1	1	Non-smoker	0
8017571000006117	Ex-smoker for more than 1 year	5579	1	1	Ex-smoker	1
128331000006118	Stop smoking monitoring third letter	5391	1	1	Active smoker	2
5003161000006119	Moderate cigarette smoker	5219	1	1	Active smoker	3
5003171000006114	Heavy cigarette smoker	4407	1	1	Active smoker	4
1785691000006115	Stop smoking invitation third short message service text message	4153	1	1	Active smoker	2
13494621000006118	Referral for brief intervention for smoking cessation	3758	0	1	Active smoker	2
5496021000006114	Tobacco smoking consumption unknown	3668	1	1	Active smoker	2
250369017	Admitted tobacco consumption possibly untrue	3438	1	1	Active smoker	2
4640171000006113	Pregnancy smoking education	2995	1	1	Active smoker	2
6718071000006115	Current non smoker but past smoking history unknown	2660	1	1	Non-smoker	0
4980561000006117	Time since stopped smoking	2378	1	1	Ex-smoker	1
8153371000006117	Occasional tobacco smoker	2301	1	1	Active smoker	2
2982426011	Provision of smoking cessation leaflet	2263	1	1	Active smoker	2
1694421000006112	Stop smoking monitoring admin.	1763	1	1	Active smoker	2
7368651000006119	Smoked before confirmation of pregnancy	1721	1	1	Ex-smoker	1
2735381000000111	Ex-light smoker (1-9/day)	1671	1	1	Ex-smoker	1
2735331000000112	Ex-moderate smoker (10-19/day)	1300	1	1	Ex-smoker	1
