MedCodeId	term	eth16	eth5	qrisk2_cat
141431000000111	scottish - ethnic category 2001 census	1	0	1
2486161000000112	white - northern ireland ethnic category 2011 census	1	0	1
141451000000116	northern irish - ethnic category 2001 census	1	0	1
1780408016	other white british ethnic group	1	0	1
2487321000000116	white: other british - scotland ethnic category 2011 census	1	0	1
1564391000006113	british	1	0	1
1968051000006116	white:eng/welsh/scot/ni/brit - england and wales 2011 census	1	0	1
158341000000117	british or mixed british - ethnic category 2001 census	1	0	1
459726019	white british	1	0	1
196641000006110	race: caucasian	1	0	1
1780407014	white scottish	1	0	1
1063981000000117	white british - ethnic category 2001 census	1	0	1
2487281000000112	white: scottish - scotland ethnic category 2011 census	1	0	1
157281000000117	english - ethnic category 2001 census	1	0	1
142691000000116	ulster scots - ethnic category 2001 census	1	0	1
6846371000006111	caucasian	1	0	1
285925010	white	1	0	1
141441000000119	welsh - ethnic category 2001 census	1	0	1
141461000000118	cornish - ethnic category 2001 census	1	0	1
2484671000000118	white: irish - england and wales ethnic category 2011 census	2	0	1
2487361000000112	white: irish - scotland ethnic category 2011 census	2	0	1
1564961000006118	irish	2	0	1
285978014	irish (nmo)	2	0	1
1064041000000111	white irish - ethnic category 2001 census	2	0	1
141301000000110	irish - ethnic category 2001 census	2	0	1
459727011	white irish	2	0	1
937411000006115	other white or white unspecified ethnic category 2001 census	3	0	1
937311000006113	commonwealth (russian) indep states - ethn categ 2001 census	3	0	1
138201000000110	polish - ethnic category 2001 census	3	0	1
142791000000111	other mixed white - ethnic category 2001 census	3	0	1
138191000000113	gypsy/romany - ethnic category 2001 census	3	0	1
138231000000116	albanian - ethnic category 2001 census	3	0	1
713341000000111	british israelite	3	0	1
459728018	other white ethnic group	3	0	1
142741000000118	kosovan - ethnic category 2001 census	3	0	1
285987017	other european (nmo)	3	0	1
157991000000110	serbian - ethnic category 2001 census	3	0	1
411594011	greek (nmo)	3	0	1
937371000006116	other republics former yugoslavia - ethnic categ 2001 census	3	0	1
1968251000006113	irish traveller - northern ireland ethnic cat 2011 census	3	0	1
138171000000114	irish traveller - ethnic category 2001 census	3	0	1
142721000000113	turkish cypriot - ethnic category 2001 census	3	0	1
1968081000006112	white: other white backgrd- eng+wales ethnic cat 2011 census	3	0	1
142751000000115	bosnian - ethnic category 2001 census	3	0	1
2645811000000115	roma ethnic group	3	0	1
937391000006115	oth white european/european unsp/mixed european 2001 census	3	0	1
1968461000006111	white: other white ethnic grp- scotland ethnic cat 2011 cens	3	0	1
156921000000110	turkish - ethnic category 2001 census	3	0	1
141661000000115	cypriot (part not stated) - ethnic category 2001 census	3	0	1
411595012	greek cypriot (nmo)	3	0	1
142761000000117	croatian - ethnic category 2001 census	3	0	1
937301000006110	baltic estonian/latvian/lithuanian - ethn categ 2001 census	3	0	1
141311000000112	other white background - ethnic category 2001 census	3	0	1
138181000000111	traveller - ethnic category 2001 census	3	0	1
158481000000115	italian - ethnic category 2001 census	3	0	1
142711000000119	greek cypriot - ethnic category 2001 census	3	0	1
1968441000006112	white: gypsy/irish traveller - scotland ethnic cat 2011 cens	3	0	1
142701000000116	greek - ethnic category 2001 census	3	0	1
411597016	turkish cypriot (nmo)	3	0	1
2487481000000113	white: polish - scotland ethnic category 2011 census	3	0	1
459786016	irish traveller	3	0	1
405071018	turkish/turkish cypriot (nmo)	3	0	1
405070017	greek/greek cypriot (nmo)	3	0	1
411596013	turkish (nmo)	3	0	1
142781000000114	mixed irish and other white - ethnic category 2001 census	3	0	1
1968071000006114	white: gypsy/irish traveller - eng+wales eth cat 2011 census	3	0	1
141321000000118	white and black caribbean - ethnic category 2001 census	4	4	9
460153018	black caribbean and white	4	4	9
1968091000006110	mixed: white+black caribbean - eng+wales eth cat 2011 census	4	4	9
1968261000006110	mixed: white and black caribbean - ni ethnic cat 2011 census	4	4	9
141331000000116	white and black african - ethnic category 2001 census	5	4	9
460154012	black african and white	5	4	9
1968101000006116	mixed: white+black african - eng+wales eth cat 2011 census	5	4	9
196611000006111	race: afro-caucasian	5	4	9
1968271000006115	mixed: white and black african - ni ethnic cat 2011 census	5	4	9
141341000000113	white and asian - ethnic category 2001 census	6	4	9
285991010	other ethnic, asian/white orig	6	4	9
1968111000006118	mixed: white+asian - eng+wales ethnic category 2011 census	6	4	9
1968281000006117	mixed: white and asian - ni ethnic category 2011 census	6	4	9
157291000000115	black and white - ethnic category 2001 census	7	4	9
285992015	other ethnic, mixed white orig	7	4	9
4740401000006118	other ethnic, other mixed origin	7	4	9
141471000000113	black and asian - ethnic category 2001 census	7	4	9
4740341000006112	other ethnic, black/white origin	7	4	9
937511000006119	other mixed or mixed unspecified ethnic category 2001 census	7	4	9
459729014	mixed ethnic census group	7	4	9
285993013	other ethnic, other mixed orig	7	4	9
1968291000006119	mixed: other mixed/multiple ethnic backgrd - ni 2011 census	7	4	9
285952017	other black - black/white orig	7	4	9
285990011	other ethnic, black/white orig	7	4	9
285953010	other black - black/asian orig	7	4	9
141481000000110	black and chinese - ethnic category 2001 census	7	4	9
285989019	other ethnic, mixed origin	7	4	9
1968471000006116	mixed/multiple ethnic grps: any- scot ethnic cat 2011 census	7	4	9
141491000000112	chinese and white - ethnic category 2001 census	7	4	9
4740361000006111	other ethnic, asian/white origin	7	4	9
158361000000116	asian and chinese - ethnic category 2001 census	7	4	9
