OPCS4	Term_description
L50	Other emergency bypass of iliac artery
L501	Emergency bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC
L502	Emergency bypass of iliac artery by anastomosis of aorta to external iliac artery NEC
L503	Emergency bypass of artery of leg by anastomosis of aorta to common femoral artery NEC
L504	Emergency bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC
L505	Emergency bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC
L506	Emergency bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC
L508	Other specified emergency bypass of iliac artery
L509	Unspecified emergency bypass of iliac artery
L51	Other bypass of iliac artery
L511	Bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC
L512	Bypass of iliac artery by anastomosis of aorta to external iliac artery NEC
L513	Bypass of artery of leg by anastomosis of aorta to common femoral artery NEC
L514	Bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC
L515	Bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC
L516	Bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC
L518	Other specified
L519	Unspecified
L52	Reconstruction of iliac artery NCCS 
L521	Endarterectomy of iliac artery and patch repair of iliac artery
L522	Endarterectomy of iliac artery NEC
L528	Other specified
L529	Unspecified
L53	Other open operations on iliac artery
L531	Repair of iliac artery NEC
L532	Open embolectomy of iliac artery
L541	Percutaneous transluminal angioplasty of iliac artery
L542	Percutaneous transluminal embolectomy of iliac artery
L544	Percutaneous transluminal insertion of stent into iliac artery
L548	Other specified
L549	Unspecified
L58	Other emergency bypass of femoral artery
L581	Emergency bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC
L582	Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC
L583	Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC
L584	Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC
L585	Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC
L586	Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC
L587	Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC
L588	Other specified
L589	Unspecified
L59	Other bypass of femoral artery
L591	Bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC
L592	Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC
L593	Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC
L594	Bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC
L595	Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC
L596	Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC
L597	Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC
L598	Other specified
L599	Unspecified
L60	Reconstruction of femoral artery NCCS 
L601	Endarterectomy of femoral artery and patch repair of femoral artery
L602	Endarterectomy of femoral artery NEC
L603	Profundoplasty of femoral artery and patch repair of deep femoral artery
L604	Profundoplasty of femoral artery NEC
L608	Other specified
L609	Unspecified
L62	Other open operations on femoral artery NCCS 
L621	Repair of femoral artery NEC
L622	Open embolectomy of femoral artery
L628	Other specified
L629	Unspecified
L631	Percutaneous transluminal angioplasty of femoral artery
L632	Percutaneous transluminal embolectomy of femoral artery
L633	Percutaneous transluminal embolisation of femoral artery
L635	Percutaneous transluminal insertion of stent into femoral artery
L65	Revision of reconstruction of artery
L651	Revision of reconstruction involving aorta
L652	Revision of reconstruction involving iliac artery
L653	Revision of reconstruction involving femoral artery
