ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter
10841000033119	660111000001107	Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 12.5mg tablets	Tablet/ Oral Tablet	Oral	Captopril	12.500mg	NA
10941000033110	517711000001103	Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 25mg tablets	Tablet/ Oral Tablet	Oral	Captopril	25.000mg	NA
11041000033117	814111000001108	Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 50mg tablets	Tablet/ Oral Tablet	Oral	Captopril	50.000mg	NA
11641000033111	86411000001109	Accupro 40mg tablets (Pfizer Ltd)	Accupro 40mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	40.000mg	NA
13241000033114	231111000001106	Accupro 10mg tablets (Pfizer Ltd)	Accupro 10mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	10.000mg	NA
13341000033116	829111000001100	Accupro 20mg tablets (Pfizer Ltd)	Accupro 20mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	20.000mg	NA
13441000033110	582611000001106	Accupro 5mg tablets (Pfizer Ltd)	Accupro 5mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	5.000mg	NA
214141000033113	134511000001103	Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capoten 12.5mg tablets	Tablet/ Oral Tablet	Oral	Captopril	12.500mg	NA
214241000033118	455611000001103	Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capoten 25mg tablets	Tablet/ Oral Tablet	Oral	Captopril	25.000mg	NA
214341000033111	386611000001109	Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capoten 50mg tablets	Tablet/ Oral Tablet	Oral	Captopril	50.000mg	NA
215941000033111	315211000001104	Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Carace 10mg tablets	Tablet/ Oral Tablet	Oral	Lisinopril	10.000mg	NA
216041000033118	321011000001103	Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Carace 2.5mg tablets	Tablet/ Oral Tablet	Oral	Lisinopril	2.500mg	NA
216141000033119	56711000001109	Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Carace 20mg tablets	Tablet/ Oral Tablet	Oral	Lisinopril	20.000mg	NA
216241000033114	778011000001109	Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Carace 5mg tablets	Tablet/ Oral Tablet	Oral	Lisinopril	5.000mg	NA
377541000033114	48211000001104	Coversyl 2mg tablets (Servier Laboratories Ltd)	Coversyl 2mg tablets	Tablet/ Oral Tablet	Oral	Perindopril erbumine	2.000mg	NA
377641000033110	902211000001100	Coversyl 4mg tablets (Servier Laboratories Ltd)	Coversyl 4mg tablets	Tablet/ Oral Tablet	Oral	Perindopril erbumine	4.000mg	NA
648341000033112	346811000001101	Gopten 1mg capsules (Abbott Laboratories Ltd)	Gopten 1mg capsules	Capsule/ Oral capsule	Oral	Trandolapril	1.000mg	NA
648441000033118	273111000001109	Gopten 2mg capsules (Abbott Laboratories Ltd)	Gopten 2mg capsules	Capsule/ Oral capsule	Oral	Trandolapril	2.000mg	NA
648541000033117	253511000001102	Gopten 500microgram capsules (Abbott Laboratories Ltd)	Gopten 500microgram capsules	Capsule/ Oral capsule	Oral	Trandolapril	500.000microgram	NA
769041000033116	316111000001104	Innovace 10mg tablets (Organon Pharma (UK) Ltd)	Innovace 10mg tablets	Tablet/ Oral Tablet	Oral	Enalapril maleate	10.000mg	NA
769141000033117	749611000001107	Innovace 2.5mg tablets (Organon Pharma (UK) Ltd)	Innovace 2.5mg tablets	Tablet/ Oral Tablet	Oral	Enalapril maleate	2.500mg	NA
769241000033112	302311000001104	Innovace 20mg tablets (Organon Pharma (UK) Ltd)	Innovace 20mg tablets	Tablet/ Oral Tablet	Oral	Enalapril maleate	20.000mg	NA
769341000033119	730211000001104	Innovace 5mg tablets (Organon Pharma (UK) Ltd)	Innovace 5mg tablets	Tablet/ Oral Tablet	Oral	Enalapril maleate	5.000mg	NA
998541000033110	432911000001102	Odrik 1mg capsules (Aventis Pharma)	Odrik 1mg capsules	Capsule/ Oral capsule	Oral	Trandolapril	1.000mg	NA
998641000033111	140511000001108	Odrik 2mg capsules (Aventis Pharma)	Odrik 2mg capsules	Capsule/ Oral capsule	Oral	Trandolapril	2.000mg	NA
998741000033119	227511000001106	Odrik 500microgram capsules (Aventis Pharma)	Odrik 500microgram capsules	Capsule/ Oral capsule	Oral	Trandolapril	500.000microgram	NA
1387341000033114	462511000001104	Staril 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Staril 10mg tablets	Tablet/ Oral Tablet	Oral	Fosinopril sodium	10.000mg	NA
1387441000033115	348111000001107	Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Staril 20mg tablets	Tablet/ Oral Tablet	Oral	Fosinopril sodium	20.000mg	NA
