ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
1513241000033114	318204006	Verapamil 40mg tablets	Verapamil 40mg tablets	Tablet	Oral	Verapamil hydrochloride	40.000mg	2060200	NA
1513341000033116	318205007	Verapamil 80mg tablets	Verapamil 80mg tablets	Tablet	Oral	Verapamil hydrochloride	80.000mg	2060200	NA
1512941000033111	318206008	Verapamil 120mg tablets	Verapamil 120mg tablets	Tablet	Oral	Verapamil hydrochloride	120.000mg	2060200	NA
1513141000033119	318248001	Verapamil 160mg tablets	Verapamil 160mg tablets	Tablet	Oral	Verapamil hydrochloride	160.000mg	2060200	NA
967741000033115	319217004	Nicardipine 20mg capsules	Nicardipine 20mg capsules	Capsule	Oral	Nicardipine hydrochloride	20.000mg	2060200	NA
967141000033119	319218009	Nicardipine 30mg capsules	Nicardipine 30mg capsules	Capsule	Oral	Nicardipine hydrochloride	30.000mg	2060200	NA
967341000033116	319222004	Nifedipine 5mg capsules	Nifedipine 5mg capsules	Capsule	Oral	Nifedipine	5.000mg	2060200	NA
967241000033114	319223009	Nifedipine 10mg capsules	Nifedipine 10mg capsules	Capsule	Oral	Nifedipine	10.000mg	2060200	NA
784641000033112	319280009	Isradipine 2.5mg tablets	Isradipine 2.5mg tablets	Tablet	Oral	Isradipine	2.500mg	2060200	NA
3038041000033111	319283006	Amlodipine 5mg tablets	Amlodipine 5mg tablets	Tablet	Oral	Amlodipine	5.000mg	2060200	NA
3038141000033110	319284000	Amlodipine 10mg tablets	Amlodipine 10mg tablets	Tablet	Oral	Amlodipine	10.000mg	2060200	NA
817541000033119	319300008	Lacidipine 2mg tablets	Lacidipine 2mg tablets	Tablet	Oral	Lacidipine	2.000mg	2060200	NA
817641000033118	319301007	Lacidipine 4mg tablets	Lacidipine 4mg tablets	Tablet	Oral	Lacidipine	4.000mg	2060200	NA
825941000033112	319316005	Lercanidipine 10mg tablets	Lercanidipine 10mg tablets	Tablet	Oral	Lercanidipine hydrochloride	10.000mg	2060200	NA
977441000033119	323273000	Nimodipine 30mg tablets	Nimodipine 30mg tablets	Tablet	Oral	Nimodipine	30.000mg	2060200	NA
19341000033119	5011000001109	Adalat retard 20mg tablets (Bayer Plc)	Adalat retard 20mg tablets	Modified-release tablet	Oral	Nifedipine	20.000mg	2060200	NA
452841000033118	5711000001106	Dilzem SR 120 capsules (Teva UK Ltd)	Dilzem SR 120 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg	2060200	NA
