ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
40241000033110	762511000001105	Aldactide 25 tablets (Pfizer Ltd)	Aldactide 25 tablets	Tablet/ Oral Tablet	Oral	Hydroflumethiazide/ Spironolactone	25.000mg + 25.000mg	NA	63832
40341000033117	4669111000001107	Aldactide 50 tablets (Pfizer Ltd)	Aldactide 50 tablets	Tablet/ Oral Tablet	Oral	Hydroflumethiazide/ Spironolactone	50.000mg + 50.000mg	NA	128355
40441000033111	421611000001100	Aldactone 100mg tablets (Pfizer Ltd)	Aldactone 100mg tablets	Tablet/ Oral Tablet	Oral	Spironolactone	100.000mg	NA	32538
40541000033112	930511000001105	Aldactone 25mg tablets (Pfizer Ltd)	Aldactone 25mg tablets	Tablet/ Oral Tablet	Oral	Spironolactone	25.000mg	NA	32383
40641000033113	921811000001103	Aldactone 50mg tablets (Pfizer Ltd)	Aldactone 50mg tablets	Tablet/ Oral Tablet	Oral	Spironolactone	50.000mg	NA	20672
53841000033117	35900111000001108	Amiloride 5mg/5ml oral solution sugar free	Amiloride 5mg/5ml oral solution sugar free	Oral solution	Oral	Amiloride hydrochloride	1.000mg/1.000ml	02020300	29371
57141000033118	42206111000001106	Amiloride 5mg tablets	Amiloride 5mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride	5.000mg	02020300	2575786
57341000033115	712211000001108	Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd)	Amilmaxco 5mg/50mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	5.000mg + 50.000mg	NA	8113
60341000033110	636611000001107	Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd)	Amil-Co 5mg/50mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	5.000mg + 50.000mg	NA	31355
172341000033112	33911000001104	Burinex A 5mg/1mg tablets (LEO Pharma)	Burinex A 5mg/1mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Bumetanide	5.000mg + 1.000mg	NA	405618
351941000033111	8792311000001109	Co-amilozide 5mg/50mg/5ml oral solution	Co-amilozide 5mg/50mg/5ml oral solution	Oral solution	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	1.000mg/1.000ml + 10.000mg/1.000ml	02020400	2727
369141000033118	42207611000001101	Co-amilozide 5mg/50mg tablets	Co-amilozide 5mg/50mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	5.000mg + 50.000mg	02020400	2102145
370241000033111	42208111000001105	Co-triamterzide 50mg/25mg tablets	Co-triamterzide 50mg/25mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Triamterene	25.000mg + 50.000mg	02020400	410581
376641000033112	42293411000001108	Co-amilofruse 5mg/40mg tablets	Co-amilofruse 5mg/40mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	02020400	7976687
376741000033115	42293211000001109	Co-amilofruse 10mg/80mg tablets	Co-amilofruse 10mg/80mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	10.000mg + 80.000mg	02020400	79842
376841000033113	42293311000001101	Co-amilofruse 2.5mg/20mg tablets	Co-amilofruse 2.5mg/20mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	2.500mg + 20.000mg	02020400	2110555
376941000033117	42207511000001100	Co-amilozide 2.5mg/25mg tablets	Co-amilozide 2.5mg/25mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	2.500mg + 25.000mg	02020400	712548
377041000033116	42207711000001105	Co-flumactone 25mg/25mg tablets	Co-flumactone 25mg/25mg tablets	Tablet/ Oral Tablet	Oral	Hydroflumethiazide/ Spironolactone	25.000mg + 25.000mg	02020400	20620
377141000033117	42207811000001102	Co-flumactone 50mg/50mg tablets	Co-flumactone 50mg/50mg tablets	Tablet/ Oral Tablet	Oral	Hydroflumethiazide/ Spironolactone	50.000mg + 50.000mg	02020400	26271
491641000033116	3907911000001100	Dytac 50mg capsules (Advanz Pharma)	Dytac 50mg capsules	Capsule/ Oral capsule	Oral	Triamterene	50.000mg	NA	4105
491741000033113	714911000001108	Dytide capsules (Mercury Pharma Group Ltd)	Dytide capsules	Capsule/ Oral capsule	Oral	Benzthiazide/ Triamterene	25.000mg + 50.000mg	NA	8730
492341000033115	132811000001106	Dyazide 50mg/25mg tablets (Advanz Pharma)	Dyazide 50mg/25mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Triamterene	25.000mg + 50.000mg	NA	1115946
614341000033113	550711000001106	Frumil LS 20mg/2.5mg tablets (Sanofi)	Frumil LS 20mg/2.5mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	2.500mg + 20.000mg	NA	275575
614641000033117	427411000001106	Frumil 40mg/5mg tablets (Sanofi)	Frumil 40mg/5mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	NA	1654844
615041000033112	25411000001108	Frusene 50mg/40mg tablets (Orion Pharma (UK) Ltd)	Frusene 50mg/40mg tablets	Tablet/ Oral Tablet	Oral	Furosemide/ Triamterene	40.000mg + 50.000mg	NA	303612
615241000033116	818511000001106	Fru-Co 5mg/40mg tablets (Teva UK Ltd)	Fru-Co 5mg/40mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	NA	108522
615641000033118	82611000001106	Frumil Forte 10mg/80mg tablets (Sanofi)	Frumil Forte 10mg/80mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	10.000mg + 80.000mg	NA	11372
793741000033117	237011000001100	Kalten capsules (M & A Pharmachem Ltd)	Kalten capsules	Capsule/ Oral capsule	Oral	Amiloride hydrochloride/ Atenolol/ Hydrochlorothiazide	2.500mg + 50.000mg + 25.000mg	NA	151762
796541000033115	3252011000001105	Kalspare tablets (DHP Healthcare Ltd)	Kalspare tablets	Tablet/ Oral Tablet	Oral	Chlortalidone/ Triamterene	50.000mg + 50.000mg	NA	8413
808841000033119	3645811000001107	Lasilactone 20mg/50mg capsules (Sanofi)	Lasilactone 20mg/50mg capsules	Capsule/ Oral capsule	Oral	Furosemide/ Spironolactone	20.000mg + 50.000mg	NA	99795
818941000033112	678511000001106	Lasoride 5mg/40mg tablets (Sanofi)	Lasoride 5mg/40mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	NA	231267
935341000033118	74311000001101	Moducren tablets (Organon Pharma (UK) Ltd)	Moducren tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide/ Timolol maleate	2.500mg + 25.000mg + 10.000mg	NA	98885
935441000033112	314211000001100	Moduret 25 tablets (Organon Pharma (UK) Ltd)	Moduret 25 tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	2.500mg + 25.000mg	NA	243711
935541000033113	453811000001103	Moduretic 5mg/50mg tablets (Merck Sharp & Dohme (UK) Ltd)	Moduretic 5mg/50mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	5.000mg + 50.000mg	NA	1289226
956741000033114	535711000001100	Navispare 2.5mg/250microgram tablets (Advanz Pharma)	Navispare 2.5mg/250microgram tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Cyclopenthiazide	2.500mg + 250.000microgram	NA	916096
1371041000033112	8726511000001109	Spironolactone 25mg/5ml oral suspension	Spironolactone 25mg/5ml oral suspension	Oral suspension	Oral	Spironolactone	5.000mg/1.000ml	02020300	19814
1371141000033111	8726311000001103	Spironolactone 5mg/5ml oral suspension	Spironolactone 5mg/5ml oral suspension	Oral suspension	Oral	Spironolactone	1.000mg/1.000ml	02020300	10770
1371241000033116	8727311000001100	Spironolactone 10mg/5ml oral suspension	Spironolactone 10mg/5ml oral suspension	Oral suspension	Oral	Spironolactone	2.000mg/1.000ml	02020300	9909
1371341000033114	8726411000001105	Spironolactone 50mg/5ml oral suspension	Spironolactone 50mg/5ml oral suspension	Oral suspension	Oral	Spironolactone	10.000mg/1.000ml	02020300	29847
1374141000033113	42216411000001104	Spironolactone 100mg tablets	Spironolactone 100mg tablets	Tablet/ Oral Tablet	Oral	Spironolactone	100.000mg	02020300	1602664
1374241000033118	42216511000001100	Spironolactone 25mg tablets	Spironolactone 25mg tablets	Tablet/ Oral Tablet	Oral	Spironolactone	25.000mg	02020300	11870276
1374341000033111	42216611000001101	Spironolactone 50mg tablets	Spironolactone 50mg tablets	Tablet/ Oral Tablet	Oral	Spironolactone	50.000mg	02020300	2258395
1374541000033116	3411000001104	Spirospare 100 tablets (Ashbourne Pharmaceuticals Ltd)	Spirospare 100 tablets	Tablet/ Oral Tablet	Oral	Spironolactone	100.000mg	NA	1293
1455341000033115	42217011000001106	Triamterene 50mg capsules	Triamterene 50mg capsules	Capsule/ Oral capsule	Oral	Triamterene	50.000mg	02020300	30131
1468141000033118	721311000001104	Triamaxco 50mg/25mg tablets (Ashbourne Pharmaceuticals Ltd)	Triamaxco 50mg/25mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Triamterene	25.000mg + 50.000mg	NA	10378
1470341000033112	191211000001106	Triam-Co 50mg/25mg tablets (IVAX Pharmaceuticals UK Ltd)	Triam-Co 50mg/25mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Triamterene	25.000mg + 50.000mg	NA	37366
1611441000033117	331311000001103	Froop Co 5mg/40mg tablets (Ashbourne Pharmaceuticals Ltd)	Froop Co 5mg/40mg tablets	Tablet/ Oral Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	NA	1866
