Generic_name,Brand_name,Drug_class1,Drug_class2,Drug_class3
Amiloride,Amiloride,k-sparing,,
Amiloride,Amilamont,k-sparing,,
Amiloride,Amilospare,k-sparing,,
Amiloride,Amoride,k-sparing,,
Amiloride,Berkamil,k-sparing,,
Bendroflumethiazide,Bendroflumethiazide,thiazide,,
Bendroflumethiazide,Aprinox,thiazide,,
Bendroflumethiazide,Centyl,thiazide,,
Bendroflumethiazide,Neo-Naclex,thiazide,,
Bendroflumethiazide,Urizide,thiazide,,
Bendroflumethiazide / Atenolol,Tenben,thiazide,bb,
Bendroflumethiazide / Nadolol,Corgaretic,thiazide,bb,
Bendroflumethiazide / Propranolol,Inderetic,thiazide,bb,
Bendroflumethiazide / Propranolol,Inderex,thiazide,bb,
Bendroflumethiazide / Timolol,Prestim,thiazide,bb,
Benzthiazide,Benzthiazide,thiazide,,
Benzthiazide / Triamterene,Dytide,thiazide,k-sparing,
Bumetanide,Bumetanide,loop,,
Bumetanide,Burinex,loop,,
Bumetanide,Betinex,loop,,
Bumetanide / Amiloride,Burinex A,loop,k-sparing,
Chlorothiazide,Chlorothiazide,thiazide,,
Chlortalidone,Chlortalidone,thiazide,,
Chlortalidone,Hygroton,thiazide,,
Chlortalidone,Hylaton,thiazide,,
Chlortalidone / Atenolol,Atenix Co,thiazide,bb,
Chlortalidone / Atenolol,Atenixco,thiazide,bb,
Chlortalidone / Atenolol,Co-tenidone,thiazide,bb,
Chlortalidone / Atenolol,Tenchlor,thiazide,bb,
Chlortalidone / Atenolol,Tenoret,thiazide,bb,
Chlortalidone / Triamterene,Kalspare,thiazide,k-sparing,
Cyclopenthiazide,Cyclopenthiazide,thiazide,,
Cyclopenthiazide,Navidrex,thiazide,,
Cyclopenthiazide / Amiloride,Navispare,thiazide,k-sparing,
Cyclopenthiazide / Oxprenolol,Co-prenozide,thiazide,bb,
Cyclopenthiazide / Oxprenolol,Trasidrex,thiazide,bb,
Eplerenone,Eplerenone,k-sparing,,
Eplerenone,Inspra,k-sparing,,
Ethacrynic,Etacrynic,loop,,
Ethacrynic,Ethacrynic,loop,,
Ethacrynic,Edecrin,loop,,
Furosemide,Furosemide,loop,,
Furosemide,Diumide,loop,,
Furosemide,Diuresal,loop,,
Furosemide,Dryptal,loop,,
Furosemide,Frusemide,loop,,
Furosemide,Froop,loop,,
Furosemide,Frumax,loop,,
Furosemide,Frusid,loop,,
Furosemide,Frusol,loop,,
Furosemide,Lasikal,loop,,
Furosemide,Lasix,loop,,
Furosemide / Amiloride,Aridil,loop,k-sparing,
Furosemide / Amiloride,Co-amilofruse,loop,k-sparing,
Furosemide / Amiloride,Froop co,loop,k-sparing,
Furosemide / Amiloride,Fru-Co,loop,k-sparing,
Furosemide / Amiloride,Frumil,loop,k-sparing,
Furosemide / Amiloride,Komil,loop,k-sparing,
Furosemide / Amiloride,Frusemek,loop,k-sparing,
Furosemide / Amiloride,Lasoride,loop,k-sparing,
Furosemide / Penbutolol,Lasipressin,loop,bb,
Furosemide / Spironolactone,Lasilactone,loop,k-sparing,
Furosemide / Triamterene,Frusene,loop,k-sparing,
Hydrochlorothiazide,Hydrochlorothiazide,thiazide,,
Hydrochlorothiazide,Hydrosaluric,thiazide,,
Hydrochlorothiazide / Acebutolol,Secadrex,thiazide,bb,
Hydrochlorothiazide / Amiloride,Amil-Co,thiazide,k-sparing,
Hydrochlorothiazide / Amiloride,Amilmaxco,thiazide,k-sparing,
Hydrochlorothiazide / Amiloride,Co-amilozide,thiazide,k-sparing,
Hydrochlorothiazide / Amiloride,Moduret,thiazide,k-sparing,
Hydrochlorothiazide / Amiloride,Delvas,thiazide,k-sparing,
Hydrochlorothiazide / Amiloride,Vasetic,thiazide,k-sparing,
Hydrochlorothiazide / Amiloride,Zida-co,thiazide,k-sparing,
Hydrochlorothiazide / Amiloride,Synuretic,thiazide,k-sparing,
Hydrochlorothiazide / Amiloride / Atenolol,Kalten,thiazide,bb,k-sparing
Hydrochlorothiazide / Amiloride / Timolol,Moducren,thiazide,bb,k-sparing
Hydrochlorothiazide / Amlodipine / Olmesartan,Sevikar HCT,thiazide,ARB,CCB
Hydrochlorothiazide / Bisoprolol,Monozide,thiazide,bb,
Hydrochlorothiazide / Captopril,Acezide,thiazide,ACEi,
Hydrochlorothiazide / Captopril,Capozide,thiazide,ACEi,
Hydrochlorothiazide / Captopril,Co-zidocapt,thiazide,ACEi,
Hydrochlorothiazide / Enalapril,Innozide,thiazide,ACEi,
Hydrochlorothiazide / Irbesartan,Coaprovel,thiazide,ARB,
Hydrochlorothiazide / Irbesartan,Co-irbesartan,thiazide,ARB,
Hydrochlorothiazide / Lisinopril,Carace Plus,thiazide,ACEi,
