generic_name,brand_name
Amisulpride,Amisulpride
Amisulpride,Solian
Aripiprazole,Aripiprazole
Aripiprazole,Arpoya
Aripiprazole,Abilify
Asenapine,Asenapine
Asenapine,Sycrest
Benperidol,Benperidol
Benperidol,Anquil
Cariprazine,Cariprazine
Cariprazine,Reagila
Chlorpromazine,Chlorpromazine
Chlorpromazine,Largactil
Chlorpromazine,Chloractil
Clozapine,Clozapine
Clozapine,Clozaril
Clozapine,Denzapine
Clozapine,Zaponex
Flupentixol,Flupentixol
Flupentixol,Depixol
Flupentixol,Psytixol
Flupentixol,Fluanxol
Flupenthixol,Flupenthixol
Fluphenazine,Fluphenazine
Fluphenazine,Modecate
Fluphenazine,Moditen
Fluphenazine,Motipress
Fluphenazine,Motival
Haloperidol,Haloperidol
Haloperidol,Haldol
Haloperidol,Serenace
Haloperidol,Halkid
Haloperidol,Dozic
Levomepromazine,Levomepromazine
Levomepromazine,Nozinan
Levomepromazine,Levinan
Levomepromazine,Levorol
Loxapine,Loxapine
Loxapine,Loxapac
Lurasidone,Lurasidone
Lurasidone,Latuda
Olanzapine,Olanzapine
Olanzapine,Zyprexa
Olanzapine,Zalasta
Olanzapine,Zypadhera
Paliperidone,Paliperidone
Paliperidone,Invega
Paliperidone,Xeplion
Paliperidone,Trevicta
Paliperidone,Byannli
Pericyazine,Pericyazine
Pericyazine,Neulactil
Perphenazine,Perphenazine
Perphenazine,Fentazin
Perphenazine,Triptafen
Pimozide,Pimozide
Pimozide,Orap
Prochlorperazine,Prochlorperazine
Prochlorperazine,Buccastem
Prochlorperazine,Stemetil
Prochlorperazine,Proziere
Promazine,Promazine
Promazine,Sparine
Quetiapine,Quetiapine
Quetiapine,Seroquel
Quetiapine,Sondate
Quetiapine,Tenprolide
Quetiapine,Seotiapim
Quetiapine,Ebesque
Quetiapine,Biquelle
Quetiapine,Zaluron
Quetiapine,Mintreleq
Quetiapine,Atrolak
Quetiapine,Psyquet
Quetiapine,Brancico
Risperidone,Risperidone
Risperidone,Risperdal
Risperidone,Okedi
Sulpiride,Sulpiride
Sulpiride,Dolmatil
Sulpiride,Sulpitil
Thioridazine,Thioridazine
Thioridazine,Melleril
Tranylcypromine,Tranylcypromine
Trifluoperazine,Trifluoperazine
Trifluoperazine,Stelazine
Ziprasidone,Ziprasidone
Zuclopenthixol,Zuclopenthixol
Zuclopenthixol,Clopixol
