generic_name,brand_name
Clotrimazole,Abtrim
Clotrimazole,Antifungal
Clotrimazole,Candiden
Clotrimazole,Canesten
Clotrimazole,Fungederm
Clotrimazole,Thrush
Econazole,Econacort
Econazole,Ecostatin
Econazole,Pevaryl
Fenticonazole,Gynoxin
Fenticonazole,Lomexin
Hydrargaphen,Penotrane
Isoconazole,Travogyn
Miconazole,Acorvio
Miconazole,Daktarin
Miconazole,Daktacort
Miconazole,Femeron
Miconazole,Monistat
Nystatin,Nystadermal
Nystatin,Nystavescent
Nystatin,Nystan
Nystatin,Timodine
Sulfabenzamide,Sultrin
Sulfacetamide,Sultrin
Sulfathiazole,Sultrin
