generic_name,brand_name
Atorvastatin,Atorvastatin
Atorvastatin,Lipitor
Cerivastatin,Cerivastatin
Cerivastatin,Lipobay
Fluvastatin,Cadaff
Fluvastatin,Dorisin
Fluvastatin,Fluvastatin
Fluvastatin,Lescol
Fluvastatin,Luvinsta
Fluvastatin,Nandovar
Fluvastatin,Pinmactil
Fluvastatin,Stefluvin
Pravastatin,Lipostat
Pravastatin,Pravastatin
Rosuvastatin,Crestor
Rosuvastatin,Rosuvastatin
Simvastatin,Cholesterol lowering
Simvastatin,Cholesterol-lowering
Simvastatin,Cholib
Simvastatin,Inegy
Simvastatin,Ranzolont
Simvastatin,Simvador
Simvastatin,Simvastatin
Simvastatin,Zocor
