ProdCodeId	dmdid	TermFromEMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
188941000033117	166311000001108	Canesten 1% cream (Bayer Plc)	Canesten 1% cream	Cream/ Cutaneous cream	Cutaneous	Clotrimazole	10.000mg/1.000gram	NA	1583040
189041000033114	939911000001109	Canesten 10% vaginal cream (Bayer Plc)	Canesten 10% vaginal cream	Cream/ Vaginal cream	Vaginal	Clotrimazole	100.000mg/1.000gram	NA	147642
189141000033113	125711000001105	Canesten HC cream (Bayer Plc)	Canesten HC cream	Cream/ Cutaneous cream	Cutaneous	Clotrimazole/ Hydrocortisone acetate	10.000mg/1.000gram + 10.000mg/1.000gram	NA	2594832
202741000033118	NA	Canesten Combi  Pessary and cream  	NA	NA	NA	NA	NA	NA	103838
219341000033110	NA	Canesten  Vaginal cream  2 %	NA	NA	NA	NA	NA	NA	44014
400441000033113	859911000001101	Daktacort 2%/1% cream (Janssen-Cilag Ltd)	Daktacort 2%/1% cream	Cream/ Cutaneous cream	Cutaneous	Hydrocortisone/ Miconazole nitrate	10.000mg/1.000gram + 20.000mg/1.000gram	NA	3871193
400541000033114	3458311000001107	Daktarin 2% cream (McNeil Products Ltd)	Daktarin 2% cream	Cream/ Cutaneous cream	Cutaneous	Miconazole nitrate	20.000mg/1.000gram	NA	548120
405841000033116	278911000001102	Daktacort ointment (Janssen-Cilag Ltd)	Daktacort ointment	Ointment/ Cutaneous ointment	Cutaneous	Hydrocortisone/ Miconazole nitrate	10.000mg/1.000gram + 20.000mg/1.000gram	NA	813954
418041000033116	NA	Dermonistat  Cream  2 %	NA	NA	NA	NA	NA	NA	79
493641000033115	674411000001103	Econacort cream (Bristol-Myers Squibb Pharmaceuticals Ltd)	Econacort cream	Cream/ Cutaneous cream	Cutaneous	Econazole nitrate/ Hydrocortisone	10.000mg/1.000gram + 10.000mg/1.000gram	NA	61494
493741000033112	42340611000001104	Ecostatin 1% cream (Bristol-Myers Squibb Pharmaceuticals Ltd)	Ecostatin 1% cream	Cream/ Cutaneous cream	Cutaneous	Econazole nitrate	10.000mg/1.000gram	NA	42694
493841000033119	NA	Ecostatin Twinpack  Cream  1 %	NA	NA	NA	NA	NA	NA	222
495041000033113	NA	Ecostatin  Lotion  1 %	NA	NA	NA	NA	NA	NA	464
