ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release	category
3347141000033113	9628711000001106	Atimos Modulite 12micrograms/dose inhaler (Chiesi Ltd)	Atimos Modulite 12micrograms/dose inhaler	Pressurised inhalation	Inhalation	Formoterol fumarate dihydrate	12.000microgram/1.000dose	3010101	NA	Single ingredient LABA inhaler
599641000033111	3206811000001109	Foradil 12microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)	Foradil 12microgram inhalation powder capsules with device	Inhalation powder	Inhalation	Formoterol fumarate dihydrate	12.000microgram	3010101	NA	Single ingredient LABA inhaler
4063541000033116	11176411000001106	Formoterol Easyhaler 12micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)	Formoterol Easyhaler 12micrograms/dose dry powder inhaler	Inhalation powder	Inhalation	Formoterol fumarate dihydrate	12.000microgram/1.000dose	NA	NA	Single ingredient LABA inhaler
6456541000033118	19568411000001100	Neovent 25micrograms/dose inhaler CFC free (Kent Pharmaceuticals Ltd)	Neovent 25micrograms/dose inhaler CFC free	Pressurised inhalation	Inhalation	Salmeterol xinafoate	25.000microgram/1.000dose	NA	NA	Single ingredient LABA inhaler
5707241000033115	17300811000001109	Onbrez Breezhaler 150microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)	Onbrez Breezhaler 150microgram inhalation powder capsules with device	Inhalation powder	Inhalation	Indacaterol maleate	150.000microgram	3010101	NA	Single ingredient LABA inhaler
5707341000033113	17299911000001102	Onbrez Breezhaler 300microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)	Onbrez Breezhaler 300microgram inhalation powder capsules with device	Inhalation powder	Inhalation	Indacaterol maleate	300.000microgram	3010101	NA	Single ingredient LABA inhaler
1022341000033117	3245011000001103	Oxis 12 Turbohaler (AstraZeneca UK Ltd)	Oxis 12 Turbohaler	Inhalation powder	Inhalation	Formoterol fumarate dihydrate	12.000microgram/1.000dose	3010101	NA	Single ingredient LABA inhaler
1022441000033111	3243511000001107	Oxis 6 Turbohaler (AstraZeneca UK Ltd)	Oxis 6 Turbohaler	Inhalation powder	Inhalation	Formoterol fumarate dihydrate	6.000microgram/1.000dose	3010101	NA	Single ingredient LABA inhaler
3856041000033113	10073011000001107	Serevent 25micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)	Serevent 25micrograms/dose Evohaler	Pressurised inhalation	Inhalation	Salmeterol xinafoate	25.000microgram/1.000dose	3010101	NA	Single ingredient LABA inhaler
1267641000033111	408911000001105	Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)	Serevent 25micrograms/dose inhaler	Pressurised inhalation	Inhalation	Salmeterol xinafoate	25.000microgram/1.000dose	NA	NA	Single ingredient LABA inhaler
