ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
143041000033117	3804311000001103	Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd)	Betnelan 500microgram tablets	Tablet/ Oral Tablet	Oral	Betamethasone	500.000microgram	NA	5756
144641000033113	39697311000001102	Betamethasone 500microgram soluble tablets sugar free	Betamethasone 500microgram soluble tablets sugar free	Soluble tablet/	Oral	Betamethasone sodium phosphate	500.000microgram	06030200	191445
144841000033114	3694811000001103	Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd)	Betnesol 500microgram soluble tablets	Soluble tablet/	Oral	Betamethasone sodium phosphate	500.000microgram	NA	60161
145441000033110	42080811000001109	Betamethasone 500microgram tablets	Betamethasone 500microgram tablets	Tablet/ Oral Tablet	Oral	Betamethasone	500.000microgram	06030200	15131
210841000033110	3756411000001107	Calcort 6mg tablets (Neon Healthcare Ltd)	Calcort 6mg tablets	Tablet/ Oral Tablet	Oral	Deflazacort	6.000mg	NA	2753
371941000033113	42081611000001100	Cortisone 25mg tablets	Cortisone 25mg tablets	Tablet/ Oral Tablet	Oral	Cortisone acetate	25.000mg	06030200	58255
428941000033110	42035211000001107	Deflazacort 6mg tablets	Deflazacort 6mg tablets	Tablet/ Oral Tablet	Oral	Deflazacort	6.000mg	06030200	39143
430841000033118	3286911000001103	Decadron 500microgram tablets (Organon Pharma (UK) Ltd)	Decadron 500microgram tablets	Tablet/ Oral Tablet	Oral	Dexamethasone	500.000microgram	NA	927
431541000033114	459611000001100	Deltacortril 2.5mg gastro-resistant tablets (Phoenix Labs Ltd)	Deltacortril 2.5mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Prednisolone	2.500mg	NA	80756
431641000033110	331111000001100	Deltacortril 5mg gastro-resistant tablets (Phoenix Labs Ltd)	Deltacortril 5mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Prednisolone	5.000mg	NA	177447
431841000033111	42082011000001104	Dexamethasone 2mg tablets	Dexamethasone 2mg tablets	Tablet/ Oral Tablet	Oral	Dexamethasone	2.000mg	06030200	915990
431941000033115	42082211000001109	Dexamethasone 500microgram tablets	Dexamethasone 500microgram tablets	Tablet/ Oral Tablet	Oral	Dexamethasone	500.000microgram	06030200	360547
588541000033116	8515711000001101	Fludrocortisone 250micrograms/5ml oral suspension	Fludrocortisone 250micrograms/5ml oral suspension	Oral suspension	Oral	Fludrocortisone acetate	50.000microgram/1.000ml	06030100	1906
593341000033117	838111000001105	Florinef 100microgram tablets (Aspen Pharma Trading Ltd)	Florinef 100microgram tablets	Tablet/ Oral Tablet	Oral	Fludrocortisone acetate	100.000microgram	NA	36201
595841000033110	42082611000001106	Fludrocortisone 100microgram tablets	Fludrocortisone 100microgram tablets	Tablet/ Oral Tablet	Oral	Fludrocortisone acetate	100.000microgram	06030100	2589825
740241000033111	8581111000001102	Hydrocortisone 10mg/5ml oral suspension	Hydrocortisone 10mg/5ml oral suspension	Oral suspension	Oral	Hydrocortisone	2.000mg/1.000ml	06030200	7081
742241000033110	42084111000001106	Hydrocortisone 20mg tablets	Hydrocortisone 20mg tablets	Tablet/ Oral Tablet	Oral	Hydrocortisone	20.000mg	06030200	161299
744541000033116	42083911000001107	Hydrocortisone 10mg tablets	Hydrocortisone 10mg tablets	Tablet/ Oral Tablet	Oral	Hydrocortisone	10.000mg	06030200	2223072
744641000033115	197211000001101	Hydrocortone 10mg tablets (Auden McKenzie (Pharma Division) Ltd)	Hydrocortone 10mg tablets	Tablet/ Oral Tablet	Oral	Hydrocortisone	10.000mg	NA	43897
