ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter
819941000033119	84811000001104	Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)	Lescol 20mg capsules	Capsule/ Oral capsule	Oral	Fluvastatin sodium	20.000mg	NA
820041000033116	409611000001108	Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd)	Lescol 40mg capsules	Capsule/ Oral capsule	Oral	Fluvastatin sodium	40.000mg	NA
834841000033118	802411000001108	Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lipostat 10mg tablets	Tablet/ Oral Tablet	Oral	Pravastatin sodium	10.000mg	NA
834941000033114	454111000001107	Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lipostat 20mg tablets	Tablet/ Oral Tablet	Oral	Pravastatin sodium	20.000mg	NA
836241000033113	643911000001108	Lipitor 10mg tablets (Viatris UK Healthcare Ltd)	Lipitor 10mg tablets	Tablet/ Oral Tablet	Oral	Atorvastatin calcium trihydrate	10.000mg	NA
836341000033115	232011000001102	Lipitor 20mg tablets (Viatris UK Healthcare Ltd)	Lipitor 20mg tablets	Tablet/ Oral Tablet	Oral	Atorvastatin calcium trihydrate	20.000mg	NA
836441000033114	484211000001108	Lipitor 40mg tablets (Viatris UK Healthcare Ltd)	Lipitor 40mg tablets	Tablet/ Oral Tablet	Oral	Atorvastatin calcium trihydrate	40.000mg	NA
836541000033110	535011000001102	Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lipostat 40mg tablets	Tablet/ Oral Tablet	Oral	Pravastatin sodium	40.000mg	NA
1562241000033118	859611000001107	Zocor 40mg tablets (Organon Pharma (UK) Ltd)	Zocor 40mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	40.000mg	NA
1562841000033119	108111000001106	Zocor 10mg tablets (Organon Pharma (UK) Ltd)	Zocor 10mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	10.000mg	NA
1562941000033110	776811000001104	Zocor 20mg tablets (Organon Pharma (UK) Ltd)	Zocor 20mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	20.000mg	NA
2066341000033111	113211000001106	Zocor 80mg tablets (Organon Pharma (UK) Ltd)	Zocor 80mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	80.000mg	NA
2189041000033110	36566411000001105	Fluvastatin 80mg modified-release tablets	Fluvastatin 80mg modified-release tablets	Modified-release tablet	Oral	Fluvastatin sodium	80.000mg	02120000
2189141000033114	378111000001106	Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd)	Lescol XL 80mg tablets	Modified-release tablet	Oral	Fluvastatin sodium	80.000mg	NA
2261141000033113	756111000001109	Lipitor 80mg tablets (Viatris UK Healthcare Ltd)	Lipitor 80mg tablets	Tablet/ Oral Tablet	Oral	Atorvastatin calcium trihydrate	80.000mg	NA
2891841000033113	4171011000001104	Crestor 10mg tablets (AstraZeneca UK Ltd)	Crestor 10mg tablets	Tablet/ Oral Tablet	Oral	Rosuvastatin calcium	10.000mg	NA
2891941000033117	4171311000001101	Crestor 20mg tablets (AstraZeneca UK Ltd)	Crestor 20mg tablets	Tablet/ Oral Tablet	Oral	Rosuvastatin calcium	20.000mg	NA
2892041000033111	4172111000001108	Crestor 40mg tablets (AstraZeneca UK Ltd)	Crestor 40mg tablets	Tablet/ Oral Tablet	Oral	Rosuvastatin calcium	40.000mg	NA
2973941000033116	4896211000001101	Simvador 10mg tablets (Dexcel-Pharma Ltd)	Simvador 10mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	10.000mg	NA
2974041000033119	4896511000001103	Simvador 20mg tablets (Dexcel-Pharma Ltd)	Simvador 20mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	20.000mg	NA
2974141000033115	4896711000001108	Simvador 40mg tablets (Dexcel-Pharma Ltd)	Simvador 40mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	40.000mg	NA
3141041000033110	7632811000001108	Ranzolont 40mg tablets (Ranbaxy (UK) Ltd)	Ranzolont 40mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	40.000mg	NA
3292741000033111	9309911000001100	Inegy 10mg/20mg tablets (Organon Pharma (UK) Ltd)	Inegy 10mg/20mg tablets	Tablet/ Oral Tablet	Oral	Ezetimibe/ Simvastatin	10.000mg + 20.000mg	NA
3292841000033118	9310311000001108	Inegy 10mg/40mg tablets (Organon Pharma (UK) Ltd)	Inegy 10mg/40mg tablets	Tablet/ Oral Tablet	Oral	Ezetimibe/ Simvastatin	10.000mg + 40.000mg	NA
3292941000033114	9310611000001103	Inegy 10mg/80mg tablets (Organon Pharma (UK) Ltd)	Inegy 10mg/80mg tablets	Tablet/ Oral Tablet	Oral	Ezetimibe/ Simvastatin	10.000mg + 80.000mg	NA
3304141000033110	8722111000001104	Simvastatin 20mg/5ml oral suspension	Simvastatin 20mg/5ml oral suspension	Oral suspension	Oral	Simvastatin	4.000mg/1.000ml	02120000
3836141000033113	9747511000001107	Crestor 5mg tablets (AstraZeneca UK Ltd)	Crestor 5mg tablets	Tablet/ Oral Tablet	Oral	Rosuvastatin calcium	5.000mg	NA
3868741000033118	14018311000001109	Atorvastatin 20mg/5ml oral suspension	Atorvastatin 20mg/5ml oral suspension	Oral suspension	Oral	Atorvastatin calcium trihydrate	4.000mg/1.000ml	02120000
4152341000033115	13894411000001106	Simvastatin 40mg/5ml oral suspension	Simvastatin 40mg/5ml oral suspension	Oral suspension	Oral	Simvastatin	8.000mg/1.000ml	02120000
4941641000033116	15158611000001106	Simvador 80mg tablets (Dexcel-Pharma Ltd)	Simvador 80mg tablets	Tablet/ Oral Tablet	Oral	Simvastatin	80.000mg	NA
5007141000033112	15364211000001102	Luvinsta XL 80mg tablets (Actavis UK Ltd)	Luvinsta XL 80mg tablets	Modified-release tablet	Oral	Fluvastatin sodium	80.000mg	NA
5711041000033117	15534511000001107	Pravastatin 40mg/5ml oral suspension	Pravastatin 40mg/5ml oral suspension	Oral suspension	Oral	Pravastatin sodium	8.000mg/1.000ml	02120000
