medcodeid	term_medcode	category
4951331000006117	E2OH - Alcohol-free diet	AlcoholConsumptionLevel0
4951321000006115	Alcohol-free diet	AlcoholConsumptionLevel0
291355016	Teetotaller	AlcoholConsumptionLevel0
587231000006111	Non drinker alcohol	AlcoholConsumptionLevel0
4120341000006116	Never drinks	AlcoholConsumptionLevel0
4120321000006111	Abstinent	AlcoholConsumptionLevel0
4120381000006110	Current non-drinker of alcohol	AlcoholConsumptionLevel0
291352018	Non-drinker alcohol	AlcoholConsumptionLevel0
4120351000006119	Does not drink alcohol	AlcoholConsumptionLevel0
4120371000006112	Non - drinker alcohol	AlcoholConsumptionLevel0
217461000000118	Non - drinker	AlcoholConsumptionLevel0
250321015	Ex-trivial drinker (<1u/day)	AlcoholConsumptionLevel0
4533271000006119	Ex-trivial drinker - less than 1 unit/day	AlcoholConsumptionLevel0
4977931000006114	Lifetime teetotaller	AlcoholConsumptionLevel0
4977911000006115	Lifetime non-drinker	AlcoholConsumptionLevel0
4977921000006111	Lifetime abstainer from drink	AlcoholConsumptionLevel0
3843491000006118	Ex-drinker	AlcoholConsumptionLevel0
4120391000006113	Non-drinker for personal reasons	AlcoholConsumptionLevel0
4120401000006110	Non-drinker for religious reasons	AlcoholConsumptionLevel0
4120411000006113	Non-drinker for medical reasons	AlcoholConsumptionLevel0
250317010	Stopped drinking alcohol	AlcoholConsumptionLevel0
250322010	Ex-light drinker - (1-2u/day)	AlcoholConsumptionLevel0
7967731000006110	Decreased alcohol consumption	AlcoholConsumptionLevel1
4978411000006113	Drinks alcohol evenly through week	AlcoholConsumptionLevel1
4978421000006117	Drinks alcohol unevenly through week	AlcoholConsumptionLevel1
4978521000006118	Drinks on empty stomach	AlcoholConsumptionLevel1
4978611000006110	Drinking days	AlcoholConsumptionLevel1
4978601000006112	Drinking day	AlcoholConsumptionLevel1
7587641000006118	Admits alcohol use	AlcoholConsumptionLevel1
7650111000006114	Exposure to alcohol	AlcoholConsumptionLevel1
4064231000006113	Alcohol interaction with drug	AlcoholConsumptionLevel1
4064221000006110	Drug interaction with alcohol	AlcoholConsumptionLevel1
397729013	Trivial drinker - <1u/day	AlcoholConsumptionLevel1
629821000006117	Drinks rarely	AlcoholConsumptionLevel1
4977971000006112	Drinks on special occasions	AlcoholConsumptionLevel1
629811000006113	Occasional drinker	AlcoholConsumptionLevel1
250312016	Light drinker - 1-2u/day	AlcoholConsumptionLevel1
250331010	Spirit drinker	AlcoholConsumptionLevel1
