medcodeid	term_medcode	category
5495901000006112	Amount and type of tobacco smoked	Active smoker
102921000006112	Tobacco smoking consumption	Active smoker
137721000006115	Smoker - amount smoked	Active smoker
250387019	Tobacco consumption NOS	Active smoker
5495941000006114	Occasional smoker	Active smoker
88471000006112	Trivial cigarette smoker (less than one cigarette/day)	Active smoker
5495951000006111	Occasional cigarette smoker (less than one cigarette/day)	Active smoker
8153381000006119	Occasional smoker	Active smoker
397733018	Occasional smoker	Active smoker
8153371000006117	Occasional tobacco smoker	Active smoker
743331000006116	Light cigarette smoker (1-9 cigs/day)	Active smoker
700121000006118	Moderate cigarette smoker (10-19 cigs/day)	Active smoker
819331000006110	Heavy cigarette smoker (20-39 cigs/day)	Active smoker
67621000006112	Very heavy cigarette smoker (40+ cigs/day)	Active smoker
344795016	Pipe tobacco consumption	Active smoker
1488577017	Ready to stop smoking	Active smoker
1488576014	Thinking about stopping smoking	Active smoker
250368013	Keeps trying to stop smoking	Active smoker
1488578010	Not interested in stopping smoking	Active smoker
137791000006118	Smoking restarted	Active smoker
2670126018	Smoking restarted	Active smoker
1780360012	Reason for restarting smoking	Active smoker
1780396011	Cigarette pack-years	Active smoker
250372012	Trying to give up smoking	Active smoker
2474719011	Minutes from waking to first tobacco consumption	Active smoker
136515019	Pipe smoker	Active smoker
99639019	Cigar smoker	Active smoker
1592611000000110	Failed attempt to stop smoking	Active smoker
250375014	Rolls own cigarettes	Active smoker
108938018	Cigarette smoker	Active smoker
503483019	Current smoker	Active smoker
128130017	Smoker	Active smoker
2669652019	Smoking started	Active smoker
216212011	Smoking reduced	Active smoker
344793011	Cigarette consumption	Active smoker
344794017	Cigar consumption	Active smoker
4939241000006115	Advice on effects of smoking on health	Active smoker
4939251000006118	Advice on smoking	Active smoker
338608011	Smoking cessation advice	Active smoker
818061000006111	Smoking cessation education	Active smoker
4939261000006116	Smoking effects education	Active smoker
936011000006114	Advice on effects of smoking on health	Active smoker
1489355012	Referral to smoking cessation advisor	Active smoker
459722017	Referral to stop-smoking clinic	Active smoker
1780273014	Seen by smoking cessation advisor	Active smoker
498831000006118	Attends stop smoking monitoring	Active smoker
12024761000006112	Monitoring of smoking cessation therapy declined	Active smoker
285792013	Monitoring of smoking cessation therapy refused	Active smoker
285793015	Stop smoking monitor default	Active smoker
128311000006112	Stop smoking monitoring first letter	Active smoker
128321000006116	Stop smoking monitoring second letter	Active smoker
128331000006118	Stop smoking monitoring third letter	Active smoker
128371000006115	Stop smoking monitoring verbal invite	Active smoker
128361000006110	Stop smoking monitoring telephone invite	Active smoker
285805010	Stop smoking monitoring delete	Active smoker
128381000006117	Stop smoking monitoring check done	Active smoker
78013015	Smokers' cough	Active smoker
3256651000006113	Cigarette cough	Active smoker
6282351000006119	Smoking	Active smoker
6282331000006114	Tobacco smoking behaviour - finding	Active smoker
6282341000006116	Tobacco smoking behavior - finding	Active smoker
6282361000006117	Finding of tobacco smoking behavior	Active smoker
11904991000006116	Occasional cigarette smoker	Active smoker
5003141000006118	Trivial cigarette smoker	Active smoker
5003151000006116	Light cigarette smoker	Active smoker
5003161000006119	Moderate cigarette smoker	Active smoker
5003171000006114	Heavy cigarette smoker	Active smoker
5003181000006112	Very heavy cigarette smoker	Active smoker
5003191000006110	Chain smoker	Active smoker
5999811000006115	Smoking monitoring invitation	Active smoker
2170961000000116	Waterpipe tobacco consumption	Active smoker
1125741000000111	Brief intervention for smoking cessation	Active smoker
1750931000000118	Stop smoking service opportunity signposted	Active smoker
1123541000000118	Stop smoking face to face follow-up	Active smoker
8190531000006112	Referral to NHS (National Health Service) stop smoking service	Active smoker
1715591000006117	Referral to National Health Service stop smoking service	Active smoker
1176421000000118	Smoking cessation advice declined	Active smoker
1175011000000112	Smoking cessation programme declined	Active smoker
2141561000000115	Smoking cessation drug therapy declined	Active smoker
